key	g16
2204168	-4
2204224	-2
2204296	16
2204680	20
2204736	10
2204744	8
2204808	10
2205320	26
2207880	6
2208392	12
2208776	12
2208832	6
2208840	6
2208904	9
2209416	10
2213512	8
2229896	8
2233992	4
2238088	8
2240648	4
2241160	8
2241544	8
2241600	4
2241608	4
2241672	6
2242184	4
2246280	6
2279048	4
2359368	1
2359432	-2
2359816	2
2359872	1
2359944	-4
2360328	-4
2360384	-2
2360392	-2
2360456	-3
2360968	-2
2367560	-2
2367624	-9
2368008	-4
2368064	-2
2368136	-16
2368520	-18
2368576	-9
2368584	-8
2368648	-9
2369160	8
2371720	4
2372232	8
2372616	8
2372672	4
2372680	4
2372744	6
2373256	10
2377352	4
2424904	-2
2424968	-9
2425352	-4
2425408	-2
2425480	-16
2425864	-18
2425920	-9
2425928	-8
2425992	-9
2426504	8
2433160	-3
2433672	-4
2434056	-6
2434112	-3
2434120	-2
2434184	-2
2434696	-2
2437256	6
2437768	8
2438152	12
2438208	6
2438216	4
2438280	4
2438792	10
2442888	4
2457736	4
2458248	8
2458632	8
2458688	4
2458696	4
2458760	6
2459272	10
2465928	6
2466440	8
2466824	12
2466880	6
2466888	4
2466952	4
2467464	10
2492040	4
2500232	4
2621512	-2
2621576	-8
2621960	-4
2622016	-2
2622088	-18
2622472	-16
2622528	-8
2622536	-9
2622600	-9
2623112	10
2625608	-2
2625672	-9
2626056	-4
2626112	-2
2626184	-16
2626568	-18
2626624	-9
2626632	-8
2626696	-9
2627208	8
2629704	-6
2629768	-18
2630152	-12
2630208	-6
2630280	-36
2630664	-36
2630720	-18
2630728	-18
2630792	-16
2631304	20
2633864	10
2634376	20
2634760	20
2634816	10
2634824	10
2634888	8
2635400	43
2639496	4
2654280	-4
2654344	-18
2654728	-8
2654784	-4
2654856	-32
2655240	-36
2655296	-18
2655304	-16
2655368	-18
2655880	16
2662536	-6
2663048	-8
2663432	-12
2663488	-6
2663496	-4
2663560	-4
2664072	-4
2666632	12
2667144	16
2667528	24
2667584	12
2667592	8
2667656	8
2668168	20
2672264	8
2687048	-3
2687112	-9
2687496	-6
2687552	-3
2687624	-18
2688008	-18
2688064	-9
2688072	-9
2688136	-8
2688648	10
2691208	-3
2691720	-4
2692104	-6
2692160	-3
2692168	-2
2692232	-2
2692744	-2
2699400	6
