geometry,L,root_index,root_real,root_imaginary,is_real,is_upper_half,normalized_polynomial_residual,precision_stability_distance,conjugate_root_index,conjugate_pair_distance,matching_partner_root_index,matching_partner_expected_real,matching_partner_expected_imaginary,matching_partner_pair_distance,matching_partner_normalized_residual
axis,5,0,-5.27018922832529955358725016673128921231882107263515246539959,0.0,True,False,1.22233798185244652465994553309177783374023382199494761478992e-120,2.22661609867966055698343184534486026775038448076447288185628e-91,0,0.0,24,6.27018922832529955358725016673128921231882107263515246539959,0.0,0.0,5.26145210455489202787073074713753103423158736213894797609812e-123
axis,5,1,-0.785721706069933368250546148432513783686537628849206055389675,-0.588268055375327845028260715038087475943730659008386175019839,False,False,3.23970918004398121883505552090587928639486501652032147213591e-121,4.65479626797247289979408185777408030807697014142894905964213e-91,2,0.0,23,1.78572170606993336825054614843251378368653762884920605538967,0.588268055375327845028260715038087475943730659008386175019839,1.00000000000150942625097393037555266364846828129860810945631e-120,8.57691803470340362998035495659321058641737800364250731537877e-128
axis,5,2,-0.785721706069933368250546148432513783686537628849206055389675,0.588268055375327845028260715038087475943730659008386175019839,False,True,3.23970918004398121883505552090587928639486501652032147213591e-121,4.65479626797247289979408185777408030807697014142894905964213e-91,1,0.0,22,1.78572170606993336825054614843251378368653762884920605538967,-0.588268055375327845028260715038087475943730659008386175019839,1.00000000000150942625097393037555266364846828129860810945631e-120,8.57691803470340362998035495659321058641737800364250731537877e-128
axis,5,3,-0.49476281627051038171097589041715645068219317143166873021094,0.0,True,False,3.14793912741644737340888052192825534200154186018566402647886e-120,4.92168462120492908677770867149457205982335744790142635988089e-93,3,0.0,21,1.49476281627051038171097589041715645068219317143166873021094,0.0,0.0,4.54863651003311311194916003546871939967325876920412693768407e-129
axis,5,4,-0.413074209177519009602114022936085194448923614952747129444816,-0.476021988373167984639790028228384556485921516835428464422194,False,False,9.73019981268284040410940790666076150371546221447083973985476e-121,6.5790726453043141312295542509186898243162519100869063785247e-91,5,0.0,20,1.41307420917751900960211402293608519444892361495274712944482,0.476021988373167984639790028228384556485921516835428464422194,2.00000000000301885250194786075110532729693656259721621891261e-120,2.30031538212128751517371952778638004196550795336972931904177e-128
axis,5,5,-0.413074209177519009602114022936085194448923614952747129444816,0.476021988373167984639790028228384556485921516835428464422194,False,True,9.73019981268284040410940790666076150371546221447083973985476e-121,6.5790726453043141312295542509186898243162519100869063785247e-91,4,0.0,19,1.41307420917751900960211402293608519444892361495274712944482,-0.476021988373167984639790028228384556485921516835428464422194,2.00000000000301885250194786075110532729693656259721621891261e-120,2.30031538212128751517371952778638004196550795336972931904177e-128
axis,5,6,-0.38484497168649865160588936208550472368140236163604129724379,-0.199350184704601513637100716632405668616401444218562148829517,False,False,5.33152599395341104686853195937723199604651749631035144074426e-120,4.84592596482567118317714303365780159735157536988133735292378e-91,7,0.0,18,1.38484497168649865160588936208550472368140236163604129724379,0.199350184704601513637100716632405668616401444218562148829517,5.00000000000754713125486965187776331824234140649304054728153e-120,9.11668596486736104731882742640816504643364298665630545416667e-129
axis,5,7,-0.38484497168649865160588936208550472368140236163604129724379,0.199350184704601513637100716632405668616401444218562148829517,False,True,5.33152599395341104686853195937723199604651749631035144074426e-120,4.84592596482567118317714303365780159735157536988133735292378e-91,6,0.0,17,1.38484497168649865160588936208550472368140236163604129724379,-0.199350184704601513637100716632405668616401444218562148829517,5.00000000000754713125486965187776331824234140649304054728153e-120,9.11668596486736104731882742640816504643364298665630545416667e-129
axis,5,8,-0.172374466449879629569110725623955907599322364319052252833904,-0.416153313486354959125181056107382698924235152675874877195134,False,False,3.72347568331956480849178874354470889933548695200858270149327e-120,5.35510544592305552541848481272773246260523776356534600136874e-91,9,0.0,16,1.1723744664498796295691107256239559075993223643190522528339,0.416153313486354959125181056107382698924235152675874877195134,4.00000000000603770500389572150221065459387312519443243782522e-120,6.16513050671396016704496411463203700864628735517194104058819e-128
axis,5,9,-0.172374466449879629569110725623955907599322364319052252833904,0.416153313486354959125181056107382698924235152675874877195134,False,True,3.72347568331956480849178874354470889933548695200858270149327e-120,5.35510544592305552541848481272773246260523776356534600136874e-91,8,0.0,15,1.1723744664498796295691107256239559075993223643190522528339,-0.416153313486354959125181056107382698924235152675874877195134,4.00000000000603770500389572150221065459387312519443243782522e-120,6.16513050671396016704496411463203700864628735517194104058819e-128
axis,5,10,0.0695856085218712021863993861767440737607515111430401802532905,-0.468936507592595981916548679351623485862457280051775154344552,False,False,1.18803123659991723044278846312269578508867085260150370572494e-120,4.80957152593250260648063948565208685456187115045898013879588e-91,11,0.0,14,0.93041439147812879781360061382325592623924848885695981974671,0.468936507592595981916548679351623485862457280051775154344552,9.99999999978967974547395473879559180341591246538235517366324e-122,5.24274060151074186507793991247429760991849393831690832938341e-127
axis,5,11,0.0695856085218712021863993861767440737607515111430401802532905,0.468936507592595981916548679351623485862457280051775154344552,False,True,1.18803123659991723044278846312269578508867085260150370572494e-120,4.80957152593250260648063948565208685456187115045898013879588e-91,10,0.0,13,0.93041439147812879781360061382325592623924848885695981974671,-0.468936507592595981916548679351623485862457280051775154344552,9.99999999978967974547395473879559180341591246538235517366324e-122,5.24274060151074186507793991247429760991849393831690832938341e-127
axis,5,12,0.279605514287825391571830681667328634013838774217357273450778,-0.39845967281107756482092184916413590907767508601006841189165,False,False,7.55706069229250595790400111668121689522681100756660850928551e-121,5.7119427686164682679835506650475144571405079750734476722966e-91,13,0.0,12,0.720394485712174608428169318332671365986161225782642726549222,0.39845967281107756482092184916413590907767508601006841189165,0.0,1.45287819687770052328740909435165535006803521535205353614715e-125
axis,5,13,0.279605514287825391571830681667328634013838774217357273450778,0.39845967281107756482092184916413590907767508601006841189165,False,True,7.55706069229250595790400111668121689522681100756660850928551e-121,5.7119427686164682679835506650475144571405079750734476722966e-91,12,0.0,11,0.720394485712174608428169318332671365986161225782642726549222,-0.39845967281107756482092184916413590907767508601006841189165,0.0,1.45287819687770052328740909435165535006803521535205353614715e-125
axis,5,14,0.591988256518333844610968680211928879047874777197222109205656,0.0,True,False,4.58765140315592392594601651866643754437881721519295223968374e-122,3.34077348112511570279431198249375043702689113704406290657272e-91,14,0.0,10,0.408011743481666155389031319788071120952125222802777890794344,0.0,0.0,3.5705811991650229024102580575797519650450598881491292120491e-122
axis,5,15,0.946060286779545442857018241957183861425637148187071045045081,-0.269950161619103828116161023741847716999874034848416512531786,False,False,1.12831275445901098241709528328666238534492633343617866593801e-124,2.1699622707291799386068228468157546447802827210960536855773e-91,16,0.0,9,0.0539397132204545571429817580428161385743628518129289549549195,0.269950161619103828116161023741847716999874034848416512531786,7.04420365736826765499796353339907336261643502811928713615591e-133,2.91205159602704934623622834408280847436478395377180131459329e-120
axis,5,16,0.946060286779545442857018241957183861425637148187071045045081,0.269950161619103828116161023741847716999874034848416512531786,False,True,1.12831275445901098241709528328666238534492633343617866593801e-124,2.1699622707291799386068228468157546447802827210960536855773e-91,15,0.0,8,0.0539397132204545571429817580428161385743628518129289549549195,-0.269950161619103828116161023741847716999874034848416512531786,7.04420365736826765499796353339907336261643502811928713615591e-133,2.91205159602704934623622834408280847436478395377180131459329e-120
axis,5,17,1.18335289605839093236925792473295002473660560116720557993865,-0.337518165938721148849092125252420869986638834588160667205227,False,False,6.77246535062944177563716699854356944194960983523890857634734e-125,4.09169114647841196861596858928533392444757570540989599452378e-90,18,0.0,7,-0.183352896058390932369257924732950024736605601167205579938651,0.337518165938721148849092125252420869986638834588160667205227,3.99999999999476697915210649325421391294043460781424614178023e-120,9.2512861996109418913612184918753730052730448732009365429533e-120
axis,5,18,1.18335289605839093236925792473295002473660560116720557993865,0.337518165938721148849092125252420869986638834588160667205227,False,True,6.77246535062944177563716699854356944194960983523890857634734e-125,4.09169114647841196861596858928533392444757570540989599452378e-90,17,0.0,6,-0.183352896058390932369257924732950024736605601167205579938651,-0.337518165938721148849092125252420869986638834588160667205227,3.99999999999476697915210649325421391294043460781424614178023e-120,9.2512861996109418913612184918753730052730448732009365429533e-120
axis,5,19,1.22330271116384936172269862520402541792829434778658768230885,-0.120991417189896451368380495369785064500900662944724153869293,False,False,1.12173251794347501656179324342936158873617179894744766558674e-126,4.55929768072696226793111670375092217508410333797871980716858e-90,20,0.0,5,-0.223302711163849361722698625204025417928294347786587682308854,0.120991417189896451368380495369785064500900662944724153869293,1.12707258517892282479967416534385173801862960449908594178495e-131,2.23149793755909976187801350910080012545877044565503491856658e-120
