geom,N,k,count
g_11_3,130,0,0
g_11_3,130,1,0
g_11_3,130,2,0
g_11_3,130,3,0
g_11_3,130,4,0
g_11_3,130,5,0
g_11_3,130,6,0
g_11_3,130,7,0
g_11_3,130,8,0
g_11_3,130,9,0
g_11_3,130,10,0
g_11_3,130,11,0
g_11_3,130,12,0
g_11_3,130,13,0
g_11_3,130,14,0
g_11_3,130,15,0
g_11_3,130,16,0
g_11_3,130,17,0
g_11_3,130,18,0
g_11_3,130,19,0
g_11_3,130,20,0
g_11_3,130,21,0
g_11_3,130,22,0
g_11_3,130,23,0
g_11_3,130,24,0
g_11_3,130,25,0
g_11_3,130,26,0
g_11_3,130,27,0
g_11_3,130,28,0
g_11_3,130,29,0
g_11_3,130,30,0
g_11_3,130,31,0
g_11_3,130,32,0
g_11_3,130,33,0
g_11_3,130,34,2
g_11_3,130,35,3
g_11_3,130,36,6
g_11_3,130,37,11
g_11_3,130,38,25
g_11_3,130,39,24
g_11_3,130,40,37
g_11_3,130,41,74
g_11_3,130,42,90
g_11_3,130,43,139
g_11_3,130,44,187
g_11_3,130,45,259
g_11_3,130,46,370
g_11_3,130,47,532
g_11_3,130,48,718
g_11_3,130,49,954
g_11_3,130,50,1382
g_11_3,130,51,1780
g_11_3,130,52,2447
g_11_3,130,53,3260
g_11_3,130,54,4052
g_11_3,130,55,5571
g_11_3,130,56,7204
g_11_3,130,57,9050
g_11_3,130,58,11626
g_11_3,130,59,14832
g_11_3,130,60,18277
g_11_3,130,61,23113
g_11_3,130,62,28715
g_11_3,130,63,35082
g_11_3,130,64,42276
g_11_3,130,65,50079
g_11_3,130,66,59685
g_11_3,130,67,69169
g_11_3,130,68,79521
g_11_3,130,69,89503
g_11_3,130,70,99600
g_11_3,130,71,107193
g_11_3,130,72,114916
g_11_3,130,73,119157
g_11_3,130,74,121960
g_11_3,130,75,121274
g_11_3,130,76,116581
g_11_3,130,77,109974
g_11_3,130,78,100787
g_11_3,130,79,89431
g_11_3,130,80,77248
g_11_3,130,81,64109
g_11_3,130,82,52548
g_11_3,130,83,41488
g_11_3,130,84,31435
g_11_3,130,85,23124
g_11_3,130,86,16616
g_11_3,130,87,11721
g_11_3,130,88,7760
g_11_3,130,89,5125
g_11_3,130,90,3149
g_11_3,130,91,1999
g_11_3,130,92,1216
g_11_3,130,93,677
g_11_3,130,94,425
g_11_3,130,95,216
g_11_3,130,96,123
g_11_3,130,97,50
g_11_3,130,98,21
g_11_3,130,99,14
g_11_3,130,100,4
g_11_3,130,101,3
g_11_3,130,102,1
g_11_3,130,103,0
g_11_3,130,104,0
g_11_3,130,105,0
g_11_3,130,106,0
g_11_3,130,107,0
g_11_3,130,108,0
g_11_3,130,109,0
g_11_3,130,110,0
g_11_3,130,111,0
g_11_3,130,112,0
g_11_3,130,113,0
g_11_3,130,114,0
g_11_3,130,115,0
g_11_3,130,116,0
g_11_3,130,117,0
g_11_3,130,118,0
g_11_3,130,119,0
g_11_3,130,120,0
g_11_3,130,121,0
g_11_3,130,122,0
g_11_3,130,123,0
g_11_3,130,124,0
g_11_3,130,125,0
g_11_3,130,126,0
g_11_3,130,127,0
g_11_3,130,128,0
g_11_3,130,129,0
g_11_3,130,130,0
g_11_3,130,131,0
g_11_7,170,0,0
g_11_7,170,1,0
g_11_7,170,2,0
g_11_7,170,3,0
g_11_7,170,4,0
g_11_7,170,5,0
g_11_7,170,6,0
g_11_7,170,7,0
g_11_7,170,8,0
g_11_7,170,9,0
g_11_7,170,10,0
g_11_7,170,11,0
g_11_7,170,12,0
g_11_7,170,13,0
g_11_7,170,14,0
g_11_7,170,15,0
g_11_7,170,16,0
g_11_7,170,17,0
g_11_7,170,18,0
g_11_7,170,19,0
g_11_7,170,20,0
g_11_7,170,21,0
g_11_7,170,22,0
g_11_7,170,23,0
g_11_7,170,24,0
g_11_7,170,25,0
g_11_7,170,26,0
g_11_7,170,27,0
g_11_7,170,28,0
g_11_7,170,29,0
g_11_7,170,30,0
g_11_7,170,31,0
g_11_7,170,32,0
g_11_7,170,33,0
g_11_7,170,34,0
g_11_7,170,35,0
g_11_7,170,36,0
g_11_7,170,37,0
g_11_7,170,38,0
g_11_7,170,39,0
g_11_7,170,40,0
g_11_7,170,41,0
g_11_7,170,42,0
g_11_7,170,43,0
g_11_7,170,44,0
g_11_7,170,45,0
g_11_7,170,46,0
g_11_7,170,47,3
g_11_7,170,48,3
g_11_7,170,49,3
g_11_7,170,50,2
g_11_7,170,51,5
g_11_7,170,52,6
g_11_7,170,53,6
g_11_7,170,54,14
g_11_7,170,55,21
g_11_7,170,56,29
g_11_7,170,57,47
g_11_7,170,58,54
g_11_7,170,59,64
g_11_7,170,60,106
g_11_7,170,61,140
g_11_7,170,62,208
g_11_7,170,63,251
g_11_7,170,64,333
g_11_7,170,65,443
g_11_7,170,66,567
g_11_7,170,67,772
g_11_7,170,68,1018
g_11_7,170,69,1345
g_11_7,170,70,1655
g_11_7,170,71,2124
g_11_7,170,72,2766
g_11_7,170,73,3368
g_11_7,170,74,4297
g_11_7,170,75,5462
g_11_7,170,76,6722
g_11_7,170,77,8179
g_11_7,170,78,10086
g_11_7,170,79,12178
g_11_7,170,80,14934
g_11_7,170,81,17730
g_11_7,170,82,21306
g_11_7,170,83,25406
g_11_7,170,84,29905
g_11_7,170,85,34980
g_11_7,170,86,40880
g_11_7,170,87,46838
g_11_7,170,88,53254
g_11_7,170,89,59818
g_11_7,170,90,67199
g_11_7,170,91,74034
g_11_7,170,92,80990
g_11_7,170,93,87413
g_11_7,170,94,92682
g_11_7,170,95,96759
g_11_7,170,96,99174
