geom,N,a,b,batch,replicas,sum_km,sum_kp,sum_km2,sum_kp2,sum_kmkp,sum_gap,sum_gap2,kminus_le_kplus,kminus_gt_kplus
g_11_3,130,11,3,0,50000,3654909,4090092,269502913,336672316,300009094,435183,6157041,50000,0
g_11_3,130,11,3,1,50000,3656715,4089389,269731425,336567537,300100669,432674,6097624,50000,0
g_11_3,130,11,3,2,50000,3655963,4090664,269653011,336767612,300123365,434701,6173893,50000,0
g_11_3,130,11,3,3,50000,3655607,4089686,269582869,336588620,300031818,434079,6107853,50000,0
g_11_3,130,11,3,4,50000,3651050,4088310,268947392,336379560,299560877,437260,6205198,50000,0
g_11_3,130,11,3,5,50000,3655792,4091280,269635314,336877858,300167587,435488,6177998,50000,0
g_11_3,130,11,3,6,50000,3654248,4089691,269400400,336606985,299917584,435443,6172217,50000,0
g_11_3,130,11,3,7,50000,3654399,4088926,269433961,336492846,299887014,434527,6152779,50000,0
g_11_3,130,11,3,8,50000,3655048,4091162,269511706,336843498,300089385,436114,6176434,50000,0
g_11_3,130,11,3,9,50000,3651952,4088281,269099258,336376235,299656989,436329,6161515,50000,0
g_11_3,130,11,3,10,50000,3651870,4087918,269069562,336326036,299617059,436048,6161480,50000,0
g_11_3,130,11,3,11,50000,3659117,4093679,270110975,337261863,300618125,434562,6136588,50000,0
g_11_3,130,11,3,12,50000,3653683,4089052,269337199,336522514,299836050,435369,6187613,50000,0
g_11_3,130,11,3,13,50000,3653647,4089755,269344513,336647435,299909841,436108,6172266,50000,0
g_11_3,130,11,3,14,50000,3655932,4091998,269619474,336960348,300200990,436066,6177842,50000,0
g_11_3,130,11,3,15,50000,3655702,4090244,269621380,336718388,300084446,434542,6170876,50000,0
g_11_3,130,11,3,16,50000,3654133,4092798,269392761,337135534,300142637,438665,6243021,50000,0
g_11_3,130,11,3,17,50000,3654897,4090887,269501835,336810093,300068923,435990,6174082,50000,0
g_11_3,130,11,3,18,50000,3653408,4088133,269285748,336330591,299737396,434725,6141547,50000,0
g_11_3,130,11,3,19,50000,3653519,4091668,269304857,336946458,300007413,438149,6236489,50000,0
g_11_3,130,11,3,20,50000,3656072,4089371,269683860,336564061,300064883,433299,6118155,50000,0
g_11_3,130,11,3,21,50000,3654326,4090025,269392838,336676943,299952959,435699,6163863,50000,0
g_11_3,130,11,3,22,50000,3654788,4087600,269484742,336279236,299828871,432812,6106236,50000,0
g_11_3,130,11,3,23,50000,3653323,4089306,269263583,336540982,299813473,435983,6177619,50000,0
g_11_3,130,11,3,24,50000,3657561,4091937,269874383,336974785,300346907,434376,6155354,50000,0
g_11_3,130,11,3,25,50000,3654185,4090232,269386667,336692282,299953463,436047,6172023,50000,0
