geom,batch,replicas,n,sum_km,sum_kp,sum_km2,sum_kp2,sum_kmkp,sum_gap,sum_gap2,kminus_le_kplus,kminus_gt_kplus
g_11_3,0,50000,130,3654909,4090092,269502913,336672316,300009094,435183,6157041,50000,0
g_11_3,1,50000,130,3656715,4089389,269731425,336567537,300100669,432674,6097624,50000,0
g_11_3,2,50000,130,3655963,4090664,269653011,336767612,300123365,434701,6173893,50000,0
g_11_3,3,50000,130,3655607,4089686,269582869,336588620,300031818,434079,6107853,50000,0
g_11_3,4,50000,130,3651050,4088310,268947392,336379560,299560877,437260,6205198,50000,0
g_11_3,5,50000,130,3655792,4091280,269635314,336877858,300167587,435488,6177998,50000,0
g_11_3,6,50000,130,3654248,4089691,269400400,336606985,299917584,435443,6172217,50000,0
g_11_3,7,50000,130,3654399,4088926,269433961,336492846,299887014,434527,6152779,50000,0
g_11_3,8,50000,130,3655048,4091162,269511706,336843498,300089385,436114,6176434,50000,0
g_11_3,9,50000,130,3651952,4088281,269099258,336376235,299656989,436329,6161515,50000,0
g_11_3,10,50000,130,3651870,4087918,269069562,336326036,299617059,436048,6161480,50000,0
g_11_3,11,50000,130,3659117,4093679,270110975,337261863,300618125,434562,6136588,50000,0
g_11_3,12,50000,130,3653683,4089052,269337199,336522514,299836050,435369,6187613,50000,0
g_11_3,13,50000,130,3653647,4089755,269344513,336647435,299909841,436108,6172266,50000,0
g_11_3,14,50000,130,3655932,4091998,269619474,336960348,300200990,436066,6177842,50000,0
g_11_3,15,50000,130,3655702,4090244,269621380,336718388,300084446,434542,6170876,50000,0
g_11_3,16,50000,130,3654133,4092798,269392761,337135534,300142637,438665,6243021,50000,0
g_11_3,17,50000,130,3654897,4090887,269501835,336810093,300068923,435990,6174082,50000,0
g_11_3,18,50000,130,3653408,4088133,269285748,336330591,299737396,434725,6141547,50000,0
g_11_3,19,50000,130,3653519,4091668,269304857,336946458,300007413,438149,6236489,50000,0
g_11_3,20,50000,130,3656072,4089371,269683860,336564061,300064883,433299,6118155,50000,0
g_11_3,21,50000,130,3654326,4090025,269392838,336676943,299952959,435699,6163863,50000,0
g_11_3,22,50000,130,3654788,4087600,269484742,336279236,299828871,432812,6106236,50000,0
g_11_3,23,50000,130,3653323,4089306,269263583,336540982,299813473,435983,6177619,50000,0
g_11_3,24,50000,130,3657561,4091937,269874383,336974785,300346907,434376,6155354,50000,0
g_11_3,25,50000,130,3654185,4090232,269386667,336692282,299953463,436047,6172023,50000,0
g_11_3,26,50000,130,3656020,4088122,269612372,336348780,299945964,432102,6069224,50000,0
g_11_3,27,50000,130,3654792,4090264,269476594,336714370,300018903,435472,6153158,50000,0
g_11_3,28,50000,130,3655486,4089516,269579246,336603954,300025512,434030,6132176,50000,0
g_11_3,29,50000,130,3654998,4091569,269526534,336919629,300126051,436571,6194061,50000,0
g_11_3,30,50000,130,3654119,4091873,269396821,336974119,300069915,437754,6231110,50000,0
g_11_3,31,50000,130,3654718,4087387,269474586,336215503,299809239,432669,6071611,50000,0
g_11_3,32,50000,130,3655736,4090519,269626288,336766683,300107322,434783,6178327,50000,0
g_11_3,33,50000,130,3655289,4090899,269541835,336810863,300076745,435610,6199208,50000,0
g_11_3,34,50000,130,3654918,4089912,269506568,336665398,300000437,434994,6171092,50000,0
g_11_3,35,50000,130,3654688,4089571,269465562,336602065,299957897,434883,6151833,50000,0
g_11_3,36,50000,130,3657749,4091282,269909155,336870480,300332145,433533,6115345,50000,0
g_11_3,37,50000,130,3656243,4090409,269700621,336734795,300147611,434166,6140194,50000,0
g_11_3,38,50000,130,3654835,4089250,269509673,336539060,299948622,434415,6151489,50000,0
g_11_3,39,50000,130,3657617,4092615,269863749,337080105,300398545,434998,6146764,50000,0
