k,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,2
51,3
52,6
53,7
54,7
55,24
56,52
57,78
58,153
59,230
60,406
61,616
62,1054
63,1625
64,2503
65,3701
66,5664
67,8134
68,11558
69,16168
70,22028
71,29396
72,38390
73,48558
74,59881
75,72627
76,85333
77,97401
78,108323
79,116601
80,122690
81,126425
82,125041
83,121731
84,115404
85,106855
86,96364
87,84926
88,73705
89,62291
90,51667
91,42320
92,34236
93,26834
94,20896
95,15859
96,12120
97,8907
98,6566
99,4603
100,3414
101,2319
102,1522
103,1034
104,662
105,434
106,256
107,157
108,111
109,61
110,29
111,16
112,8
113,7
114,1
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
