k,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,2
35,3
36,6
37,11
38,25
39,24
40,37
41,74
42,90
43,139
44,187
45,259
46,370
47,532
48,718
49,954
50,1382
51,1780
52,2447
53,3260
54,4052
55,5571
56,7204
57,9050
58,11626
59,14832
60,18277
61,23113
62,28715
63,35082
64,42276
65,50079
66,59685
67,69169
68,79521
69,89503
70,99600
71,107193
72,114916
73,119157
74,121960
75,121274
76,116581
77,109974
78,100787
79,89431
80,77248
81,64109
82,52548
83,41488
84,31435
85,23124
86,16616
87,11721
88,7760
89,5125
90,3149
91,1999
92,1216
93,677
94,425
95,216
96,123
97,50
98,21
99,14
100,4
101,3
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
