observable,mode,topology,model,powers,L_min,train_max,n_train,train_sizes,pc,a4,a6,a8,condition_number,training_rmse,training_max_abs,withheld_L,withheld_true,predicted,signed_error,abs_error,withheld_batch_se,standardized_error,status
H,shared,torus_shared:wrapping_H,A,4,16,64,5,16 24 32 48 64,0.592756063383290970,-2.08171993101645740,nan,nan,173025.709388,0.0000782491139024619080,0.000153124686990463809,96,0.592872924315839933,0.592756038873626375,-0.000116885442213557631,0.000116885442213557631,0.000157687147347942627,-0.741249012233352807,ok
H,shared,torus_shared:wrapping_H,B,"4,6",16,64,5,16 24 32 48 64,0.592688835066538264,108.229955913465473,-27512.7113511642316,nan,419236469.945,0.0000426158938256786713,0.0000817826304459841517,96,0.592872924315839933,0.592690074191303441,-0.000182850124536492078,0.000182850124536492078,0.000157687147347942627,-1.15957532120881352,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",16,64,5,16 24 32 48 64,0.592750158453528710,-315.000185113354413,315099.902182750795,-60242020.4018549540,1.43699837922e+12,7.65462634975800383e-6,0.0000132721801564545652,96,0.592872924315839933,0.592746843918029305,-0.000126080397810628001,0.000126080397810628001,0.000157687147347942627,-0.799560394940919670,ok
H,shared,torus_shared:wrapping_H,A,4,24,64,4,24 32 48 64,0.592694282563432011,62.5729014918295720,nan,nan,845901.866655,0.0000401170472999083427,0.0000693113763452730327,96,0.592872924315839933,0.592695019281568502,-0.000177905034271431091,0.000177905034271431091,0.000157687147347942627,-1.12821518597756693,ok
H,shared,torus_shared:wrapping_H,B,"4,6",24,64,4,24 32 48 64,0.592743706215851986,-203.386573785312278,147517.574804985792,nan,3728783765.80,6.65076062420412658e-6,0.0000102627206480318391,96,0.592872924315839933,0.592741500050532480,-0.000131424265307452808,0.000131424265307452808,0.000157687147347942627,-0.833449444154508162,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",24,64,4,24 32 48 64,0.592719712455105243,195.257569984155228,-443489.357999802858,210834017.826200538,3.17008622155e+13,0.0,0.0,96,0.592872924315839933,0.592721474023473114,-0.000151450292366818749,0.000151450292366818749,0.000157687147347942627,-0.960447918007153605,ok
H,shared,torus_shared:wrapping_H,A,4,32,64,3,32 48 64,0.592732488858943733,-49.4805746769901586,nan,nan,2533998.06770,3.47745625078752649e-6,4.54860987693460141e-6,96,0.592872924315839933,0.592731906286681628,-0.000141018029158304640,0.000141018029158304640,0.000157687147347942627,-0.894289937575844716,ok
H,shared,torus_shared:wrapping_H,B,"4,6",32,64,3,32 48 64,0.592722651189544575,80.2796085551569526,-123014.772040249875,nan,35374949850.2,0.0,0.0,96,0.592872924315839933,0.592723439226544684,-0.000149485089295248837,0.000149485089295248837,0.000157687147347942627,-0.947985246796331221,ok
H,shared,torus_shared:wrapping_H,C,"4,6,8",32,64,3,32 48 64,,,,,,,,96,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,48,64,2,48 64,0.592724687926152793,16.0759352138373020,nan,nan,15530908.5257,0.0,0.0,96,0.592872924315839933,0.592724877200307431,-0.000148047115532502343,0.000148047115532502343,0.000157687147347942627,-0.938866090372164632,ok
H,shared,torus_shared:wrapping_H,B,"4,6",48,64,2,48 64,,,,,,,,96,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",48,64,2,48 64,,,,,,,,96,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,64,64,1,64,,,,,,,,96,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,B,"4,6",64,64,1,64,,,,,,,,96,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,C,"4,6,8",64,64,1,64,,,,,,,,96,,,,,,,too_few_points
H,shared,torus_shared:wrapping_H,A,4,16,96,6,16 24 32 48 64 96,0.592782384768190251,-4.18796172271178697,nan,nan,182788.580104,0.0000828685078803902456,0.000133151687121128726,128,0.592692551895070086,0.592782369166817075,0.0000898172717469889845,0.0000898172717469889845,0.000157466804287202634,0.570388610815850895,ok
