observable,mode,L1,L2,prefactor_L1,prefactor_L2,annihilator_root,annihilator_status,ordinary_root_L1,ordinary_root_L2,ordinary_L1_status,ordinary_L2_status,withheld_L,withheld_ordinary_root,signed_error,abs_error,standardized_error,weight_l1,weight_l2,sum_abs_weights,condition_number,status
H,shared,16,24,8192.00000000000000,30597.5417158744914,0.592952988805389269,ok,0.592698855007885994,0.592902913596145220,ok,ok,32,0.592684645356142514,0.000268343449246755444,0.000268343449246755444,1.95107837952235488,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,22374.3809827,ok
H,shared,24,32,30597.5417158744914,77935.8774888183278,0.592583174450015626,ok,0.592902913596145220,0.592684645356142514,ok,ok,48,0.592727716312626995,-0.000144541862611368822,0.000144541862611368822,-0.885768079016295815,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,100749.053592,ok
H,shared,32,48,77935.8774888183278,291094.514480884092,0.592738220805561156,ok,0.592684645356142514,0.592727716312626995,ok,ok,64,0.592725646126560646,0.0000125746790005096574,0.0000125746790005096574,0.125917463385160936,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,212862.183207,ok
H,shared,48,64,291094.514480884092,741455.200189465257,0.592724683895926141,ok,0.592727716312626995,0.592725646126560646,ok,ok,96,0.592872924315839933,-0.000148240419913791980,0.000148240419913791980,-0.940091963149627618,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,958491.930396,ok
H,shared,64,96,741455.200189465257,2769373.34207143985,0.592908943644342878,ok,0.592725646126560646,0.592872924315839933,ok,ok,128,0.592692551895070086,0.000216391749272792443,0.000216391749272792443,1.37420550478764402,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,2025097.78214,ok
H,shared,96,128,2769373.34207143985,7053950.39616863185,0.592608069291012729,ok,0.592872924315839933,0.592692551895070086,ok,ok,192,0.592760921825630005,-0.000152852534617276004,0.000152852534617276004,-0.750990267365735850,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,9118763.38635,ok
H,shared,128,192,7053950.39616863185,26346867.8599217661,0.592777873444189085,ok,0.592692551895070086,0.592760921825630005,ok,ok,256,0.592777028564663633,8.44879525452105904e-7,8.44879525452105904e-7,0.00420980305688304836,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,19266085.5288,ok
H,shared,192,256,26346867.8599217661,67108864.0000000000,0.592784470796475560,ok,0.592760921825630005,0.592777028564663633,ok,ok,,,,,,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,86752786.3926,ok
V,shared,16,24,8192.00000000000000,30597.5417158744914,0.592952988805389269,ok,0.592698855007885994,0.592902913596145220,ok,ok,32,0.592684645356142514,0.000268343449246755444,0.000268343449246755444,1.95107837952233719,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,22374.3809827,ok
V,shared,24,32,30597.5417158744914,77935.8774888183278,0.592583174450015626,ok,0.592902913596145220,0.592684645356142514,ok,ok,48,0.592727716312626995,-0.000144541862611368822,0.000144541862611368822,-0.885768079016296108,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,100749.053592,ok
V,shared,32,48,77935.8774888183278,291094.514480884092,0.592738220805561156,ok,0.592684645356142514,0.592727716312626995,ok,ok,64,0.592725646126560646,0.0000125746790005096574,0.0000125746790005096574,0.125917463385166267,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,212862.183207,ok
V,shared,48,64,291094.514480884092,741455.200189465257,0.592724683895926141,ok,0.592727716312626995,0.592725646126560646,ok,ok,96,0.592872924315839933,-0.000148240419913791980,0.000148240419913791980,-0.940091963149625835,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,958491.930396,ok
V,shared,64,96,741455.200189465257,2769373.34207143985,0.592908943644342878,ok,0.592725646126560646,0.592872924315839933,ok,ok,128,0.592692551895070086,0.000216391749272792443,0.000216391749272792443,1.37420550478760452,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,2025097.78214,ok
V,shared,96,128,2769373.34207143985,7053950.39616863185,0.592608069291012729,ok,0.592872924315839933,0.592692551895070086,ok,ok,192,0.592760921825630005,-0.000152852534617276004,0.000152852534617276004,-0.750990267365721751,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,9118763.38635,ok
V,shared,128,192,7053950.39616863185,26346867.8599217661,0.592777873444189085,ok,0.592692551895070086,0.592760921825630005,ok,ok,256,0.592777028564663633,8.44879525452105904e-7,8.44879525452105904e-7,0.00420980305688312113,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,19266085.5288,ok
V,shared,192,256,26346867.8599217661,67108864.0000000000,0.592784470796475560,ok,0.592760921825630005,0.592777028564663633,ok,ok,,,,,,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,86752786.3926,ok
either,shared,16,24,8192.00000000000000,30597.5417158744914,0.592952988805389269,ok,0.592698855007885994,0.592902913596145220,ok,ok,32,0.592684645356142514,0.000268343449246755444,0.000268343449246755444,1.95107837952233220,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,22374.3809827,ok
either,shared,24,32,30597.5417158744914,77935.8774888183278,0.592583174450015626,ok,0.592902913596145220,0.592684645356142514,ok,ok,48,0.592727716312626995,-0.000144541862611368822,0.000144541862611368822,-0.885768079016317446,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,100749.053592,ok
either,shared,32,48,77935.8774888183278,291094.514480884092,0.592738220805561156,ok,0.592684645356142514,0.592727716312626995,ok,ok,64,0.592725646126560646,0.0000125746790005096574,0.0000125746790005096574,0.125917463385163636,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,212862.183207,ok
either,shared,48,64,291094.514480884092,741455.200189465257,0.592724683895926141,ok,0.592727716312626995,0.592725646126560646,ok,ok,96,0.592872924315839933,-0.000148240419913791980,0.000148240419913791980,-0.940091963149615658,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,958491.930396,ok
either,shared,64,96,741455.200189465257,2769373.34207143985,0.592908943644342878,ok,0.592725646126560646,0.592872924315839933,ok,ok,128,0.592692551895070086,0.000216391749272792443,0.000216391749272792443,1.37420550478769748,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,2025097.78214,ok
either,shared,96,128,2769373.34207143985,7053950.39616863185,0.592608069291012951,ok,0.592872924315839933,0.592692551895070086,ok,ok,192,0.592760921825630005,-0.000152852534617053959,0.000152852534617053959,-0.750990267364628606,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,9118763.38635,ok
either,shared,128,192,7053950.39616863185,26346867.8599217661,0.592777873444189085,ok,0.592692551895070086,0.592760921825630005,ok,ok,256,0.592777028564663633,8.44879525452105904e-7,8.44879525452105904e-7,0.00420980305688308532,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,19266085.5288,ok
either,shared,192,256,26346867.8599217661,67108864.0000000000,0.592784470796475560,ok,0.592760921825630005,0.592777028564663633,ok,ok,,,,,,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,86752786.3926,ok
both,shared,16,24,8192.00000000000000,30597.5417158744914,0.592952988805389269,ok,0.592698855007885994,0.592902913596145220,ok,ok,32,0.592684645356142514,0.000268343449246755444,0.000268343449246755444,1.95107837952232067,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,22374.3809827,ok
both,shared,24,32,30597.5417158744914,77935.8774888183278,0.592583174450015626,ok,0.592902913596145220,0.592684645356142514,ok,ok,48,0.592727716312626995,-0.000144541862611368822,0.000144541862611368822,-0.885768079016288167,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,100749.053592,ok
both,shared,32,48,77935.8774888183278,291094.514480884092,0.592738220805561156,ok,0.592684645356142514,0.592727716312626995,ok,ok,64,0.592725646126560646,0.0000125746790005096574,0.0000125746790005096574,0.125917463385161790,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,212862.183207,ok
both,shared,48,64,291094.514480884092,741455.200189465257,0.592724683895926141,ok,0.592727716312626995,0.592725646126560646,ok,ok,96,0.592872924315839933,-0.000148240419913791980,0.000148240419913791980,-0.940091963149626324,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,958491.930396,ok
both,shared,64,96,741455.200189465257,2769373.34207143985,0.592908943644342878,ok,0.592725646126560646,0.592872924315839933,ok,ok,128,0.592692551895070086,0.000216391749272792443,0.000216391749272792443,1.37420550478760452,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,2025097.78214,ok
both,shared,96,128,2769373.34207143985,7053950.39616863185,0.592608069291012951,ok,0.592872924315839933,0.592692551895070086,ok,ok,192,0.592760921825630005,-0.000152852534617053959,0.000152852534617053959,-0.750990267364630809,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,9118763.38635,ok
both,shared,128,192,7053950.39616863185,26346867.8599217661,0.592777873444189085,ok,0.592692551895070086,0.592760921825630005,ok,ok,256,0.592777028564663633,8.44879525452105904e-7,8.44879525452105904e-7,0.00420980305688306315,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,19266085.5288,ok
both,shared,192,256,26346867.8599217661,67108864.0000000000,0.592784470796475560,ok,0.592760921825630005,0.592777028564663633,ok,ok,,,,,,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,86752786.3926,ok
M,shared,16,24,8192.00000000000000,30597.5417158744914,0.592403374297096441,ok,0.593381446231328269,0.592592218308608309,ok,ok,32,0.592779672002587965,-0.000376297705491523874,0.000376297705491523874,-0.252485027429172748,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,22374.3809827,ok
M,shared,24,32,30597.5417158744914,77935.8774888183278,0.592868110885892641,ok,0.592592218308608309,0.592779672002587965,ok,ok,48,0.594947955790737559,-0.00207984490484491826,0.00207984490484491826,-1.38370674473234047,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,100749.053592,ok
M,shared,32,48,77935.8774888183278,291094.514480884092,0.595493296189050669,outside_requested_interval,0.592779672002587965,0.594947955790737559,ok,ok,64,0.594670760838317936,0.000822535350732733298,0.000822535350732733298,0.551068289276798720,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,212862.183207,outside_requested_interval
