observable,mode,L1,L2,prefactor_L1,prefactor_L2,annihilator_root,annihilator_status,ordinary_root_L1,ordinary_root_L2,ordinary_L1_status,ordinary_L2_status,withheld_L,withheld_ordinary_root,signed_error,abs_error,standardized_error,weight_l1,weight_l2,sum_abs_weights,condition_number,status
M,shared,48,64,291094.514480884092,741455.200189465257,0.594545426340734817,ok,0.594947955790737559,0.594670760838317936,ok,ok,96,0.591867838280574210,0.00267758806016060722,0.00267758806016060722,1.21576725829562123,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,958491.930396,ok
M,shared,64,96,741455.200189465257,2769373.34207143985,0.591182288035070114,ok,0.594670760838317936,0.591867838280574210,ok,ok,128,0.586579496171288572,0.00460279186378154171,0.00460279186378154171,1.68586300860616160,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,2025097.78214,ok
M,shared,96,128,2769373.34207143985,7053950.39616863185,0.580720315746335203,outside_requested_interval,0.591867838280574210,0.586579496171288572,ok,outside_requested_interval,192,0.597574924071262892,-0.0168546083249276892,0.0168546083249276892,-4.99038630130770040,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,9118763.38635,outside_requested_interval
M,shared,128,192,7053950.39616863185,26346867.8599217661,0.600005386127223872,outside_requested_interval,0.586579496171288572,0.597574924071262892,outside_requested_interval,outside_requested_interval,256,0.588875266755668703,0.0111301193715551690,0.0111301193715551690,2.95918977674983115,-0.365623831098710175008689,1.36562383109871017500869,1.73124766219742035,19266085.5288,outside_requested_interval
M,shared,192,256,26346867.8599217661,67108864.0000000000,0.581048408155008245,outside_requested_interval,0.597574924071262892,0.588875266755668703,outside_requested_interval,outside_requested_interval,,,,,,-0.646358627025550740150482,1.64635862702555074015048,2.29271725405110148,86752786.3926,outside_requested_interval
H,independent,32,64,77935.8774888183278,741455.200189465257,0.592864041685125409,ok,0.592633117098793072,0.592849663649756886,ok,ok,128,0.592650778185861205,0.000213263499264204131,0.000213263499264204131,1.13820817135504061,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,174180.192411,ok
H,independent,64,128,741455.200189465257,7053950.39616863185,0.592637350194521462,ok,0.592849663649756886,0.592650778185861205,ok,ok,256,0.592801130743031646,-0.000163780548510184312,0.000163780548510184312,-0.890872203561352387,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,1657090.59278,ok
H,independent,128,256,7053950.39616863185,67108864.0000000000,0.592810983270137815,ok,0.592650778185861205,0.592801130743031646,ok,ok,,,,,,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,15764991.3851,ok
V,independent,32,64,77935.8774888183278,741455.200189465257,0.592736526073776249,ok,0.592824515424923648,0.592742067871794065,ok,ok,128,0.592815894140544586,-0.0000793680667683373202,0.0000793680667683373202,-0.661133173679364982,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,174180.192411,ok
V,independent,64,128,741455.200189465257,7053950.39616863185,0.592820755151626022,ok,0.592742067871794065,0.592815894140544586,ok,ok,256,0.592725114517967500,0.0000956406336585220836,0.0000956406336585220836,0.617739085010290926,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,1657090.59278,ok
V,independent,128,256,7053950.39616863185,67108864.0000000000,0.592719368419356130,ok,0.592815894140544586,0.592725114517967500,ok,ok,,,,,,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,15764991.3851,ok
either,independent,32,64,77935.8774888183278,741455.200189465257,0.592770372404643364,ok,0.592710915303799935,0.592766658341151054,ok,ok,128,0.592698187266500920,0.0000721851381424442059,0.0000721851381424442059,0.503451559620905883,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,174180.192411,ok
either,independent,64,128,741455.200189465257,7053950.39616863185,0.592693590905576162,ok,0.592766658341151054,0.592698187266500920,ok,ok,256,0.592873235774904916,-0.000179644869328754013,0.000179644869328754013,-1.01305972975268807,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,1657090.59278,ok
either,independent,128,256,7053950.39616863185,67108864.0000000000,0.592884436134594628,ok,0.592698187266500920,0.592873235774904916,ok,ok,,,,,,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,15764991.3851,ok
both,independent,32,64,77935.8774888183278,741455.200189465257,0.592830914994570302,ok,0.592746672200498814,0.592825626740939748,ok,ok,128,0.592769088196906768,0.0000618267976635336016,0.0000618267976635336016,0.474858816482621168,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,174180.192411,ok
both,independent,64,128,741455.200189465257,7053950.39616863185,0.592765340377986227,ok,0.592825626740939748,0.592769088196906768,ok,ok,256,0.592651561041179109,0.000113779336807118338,0.000113779336807118338,0.654047212544349250,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,1657090.59278,ok
both,independent,128,256,7053950.39616863185,67108864.0000000000,0.592643974793657380,ok,0.592769088196906768,0.592651561041179109,ok,ok,,,,,,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,15764991.3851,ok
M,independent,32,64,77935.8774888183278,741455.200189465257,0.591520518739411916,ok,0.592949400463866794,0.591604341942630008,ok,ok,128,0.592144416348833413,-0.000623897609421497268,0.000623897609421497268,-0.185437176420807188,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,174180.192411,ok
M,independent,64,128,741455.200189465257,7053950.39616863185,0.592182271321918030,ok,0.591604341942630008,0.592144416348833413,ok,ok,256,0.589363465204302495,0.00281880611761553508,0.00281880611761553508,0.858551253883385110,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,1657090.59278,ok
M,independent,128,256,7053950.39616863185,67108864.0000000000,0.589253952731471742,outside_requested_interval,0.592144416348833413,0.589363465204302495,ok,outside_requested_interval,,,,,,-0.117458338924637229119878,1.11745833892463722911988,1.23491667784927446,15764991.3851,outside_requested_interval
