N,geometry,a,b,plan,best_single,var_q,var_D_cluster,var_adjusted,vr_vs_q,vr_vs_D_cluster,vr_vs_best_single
65,first,8,1,euler_canonical,q,0.6267016808380386,5.04460077512597,0.2759373542800342,2.2711737686737123,18.28168856763942,2.2711737686737123
65,first,8,1,euler_microcanonical,q,0.6267016808380386,5.04460077512597,0.2780798222583054,2.253675494138881,18.14083716739467,2.253675494138881
65,first,8,1,euler_plus_motifs_canonical,q,0.6267016808380386,5.04460077512597,0.2652202762274002,2.3629478475495733,19.020418977321036,2.3629478475495733
65,first,8,1,euler_plus_motifs_microcanonical,q,0.6267016808380386,5.04460077512597,0.2672860692931584,2.3446851625876333,18.873414497308012,2.3446851625876333
65,second,7,4,euler_canonical,q,0.6266227543893805,5.0311197812434765,0.27549888050767646,2.274501998827253,18.26185199726534,2.274501998827253
65,second,7,4,euler_microcanonical,q,0.6266227543893805,5.0311197812434765,0.27766065526987604,2.256793472522515,18.119671209280305,2.256793472522515
65,second,7,4,euler_plus_motifs_canonical,q,0.6266227543893805,5.0311197812434765,0.2655559436865869,2.3596638271027746,18.94561165304317,2.3596638271027746
65,second,7,4,euler_plus_motifs_microcanonical,q,0.6266227543893805,5.0311197812434765,0.26761868626505336,2.341476087244388,18.79958328567753,2.341476087244388
85,first,9,2,euler_canonical,q,0.6257230925538657,7.058134416361771,0.29735526466132584,2.104294649925018,23.73636943808836,2.104294649925018
85,first,9,2,euler_microcanonical,q,0.6257230925538657,7.058134416361771,0.2988249171823798,2.093945506465153,23.619631464848787,2.093945506465153
85,first,9,2,euler_plus_motifs_canonical,q,0.6257230925538657,7.058134416361771,0.28775175713892254,2.1745239673785046,24.5285536621561,2.1745239673785046
85,first,9,2,euler_plus_motifs_microcanonical,q,0.6257230925538657,7.058134416361771,0.2891734466783061,2.1638331587545716,24.40796171791549,2.1638331587545716
85,second,7,6,euler_canonical,q,0.6257595271228464,7.06702556155539,0.2976910130461547,2.1020437288976113,23.739465593002976,2.1020437288976113
85,second,7,6,euler_microcanonical,q,0.6257595271228464,7.06702556155539,0.299158220906913,2.0917343512266697,23.62303646589203,2.0917343512266697
85,second,7,6,euler_plus_motifs_canonical,q,0.6257595271228464,7.06702556155539,0.28822292760377966,2.171095590226877,24.519303930152418,2.171095590226877
85,second,7,6,euler_plus_motifs_microcanonical,q,0.6257595271228464,7.06702556155539,0.2895949099939738,2.1608098261667235,24.403141483745166,2.1608098261667235
