n,a,b,orientation,batch,samples,sum_k1,sum_k2,sum_i0,sum_i1,sum_i2,sum_black_axis_pairs,sum_white_matching_axis_pairs,sum_even_numerator_squared,sum_i0_even_numerator,sum_i2_even_numerator
65,8,1,first,0,200,7156,8227,59,81,60,7855,4075,724944,3182,3960
65,7,4,second,0,200,7216,8294,64,76,60,7964,4168,748702,3529,3885
65,8,1,first,1,200,7249,8395,64,75,61,8006,3961,727307,3597,3967
65,7,4,second,1,200,7166,8368,57,88,55,8053,3951,733176,3128,3558
65,8,1,first,2,200,7221,8336,72,66,62,7730,4014,703688,3812,3966
65,7,4,second,2,200,7178,8359,58,77,65,7873,4026,720061,3082,4181
65,8,1,first,3,200,7173,8320,55,82,63,8096,3916,733394,3006,4034
65,7,4,second,3,200,7209,8271,61,68,71,8182,3911,743779,3303,4578
65,8,1,first,4,200,7200,8424,64,73,63,7971,4113,741290,3565,4045
65,7,4,second,4,200,7255,8352,64,72,64,7864,4074,725048,3451,4139
65,8,1,first,5,200,7199,8291,65,75,60,7939,4158,742969,3586,3902
65,7,4,second,5,200,7242,8311,67,71,62,7879,4177,738766,3703,4036
65,8,1,first,6,200,7177,8339,53,82,65,8257,3902,750813,2904,4212
65,7,4,second,6,200,7254,8314,61,68,71,8330,3959,766815,3524,4609
65,8,1,first,7,200,7215,8380,61,86,53,7897,4100,731513,3364,3446
65,7,4,second,7,200,7338,8475,78,67,55,7877,4074,728365,4179,3601
65,8,1,first,8,200,7287,8389,69,72,59,8115,3974,743991,3807,3856
65,7,4,second,8,200,7225,8399,64,72,64,8085,3994,744237,3547,4241
65,8,1,first,9,200,7220,8416,62,86,52,7764,4222,732618,3396,3421
65,7,4,second,9,200,7259,8441,69,86,45,7999,4211,756400,3899,2976
65,8,1,first,10,200,7126,8294,66,75,59,7772,4206,728804,3669,3797
65,7,4,second,10,200,7292,8330,79,67,54,7862,4226,743400,4451,3516
65,8,1,first,11,200,7356,8309,65,75,60,8262,3928,756672,3679,3941
65,7,4,second,11,200,7240,8302,65,70,65,8110,3962,742988,3561,4249
65,8,1,first,12,200,7241,8376,62,86,52,7914,4095,733619,3481,3389
65,7,4,second,12,200,7214,8284,62,82,56,7920,4126,736080,3481,3681
65,8,1,first,13,200,7251,8420,59,80,61,8135,3865,732468,3198,3887
65,7,4,second,13,200,7291,8352,60,77,63,8310,3871,753533,3356,4069
65,8,1,first,14,200,7226,8315,53,73,74,8413,3822,761019,2955,4863
65,7,4,second,14,200,7197,8352,56,72,72,8388,3820,757166,3139,4700
65,8,1,first,15,200,7234,8392,62,69,69,8274,3966,760544,3467,4536
65,7,4,second,15,200,7210,8346,56,82,62,8191,3943,749720,3074,4068
65,8,1,first,16,200,7175,8380,59,78,63,8197,3923,744872,3290,4032
65,7,4,second,16,200,7272,8359,71,63,66,8036,3933,729401,3915,4278
65,8,1,first,17,200,7251,8446,72,73,55,7910,4150,739518,3986,3611
65,7,4,second,17,200,7290,8278,73,59,68,7864,4161,735713,4066,4373
65,8,1,first,18,200,7210,8345,55,80,65,8342,3863,755997,3098,4280
65,7,4,second,18,200,7266,8344,62,74,64,8120,3922,740014,3295,4185
65,8,1,first,19,200,7295,8435,69,78,53,7994,4125,745235,3850,3413
65,7,4,second,19,200,7298,8391,67,75,58,8060,4146,755168,3774,3788
65,8,1,first,20,200,7151,8252,60,76,64,7957,4004,728363,3223,4156
65,7,4,second,20,200,7287,8406,73,67,60,7998,3941,724671,3925,3892
65,8,1,first,21,200,7179,8345,57,78,65,8035,4023,738602,3099,4176
65,7,4,second,21,200,7112,8260,58,76,66,8004,4012,734462,3195,4232
65,8,1,first,22,200,7256,8379,59,93,48,7932,4085,735121,3267,3174
65,7,4,second,22,200,7313,8364,72,77,51,7877,4119,735170,3956,3376
65,8,1,first,23,200,7199,8333,56,73,71,8233,3905,746604,3104,4594
65,7,4,second,23,200,7241,8339,57,83,60,8173,3892,740783,3180,3890
65,8,1,first,24,200,7217,8379,60,83,57,7895,4007,720476,3220,3675
65,7,4,second,24,200,7344,8365,67,77,56,7883,4053,723746,3678,3600
65,8,1,first,25,200,7267,8334,68,76,56,7891,4091,729438,3798,3642
65,7,4,second,25,200,7341,8430,72,72,56,7907,4102,734463,3972,3683
65,8,1,first,26,200,7176,8369,53,74,73,8316,3923,761117,2959,4746
65,7,4,second,26,200,7214,8243,50,78,72,8329,3855,753862,2771,4694
65,8,1,first,27,200,7318,8410,59,80,61,8296,3918,758346,3320,3973
65,7,4,second,27,200,7207,8358,53,84,63,8245,3943,755638,2929,4134
65,8,1,first,28,200,7268,8385,61,78,61,7936,4022,727732,3322,3952
65,7,4,second,28,200,7301,8379,70,65,65,8057,4041,744586,3893,4251
65,8,1,first,29,200,7269,8341,60,72,68,8145,3976,745361,3330,4406
65,7,4,second,29,200,7414,8408,70,61,69,8191,3988,753287,3891,4507
65,8,1,first,30,200,7184,8324,56,65,79,8269,3812,743323,3011,5126
65,7,4,second,30,200,7239,8396,56,81,63,8371,3785,751646,3052,4143
65,8,1,first,31,200,7306,8378,71,78,51,7877,4060,726641,3912,3336
65,7,4,second,31,200,7320,8421,74,72,54,7857,4047,720514,4074,3515
65,8,1,first,32,200,7202,8380,60,79,61,7908,4110,734172,3258,3984
65,7,4,second,32,200,7195,8320,65,69,66,7906,4123,735899,3603,4329
65,8,1,first,33,200,7201,8325,60,70,70,8180,3994,754362,3297,4608
65,7,4,second,33,200,7370,8374,70,71,59,8117,3995,747136,3872,3851
65,8,1,first,34,200,7240,8417,62,80,58,7878,4086,728570,3400,3792
65,7,4,second,34,200,7235,8452,68,75,57,7794,4136,725692,3684,3736
65,8,1,first,35,200,7235,8288,60,71,69,8263,3929,753186,3442,4429
65,7,4,second,35,200,7265,8308,66,63,71,8374,3898,764478,3810,4621
65,8,1,first,36,200,7295,8344,70,72,58,7694,4114,711608,3744,3813
65,7,4,second,36,200,7380,8352,75,71,54,7805,4118,723989,4108,3471
65,8,1,first,37,200,7204,8262,60,69,71,8201,3908,747643,3269,4685
65,7,4,second,37,200,7171,8242,54,70,76,8203,3938,752097,2925,4987
65,8,1,first,38,200,7273,8468,60,79,61,8164,3946,745140,3331,4059
65,7,4,second,38,200,7317,8352,66,66,68,8174,3878,739238,3671,4437
