n,a,b,orientation,batch,k,samples,sum_q,sum_e,sum_s,sum_qs,sum_es
65,8,1,first,0,0,0,0,0,0,0,0
65,8,1,first,0,1,0,0,0,0,0,0
65,8,1,first,0,2,0,0,0,0,0,0
65,8,1,first,0,3,0,0,0,0,0,0
65,8,1,first,0,4,0,0,0,0,0,0
65,8,1,first,0,5,0,0,0,0,0,0
65,8,1,first,0,6,0,0,0,0,0,0
65,8,1,first,0,7,0,0,0,0,0,0
65,8,1,first,0,8,0,0,0,0,0,0
65,8,1,first,0,9,0,0,0,0,0,0
65,8,1,first,0,10,0,0,0,0,0,0
65,8,1,first,0,11,0,0,0,0,0,0
65,8,1,first,0,12,0,0,0,0,0,0
65,8,1,first,0,13,0,0,0,0,0,0
65,8,1,first,0,14,0,0,0,0,0,0
65,8,1,first,0,15,0,0,0,0,0,0
65,8,1,first,0,16,0,0,0,0,0,0
65,8,1,first,0,17,0,0,0,0,0,0
65,8,1,first,0,18,0,0,0,0,0,0
65,8,1,first,0,19,0,0,0,0,0,0
65,8,1,first,0,20,0,0,0,0,0,0
65,8,1,first,0,21,0,0,0,0,0,0
65,8,1,first,0,22,0,0,0,0,0,0
65,8,1,first,0,23,0,0,0,0,0,0
65,8,1,first,0,24,2,-2,2,15,-15,15
65,8,1,first,0,25,0,0,0,0,0,0
65,8,1,first,0,26,5,-5,5,35,-35,35
65,8,1,first,0,27,16,-16,16,123,-123,123
65,8,1,first,0,28,44,-44,44,337,-337,337
65,8,1,first,0,29,54,-52,52,377,-367,367
65,8,1,first,0,30,92,-83,83,616,-568,568
65,8,1,first,0,31,154,-138,138,990,-900,900
65,8,1,first,0,32,269,-218,220,1588,-1328,1338
65,8,1,first,0,33,353,-256,266,1951,-1461,1503
65,8,1,first,0,34,513,-342,368,2677,-1840,1938
65,8,1,first,0,35,653,-385,429,3104,-1896,2076
65,8,1,first,0,36,825,-386,482,3691,-1821,2233
65,8,1,first,0,37,870,-221,455,3705,-986,1926
65,8,1,first,0,38,981,-65,477,3939,-323,1927
65,8,1,first,0,39,1045,86,532,4176,297,2127
65,8,1,first,0,40,981,198,506,3927,804,2002
65,8,1,first,0,41,860,349,495,3417,1444,1962
65,8,1,first,0,42,722,406,456,2899,1674,1866
65,8,1,first,0,43,518,341,379,2160,1472,1616
65,8,1,first,0,44,391,308,310,1717,1364,1372
65,8,1,first,0,45,269,208,210,1221,969,975
65,8,1,first,0,46,174,160,160,846,785,785
65,8,1,first,0,47,104,96,96,525,491,491
65,8,1,first,0,48,63,60,60,344,330,330
65,8,1,first,0,49,20,19,19,113,107,107
65,8,1,first,0,50,12,12,12,74,74,74
65,8,1,first,0,51,4,4,4,23,23,23
65,8,1,first,0,52,4,4,4,22,22,22
65,8,1,first,0,53,2,2,2,18,18,18
65,8,1,first,0,54,0,0,0,0,0,0
65,8,1,first,0,55,0,0,0,0,0,0
65,8,1,first,0,56,0,0,0,0,0,0
65,8,1,first,0,57,0,0,0,0,0,0
65,8,1,first,0,58,0,0,0,0,0,0
65,8,1,first,0,59,0,0,0,0,0,0
65,8,1,first,0,60,0,0,0,0,0,0
65,8,1,first,0,61,0,0,0,0,0,0
65,8,1,first,0,62,0,0,0,0,0,0
65,8,1,first,0,63,0,0,0,0,0,0
65,8,1,first,0,64,0,0,0,0,0,0
65,8,1,first,0,65,0,0,0,0,0,0
65,7,4,second,0,0,0,0,0,0,0,0
65,7,4,second,0,1,0,0,0,0,0,0
65,7,4,second,0,2,0,0,0,0,0,0
65,7,4,second,0,3,0,0,0,0,0,0
65,7,4,second,0,4,0,0,0,0,0,0
65,7,4,second,0,5,0,0,0,0,0,0
65,7,4,second,0,6,0,0,0,0,0,0
65,7,4,second,0,7,0,0,0,0,0,0
65,7,4,second,0,8,0,0,0,0,0,0
65,7,4,second,0,9,0,0,0,0,0,0
65,7,4,second,0,10,0,0,0,0,0,0
65,7,4,second,0,11,0,0,0,0,0,0
65,7,4,second,0,12,0,0,0,0,0,0
65,7,4,second,0,13,0,0,0,0,0,0
65,7,4,second,0,14,0,0,0,0,0,0
65,7,4,second,0,15,0,0,0,0,0,0
65,7,4,second,0,16,0,0,0,0,0,0
65,7,4,second,0,17,0,0,0,0,0,0
65,7,4,second,0,18,0,0,0,0,0,0
65,7,4,second,0,19,0,0,0,0,0,0
65,7,4,second,0,20,0,0,0,0,0,0
65,7,4,second,0,21,0,0,0,0,0,0
65,7,4,second,0,22,0,0,0,0,0,0
65,7,4,second,0,23,0,0,0,0,0,0
65,7,4,second,0,24,2,-2,2,21,-21,21
65,7,4,second,0,25,0,0,0,0,0,0
65,7,4,second,0,26,5,-5,5,39,-39,39
65,7,4,second,0,27,16,-16,16,118,-118,118
65,7,4,second,0,28,44,-42,42,338,-325,325
65,7,4,second,0,29,54,-52,52,376,-367,367
65,7,4,second,0,30,92,-85,85,588,-550,550
65,7,4,second,0,31,154,-133,137,1024,-912,930
65,7,4,second,0,32,269,-225,227,1625,-1390,1404
65,7,4,second,0,33,353,-266,274,1895,-1491,1523
65,7,4,second,0,34,513,-337,365,2653,-1810,1924
65,7,4,second,0,35,653,-365,423,3138,-1853,2099
65,7,4,second,0,36,825,-368,508,3795,-1815,2371
65,7,4,second,0,37,870,-230,452,3751,-1116,1960
65,7,4,second,0,38,981,-119,487,4080,-584,2026
65,7,4,second,0,39,1045,110,548,4199,404,2166
65,7,4,second,0,40,981,225,523,3880,913,2101
65,7,4,second,0,41,860,354,506,3442,1437,2025
65,7,4,second,0,42,722,402,460,2942,1660,1880
65,7,4,second,0,43,518,360,376,2104,1472,1530
65,7,4,second,0,44,391,284,288,1641,1194,1206
65,7,4,second,0,45,269,231,237,1234,1080,1102
65,7,4,second,0,46,174,153,155,845,755,763
65,7,4,second,0,47,104,95,97,535,495,505
65,7,4,second,0,48,63,60,60,351,338,338
65,7,4,second,0,49,20,18,18,111,103,103
65,7,4,second,0,50,12,12,12,71,71,71
65,7,4,second,0,51,4,4,4,22,22,22
65,7,4,second,0,52,4,4,4,21,21,21
65,7,4,second,0,53,2,2,2,12,12,12
65,7,4,second,0,54,0,0,0,0,0,0
65,7,4,second,0,55,0,0,0,0,0,0
65,7,4,second,0,56,0,0,0,0,0,0
65,7,4,second,0,57,0,0,0,0,0,0
65,7,4,second,0,58,0,0,0,0,0,0
65,7,4,second,0,59,0,0,0,0,0,0
65,7,4,second,0,60,0,0,0,0,0,0
65,7,4,second,0,61,0,0,0,0,0,0
65,7,4,second,0,62,0,0,0,0,0,0
65,7,4,second,0,63,0,0,0,0,0,0
65,7,4,second,0,64,0,0,0,0,0,0
65,7,4,second,0,65,0,0,0,0,0,0
65,8,1,first,1,0,0,0,0,0,0,0
65,8,1,first,1,1,0,0,0,0,0,0
