n,a,b,orientation,batch,k,samples,sum_q,sum_e,sum_s,sum_qs,sum_es
85,9,2,first,0,0,0,0,0,0,0,0
85,9,2,first,0,1,0,0,0,0,0,0
85,9,2,first,0,2,0,0,0,0,0,0
85,9,2,first,0,3,0,0,0,0,0,0
85,9,2,first,0,4,0,0,0,0,0,0
85,9,2,first,0,5,0,0,0,0,0,0
85,9,2,first,0,6,0,0,0,0,0,0
85,9,2,first,0,7,0,0,0,0,0,0
85,9,2,first,0,8,0,0,0,0,0,0
85,9,2,first,0,9,0,0,0,0,0,0
85,9,2,first,0,10,0,0,0,0,0,0
85,9,2,first,0,11,0,0,0,0,0,0
85,9,2,first,0,12,0,0,0,0,0,0
85,9,2,first,0,13,0,0,0,0,0,0
85,9,2,first,0,14,0,0,0,0,0,0
85,9,2,first,0,15,0,0,0,0,0,0
85,9,2,first,0,16,0,0,0,0,0,0
85,9,2,first,0,17,0,0,0,0,0,0
85,9,2,first,0,18,0,0,0,0,0,0
85,9,2,first,0,19,0,0,0,0,0,0
85,9,2,first,0,20,0,0,0,0,0,0
85,9,2,first,0,21,0,0,0,0,0,0
85,9,2,first,0,22,0,0,0,0,0,0
85,9,2,first,0,23,0,0,0,0,0,0
85,9,2,first,0,24,0,0,0,0,0,0
85,9,2,first,0,25,0,0,0,0,0,0
85,9,2,first,0,26,0,0,0,0,0,0
85,9,2,first,0,27,0,0,0,0,0,0
85,9,2,first,0,28,0,0,0,0,0,0
85,9,2,first,0,29,0,0,0,0,0,0
85,9,2,first,0,30,0,0,0,0,0,0
85,9,2,first,0,31,0,0,0,0,0,0
85,9,2,first,0,32,0,0,0,0,0,0
85,9,2,first,0,33,0,0,0,0,0,0
85,9,2,first,0,34,2,-2,2,25,-25,25
85,9,2,first,0,35,2,-2,2,22,-22,22
85,9,2,first,0,36,1,-1,1,11,-11,11
85,9,2,first,0,37,15,-15,15,122,-122,122
85,9,2,first,0,38,12,-11,11,105,-101,101
85,9,2,first,0,39,33,-32,32,295,-283,283
85,9,2,first,0,40,59,-53,53,466,-424,424
85,9,2,first,0,41,103,-98,98,761,-725,725
85,9,2,first,0,42,146,-132,132,1049,-962,962
85,9,2,first,0,43,237,-190,194,1641,-1354,1376
85,9,2,first,0,44,303,-219,239,2002,-1497,1607
85,9,2,first,0,45,455,-281,313,2771,-1789,1943
85,9,2,first,0,46,566,-297,349,3322,-1795,2077
85,9,2,first,0,47,631,-276,376,3426,-1646,2094
85,9,2,first,0,48,764,-271,439,3983,-1447,2271
85,9,2,first,0,49,857,-210,448,4356,-1120,2276
85,9,2,first,0,50,856,-69,423,4205,-338,2098
85,9,2,first,0,51,916,68,460,4405,318,2218
85,9,2,first,0,52,808,179,413,3900,864,2004
85,9,2,first,0,53,779,273,435,3690,1266,2058
85,9,2,first,0,54,649,338,420,3057,1647,1995
85,9,2,first,0,55,536,304,372,2607,1489,1825
85,9,2,first,0,56,416,301,315,2116,1556,1618
85,9,2,first,0,57,294,222,224,1528,1182,1188
85,9,2,first,0,58,203,171,175,1106,947,963
85,9,2,first,0,59,156,137,137,871,765,765
85,9,2,first,0,60,93,90,90,534,521,521
85,9,2,first,0,61,46,44,44,270,259,259
85,9,2,first,0,62,33,33,33,192,192,192
85,9,2,first,0,63,14,13,13,94,87,87
85,9,2,first,0,64,8,8,8,58,58,58
85,9,2,first,0,65,1,1,1,6,6,6
85,9,2,first,0,66,5,5,5,38,38,38
85,9,2,first,0,67,1,1,1,8,8,8
85,9,2,first,0,68,0,0,0,0,0,0
85,9,2,first,0,69,0,0,0,0,0,0
85,9,2,first,0,70,0,0,0,0,0,0
85,9,2,first,0,71,0,0,0,0,0,0
85,9,2,first,0,72,0,0,0,0,0,0
85,9,2,first,0,73,0,0,0,0,0,0
85,9,2,first,0,74,0,0,0,0,0,0
85,9,2,first,0,75,0,0,0,0,0,0
85,9,2,first,0,76,0,0,0,0,0,0
85,9,2,first,0,77,0,0,0,0,0,0
85,9,2,first,0,78,0,0,0,0,0,0
85,9,2,first,0,79,0,0,0,0,0,0
85,9,2,first,0,80,0,0,0,0,0,0
85,9,2,first,0,81,0,0,0,0,0,0
85,9,2,first,0,82,0,0,0,0,0,0
85,9,2,first,0,83,0,0,0,0,0,0
85,9,2,first,0,84,0,0,0,0,0,0
85,9,2,first,0,85,0,0,0,0,0,0
85,7,6,second,0,0,0,0,0,0,0,0
85,7,6,second,0,1,0,0,0,0,0,0
85,7,6,second,0,2,0,0,0,0,0,0
85,7,6,second,0,3,0,0,0,0,0,0
85,7,6,second,0,4,0,0,0,0,0,0
85,7,6,second,0,5,0,0,0,0,0,0
85,7,6,second,0,6,0,0,0,0,0,0
85,7,6,second,0,7,0,0,0,0,0,0
85,7,6,second,0,8,0,0,0,0,0,0
85,7,6,second,0,9,0,0,0,0,0,0
85,7,6,second,0,10,0,0,0,0,0,0
85,7,6,second,0,11,0,0,0,0,0,0
85,7,6,second,0,12,0,0,0,0,0,0
85,7,6,second,0,13,0,0,0,0,0,0
85,7,6,second,0,14,0,0,0,0,0,0
85,7,6,second,0,15,0,0,0,0,0,0
85,7,6,second,0,16,0,0,0,0,0,0
85,7,6,second,0,17,0,0,0,0,0,0
85,7,6,second,0,18,0,0,0,0,0,0
85,7,6,second,0,19,0,0,0,0,0,0
85,7,6,second,0,20,0,0,0,0,0,0
85,7,6,second,0,21,0,0,0,0,0,0
85,7,6,second,0,22,0,0,0,0,0,0
85,7,6,second,0,23,0,0,0,0,0,0
85,7,6,second,0,24,0,0,0,0,0,0
85,7,6,second,0,25,0,0,0,0,0,0
85,7,6,second,0,26,0,0,0,0,0,0
85,7,6,second,0,27,0,0,0,0,0,0
85,7,6,second,0,28,0,0,0,0,0,0
85,7,6,second,0,29,0,0,0,0,0,0
85,7,6,second,0,30,0,0,0,0,0,0
85,7,6,second,0,31,0,0,0,0,0,0
85,7,6,second,0,32,0,0,0,0,0,0
85,7,6,second,0,33,0,0,0,0,0,0
85,7,6,second,0,34,2,-2,2,21,-21,21
