N,C,C_jackknife_se,A_M,B,A_p,root_gap,linearized_root_gap,delta_M_prime
65,1.0003073146707324,0.00014055085063423834,0.4641151858664204,1.7513966050449201,0.26507863149594235,-0.00008553498364436135,-0.00008550870556466600,-0.005807256206176922
85,0.9998354922112578,0.00010639548978774667,0.6254498868822465,1.7497812211653792,0.35738581940426614,-0.00007887040891822935,-0.00007888338584960396,-0.004871495933100030
130,1.0000003450462100,0.00001957106935397931,0.8984149375607228,1.7472906212691859,0.5141761974907224,-0.00004147830814812592,-0.00004147829383619784,-0.0007036459883674944
145,1.0000077465099146,0.00007902083004976050,1.0855904579377233,1.7468979994812676,0.6214437636297780,-0.00005668267644583162,-0.00005668223735631796,-0.005403630635856029
170,0.9999610955324695,0.00005612261122016268,1.5395094834967658,1.7461904093512316,0.8816046528809018,-0.00004863967433909071,-0.00004864156671334354,-0.002510800634539671
