row_id,N,seed,delta_M,delta_M_se,delta_cos4,a1,b1,a2,b2
65:p33-working-tree-10m,65,p33-working-tree-10m,0.0007165348935773727,0.0002029568131432706,1.3633136094674556,8,1,7,4
85:p33-working-tree-10m,85,p33-working-tree-10m,0.0007303001530936115,0.00020229115110938063,1.5944636678200692,9,2,7,6
130:p33-working-tree-10m,130,p33-working-tree-10m,0.00044969161193581767,0.00023614101929673138,1.3633136094674556,11,3,9,7
145:p33-working-tree-10m,145,p33-working-tree-10m,0.0006400700889027388,0.00020927340623399179,1.9177170035671818,12,1,9,8
170:p33-working-tree-10m,170,p33-working-tree-10m,0.0005827972568741277,0.00020248818052159012,1.5944636678200692,13,1,11,7
