N,batch,samples,a1,b1,a2,b2,delta_cos4,delta_M,mean_M_prime,root_gap_jackknife_pseudovalue,A_M,B,A_p_jackknife_pseudovalue
65,0,100000,8,1,7,4,1.3633136094674556,0.0007041719403821889,8.379718882803383,-8.388837567230648e-05,0.45610743303892876,1.751406433621403,0.25997568333081
85,0,100000,9,2,7,6,1.5944636678200692,0.0017391834254355998,9.273294705516141,-0.00018760766740153183,1.4894863051832616,1.7526773115591205,0.8501074212805632
130,0,100000,11,3,9,7,1.3633136094674556,0.0006030977971827908,10.840844655279309,-5.563017084704667e-05,1.2048969903319424,1.7471667820519532,0.6896064711642795
145,0,100000,12,1,9,8,1.9177170035671818,9.612384251684335e-05,11.290169736509009,-8.552714727008692e-06,0.16303078057511003,1.7465759283115596,0.09376817684823653
170,0,100000,13,1,11,7,1.5944636678200692,0.002515276647745369,11.981608427108599,-0.00020992037430576406,6.6443213435685164,1.7462112294028227,3.804852339928759
65,1,100000,8,1,7,4,1.3633136094674556,-0.0026467316683402285,8.370085722923266,0.0003157565781058934,-1.714345485754941,1.74939305126024,-0.9785507408075543
85,1,100000,9,2,7,6,1.5944636678200692,0.00029590401025817234,9.256991604238705,-3.182470930277945e-05,0.25342063665191905,1.7495959821476854,0.1442074406292015
130,1,100000,11,3,9,7,1.3633136094674556,-0.002321082688068331,10.837723009847823,0.00021407101056841737,-4.6371675675636315,1.7466636814747687,-2.653681481269344
145,1,100000,12,1,9,8,1.9177170035671818,-0.004002970003242437,11.316367580815959,0.0003545920606113232,-6.789234670191339,1.7506287038949249,-3.8875903277101513
170,1,100000,13,1,11,7,1.5944636678200692,-0.000362784841690433,11.970126709213385,3.02157807030249e-05,-0.9583276133571806,1.7445378727042264,-0.5476675824864025
65,2,100000,8,1,7,4,1.3633136094674556,-0.0004217542629737811,8.372287556692463,5.027908742566943e-05,-0.27317938024311295,1.7498532463912546,-0.1558182526003195
85,2,100000,9,2,7,6,1.5944636678200692,0.004659410500958799,9.260645331849949,-0.0005031679604164093,3.9904520879774203,1.7502865463635555,2.280007119245818
130,2,100000,11,3,9,7,1.3633136094674556,-0.004348380759735202,10.83193231075483,0.00040106291643806063,-8.687398486110359,1.7457304223587267,-4.971683140793164
145,2,100000,12,1,9,8,1.9177170035671818,0.0011518252076464011,11.298394902013253,-0.00010197751451760349,1.9535523942020585,1.747848351703888,1.1180363102294941
170,2,100000,13,1,11,7,1.5944636678200692,0.002007775693410279,11.983875955916906,-0.00016754586065114048,5.3037135715397,1.7465417012499163,3.0368050840807084
65,3,100000,8,1,7,4,1.3633136094674556,0.0009243224394849844,8.37809565003368,-0.00011043885862250906,0.5987036844225274,1.7510671692193527,0.34225740463514337
85,3,100000,9,2,7,6,1.5944636678200692,0.002181476262709371,9.263355853233813,-0.0002355644130049338,1.8682785098266157,1.75079884209909,1.0674140266159438
130,3,100000,11,3,9,7,1.3633136094674556,0.001199540096274106,10.857011140745088,-0.00011057797153602063,2.3964973152523403,1.7497722567438703,1.370754099409846
145,3,100000,12,1,9,8,1.9177170035671818,0.0014057846081887615,11.283405497874185,-0.00012454867331458327,2.3842800702992055,1.745529508581063,1.365496500040485
170,3,100000,13,1,11,7,1.5944636678200692,-0.000708158624149756,11.984158636629854,5.913853370421735e-05,-1.8706624041884192,1.7465828994111052,-1.071898757272122
65,4,100000,8,1,7,4,1.3633136094674556,0.0009413953088483224,8.380791073853594,-0.00011229442337378284,0.6097621520685041,1.751630527332621,0.34800792382580426
85,4,100000,9,2,7,6,1.5944636678200692,0.0006059123461193517,9.237140898770805,-6.576580240218698e-05,0.5189206201526404,1.7458441461285699,0.2980048601580435
130,4,100000,11,3,9,7,1.3633136094674556,0.003533226225659194,10.84210071387054,-0.0003258863528012956,7.058844627430067,1.747369214972698,4.039774358662242
