covariance_mode,parent_N,child_N,parent_stored_root_gap,child_stored_root_gap,child_lineage_root_gap,observed_ratio,ratio_se_delta_method,target_ratio,fixed_prediction_residual,residual_se,residual_z
full_cross_size_covariance,65,130,-8.55353032987927e-05,-4.147850071973728e-05,4.147850071973728e-05,-0.48492843445991185,0.262368057159159,-0.25,2.0094674895039103e-05,2.133111943058559e-05,0.9420356470474958
full_cross_size_covariance,85,170,-7.887012940016666e-05,-4.8639657913680464e-05,4.8639657913680464e-05,-0.6167056943306813,0.26841324712178766,-0.25,2.89221255636388e-05,1.754248006346863e-05,1.648690804207766
diagonal_cross_size_covariance,65,130,-8.55353032987927e-05,-4.147850071973728e-05,4.147850071973728e-05,-0.48492843445991185,0.2893054987851225,-0.25,2.0094674895039103e-05,2.2606829236576015e-05,0.8888763074534818
diagonal_cross_size_covariance,85,170,-7.887012940016666e-05,-4.8639657913680464e-05,4.8639657913680464e-05,-0.6167056943306813,0.27405922077385436,-0.25,2.89221255636388e-05,1.776124773251633e-05,1.6283836585810207
