n,a,b,orientation,batch,samples,tau1,tau2,kind,ell_x,ell_y,count
65,8,1,first,0,1000,24,29,LINE,1,0,1
65,8,1,first,0,1000,24,31,LINE,0,1,1
65,8,1,first,0,1000,25,35,LINE,1,0,1
65,8,1,first,0,1000,26,39,LINE,1,0,2
65,8,1,first,0,1000,26,41,LINE,0,1,2
65,8,1,first,0,1000,26,41,LINE,1,0,1
65,8,1,first,0,1000,26,44,LINE,0,1,1
65,8,1,first,0,1000,27,32,LINE,1,-1,1
65,8,1,first,0,1000,27,33,LINE,0,1,1
65,8,1,first,0,1000,27,33,LINE,1,0,1
65,8,1,first,0,1000,27,38,LINE,0,1,2
65,8,1,first,0,1000,27,40,LINE,0,1,1
65,8,1,first,0,1000,27,41,LINE,0,1,2
65,8,1,first,0,1000,27,43,LINE,1,0,1
65,8,1,first,0,1000,27,47,LINE,1,0,1
65,8,1,first,0,1000,27,53,LINE,0,1,1
65,8,1,first,0,1000,28,31,LINE,1,1,1
65,8,1,first,0,1000,28,35,LINE,1,0,1
65,8,1,first,0,1000,28,38,LINE,0,1,1
65,8,1,first,0,1000,28,40,LINE,1,0,2
65,8,1,first,0,1000,28,41,LINE,1,0,1
65,8,1,first,0,1000,28,42,LINE,1,-1,1
65,8,1,first,0,1000,28,43,LINE,0,1,1
65,8,1,first,0,1000,28,44,LINE,0,1,1
65,8,1,first,0,1000,28,45,LINE,1,0,2
65,8,1,first,0,1000,28,53,LINE,1,0,1
65,8,1,first,0,1000,29,34,LINE,1,0,1
65,8,1,first,0,1000,29,36,LINE,0,1,1
65,8,1,first,0,1000,29,36,LINE,1,0,1
65,8,1,first,0,1000,29,37,LINE,0,1,2
65,8,1,first,0,1000,29,37,LINE,1,0,1
65,8,1,first,0,1000,29,37,LINE,1,1,1
65,8,1,first,0,1000,29,38,LINE,0,1,1
65,8,1,first,0,1000,29,40,LINE,1,0,2
65,8,1,first,0,1000,29,42,LINE,0,1,1
65,8,1,first,0,1000,29,43,LINE,0,1,1
65,8,1,first,0,1000,29,43,LINE,1,0,1
65,8,1,first,0,1000,29,47,LINE,0,1,1
65,8,1,first,0,1000,29,48,LINE,1,0,1
65,8,1,first,0,1000,29,50,LINE,0,1,1
65,8,1,first,0,1000,30,33,LINE,1,0,1
65,8,1,first,0,1000,30,34,LINE,0,1,1
65,8,1,first,0,1000,30,35,LINE,0,1,2
65,8,1,first,0,1000,30,35,LINE,1,0,3
65,8,1,first,0,1000,30,36,LINE,0,1,1
65,8,1,first,0,1000,30,37,LINE,1,-1,1
65,8,1,first,0,1000,30,37,LINE,1,0,1
65,8,1,first,0,1000,30,40,LINE,1,0,2
65,8,1,first,0,1000,30,41,LINE,1,0,1
65,8,1,first,0,1000,30,42,LINE,0,1,2
65,8,1,first,0,1000,30,43,LINE,1,0,1
65,8,1,first,0,1000,30,44,LINE,1,0,1
65,8,1,first,0,1000,30,45,LINE,0,1,1
65,8,1,first,0,1000,30,45,LINE,1,0,2
65,8,1,first,0,1000,30,46,LINE,0,1,1
65,8,1,first,0,1000,30,46,LINE,1,0,1
65,8,1,first,0,1000,30,47,LINE,0,1,1
65,8,1,first,0,1000,30,50,LINE,0,1,1
65,8,1,first,0,1000,30,53,LINE,0,1,1
65,8,1,first,0,1000,31,32,LINE,1,0,1
65,8,1,first,0,1000,31,34,LINE,0,1,1
65,8,1,first,0,1000,31,35,LINE,0,1,1
65,8,1,first,0,1000,31,35,LINE,1,0,1
65,8,1,first,0,1000,31,36,LINE,0,1,1
65,8,1,first,0,1000,31,36,LINE,1,0,1
65,8,1,first,0,1000,31,37,LINE,0,1,1
65,8,1,first,0,1000,31,38,LINE,0,1,1
65,8,1,first,0,1000,31,38,LINE,1,0,5
65,8,1,first,0,1000,31,39,LINE,0,1,1
65,8,1,first,0,1000,31,39,LINE,1,0,2
65,8,1,first,0,1000,31,40,LINE,1,0,1
65,8,1,first,0,1000,31,41,LINE,1,0,2
65,8,1,first,0,1000,31,42,LINE,1,0,3
65,8,1,first,0,1000,31,43,LINE,0,1,1
65,8,1,first,0,1000,31,43,LINE,1,0,1
65,8,1,first,0,1000,31,44,LINE,0,1,1
65,8,1,first,0,1000,31,45,LINE,0,1,3
65,8,1,first,0,1000,31,47,LINE,1,0,1
65,8,1,first,0,1000,31,49,LINE,0,1,1
65,8,1,first,0,1000,31,50,LINE,0,1,1
65,8,1,first,0,1000,32,33,LINE,1,0,2
65,8,1,first,0,1000,32,33,LINE,1,1,1
65,8,1,first,0,1000,32,34,LINE,0,1,1
65,8,1,first,0,1000,32,34,LINE,1,1,1
65,8,1,first,0,1000,32,35,LINE,0,1,1
65,8,1,first,0,1000,32,35,LINE,1,0,2
65,8,1,first,0,1000,32,35,LINE,1,1,1
65,8,1,first,0,1000,32,36,LINE,0,1,2
65,8,1,first,0,1000,32,36,LINE,1,0,1
65,8,1,first,0,1000,32,36,LINE,1,1,1
65,8,1,first,0,1000,32,37,LINE,0,1,1
65,8,1,first,0,1000,32,37,LINE,1,0,7
65,8,1,first,0,1000,32,38,LINE,0,1,4
65,8,1,first,0,1000,32,38,LINE,1,0,2
65,8,1,first,0,1000,32,38,LINE,1,1,1
65,8,1,first,0,1000,32,39,LINE,0,1,1
