kminus,kplus,count
18,49,1
20,59,1
21,47,1
21,52,1
21,57,1
22,40,1
22,47,1
22,50,1
22,52,2
22,53,1
22,54,3
22,55,1
22,57,1
22,58,1
22,61,1
23,41,1
23,43,2
23,45,2
23,48,1
23,49,2
23,50,1
23,51,3
23,52,4
23,53,6
23,54,1
23,55,2
23,56,2
23,57,1
23,58,1
23,59,2
23,61,2
23,65,1
24,37,1
24,38,1
24,43,2
24,46,1
24,47,2
24,48,2
24,49,3
24,50,2
24,51,5
24,52,3
24,53,5
24,54,2
24,55,2
24,56,3
24,57,4
24,58,3
24,60,1
25,35,2
25,36,1
25,39,1
25,41,2
25,43,2
25,44,2
25,45,3
25,46,4
25,47,6
25,48,3
25,49,2
25,50,4
25,51,1
25,52,6
25,53,9
25,54,11
25,55,4
25,56,4
25,57,4
25,58,2
25,60,2
25,61,2
25,62,1
25,63,2
26,34,1
26,36,2
26,37,1
26,38,2
26,39,1
26,40,1
26,42,2
26,43,5
26,45,2
26,46,7
26,47,5
26,48,5
26,49,11
26,50,10
26,51,7
26,52,11
26,53,8
26,54,7
26,55,9
26,56,3
26,57,5
26,58,1
26,59,5
26,60,4
26,61,3
26,62,2
26,64,3
26,65,1
26,67,2
27,36,2
27,37,3
27,38,4
27,39,1
27,40,3
27,41,4
27,42,3
27,43,7
27,44,4
27,45,7
27,46,5
27,47,13
27,48,19
27,49,15
27,50,13
27,51,13
27,52,16
27,53,20
27,54,24
27,55,8
27,56,23
27,57,12
27,58,13
27,59,6
27,60,6
27,61,5
27,62,2
27,63,8
27,64,1
27,65,2
27,66,2
28,34,1
28,35,1
28,36,1
28,38,6
28,39,4
28,40,2
28,41,4
28,42,3
28,43,7
28,44,8
28,45,14
28,46,13
28,47,19
28,48,21
28,49,23
28,50,20
28,51,30
28,52,19
28,53,26
28,54,36
28,55,15
28,56,24
28,57,17
28,58,26
28,59,18
28,60,20
28,61,11
28,62,5
28,63,8
28,64,2
28,65,3
28,66,2
28,67,1
28,68,2
28,71,1
29,31,1
29,32,1
29,33,2
29,34,1
29,35,3
29,36,1
29,37,2
29,38,5
29,39,6
29,40,9
29,41,9
29,42,11
29,43,20
29,44,17
29,45,20
29,46,33
29,47,41
29,48,43
29,49,48
29,50,48
29,51,46
29,52,47
29,53,59
29,54,59
29,55,54
29,56,36
29,57,29
29,58,37
29,59,27
29,60,24
29,61,17
29,62,14
29,63,10
29,64,9
29,65,6
29,66,3
29,67,4
29,69,2
30,34,2
30,35,6
30,36,4
30,37,2
30,38,4
30,39,8
30,40,16
30,41,14
30,42,21
30,43,34
30,44,33
30,45,39
30,46,49
30,47,54
30,48,70
30,49,61
30,50,61
30,51,87
30,52,70
30,53,87
30,54,91
30,55,64
30,56,86
30,57,55
30,58,32
30,59,29
30,60,38
30,61,14
30,62,18
30,63,12
30,64,8
30,65,9
30,66,10
30,67,4
30,68,1
30,69,1
30,70,1
30,71,2
30,74,2
31,31,1
31,33,3
31,34,3
31,35,2
31,36,5
31,37,11
31,38,12
31,39,16
31,40,31
31,41,31
31,42,32
31,43,48
31,44,64
31,45,64
31,46,80
31,47,85
31,48,106
31,49,109
31,50,152
31,51,116
31,52,119
31,53,127
31,54,128
31,55,106
31,56,101
31,57,97
31,58,69
31,59,62
31,60,62
31,61,30
31,62,35
31,63,29
31,64,10
31,65,11
31,66,5
31,67,6
31,68,3
31,69,3
31,70,2
31,71,2
31,72,2
32,33,2
32,34,1
32,35,4
32,36,6
32,37,12
32,38,12
32,39,19
32,40,23
32,41,32
32,42,57
32,43,75
32,44,77
32,45,95
32,46,134
32,47,163
32,48,167
32,49,159
32,50,194
32,51,192
32,52,202
32,53,196
32,54,195
32,55,180
32,56,150
32,57,153
32,58,106
32,59,97
32,60,74
32,61,77
32,62,35
32,63,31
32,64,25
32,65,11
32,66,10
32,67,10
32,68,5
32,69,5
32,70,4
32,72,1
32,75,1
33,34,9
33,35,5
33,36,18
33,37,21
33,38,28
33,39,47
33,40,56
33,41,68
33,42,91
33,43,101
33,44,118
33,45,168
33,46,186
33,47,206
33,48,254
33,49,273
33,50,270
33,51,284
33,52,299
33,53,261
33,54,309
33,55,251
33,56,231
33,57,181
33,58,195
33,59,145
33,60,119
33,61,87
33,62,67
33,63,44
33,64,37
33,65,25
33,66,15
33,67,14
33,68,9
33,69,6
33,70,2
33,71,3
33,74,1
34,34,1
34,35,11
34,36,19
34,37,32
34,38,34
34,39,69
34,40,68
34,41,97
34,42,133
34,43,168
34,44,220
34,45,230
34,46,312
34,47,324
34,48,394
34,49,398
34,50,397
34,51,472
34,52,443
34,53,415
34,54,399
34,55,356
34,56,346
34,57,276
34,58,242
34,59,192
34,60,174
34,61,136
34,62,113
34,63,64
34,64,60
34,65,42
34,66,27
34,67,14
34,68,15
34,69,9
34,70,2
34,71,1
34,73,1
35,35,3
35,36,24
35,37,49
35,38,67
35,39,91
35,40,123
35,41,152
35,42,198
35,43,257
35,44,306
35,45,368
35,46,386
35,47,463
35,48,530
35,49,567
35,50,615
35,51,661
35,52,576
35,53,645
35,54,602
35,55,560
35,56,475
35,57,387
35,58,345
35,59,302
35,60,247
35,61,209
35,62,144
35,63,96
35,64,64
35,65,57
35,66,39
35,67,20
35,68,13
35,69,7
35,70,6
35,71,2
35,72,2
35,73,1
35,74,1
36,36,8
36,37,89
36,38,97
36,39,132
36,40,154
36,41,234
36,42,297
36,43,355
36,44,410
36,45,506
36,46,600
36,47,647
36,48,779
36,49,811
36,50,844
36,51,849
36,52,888
36,53,856
36,54,822
36,55,750
36,56,697
36,57,567
36,58,476
36,59,382
36,60,333
36,61,253
36,62,182
36,63,135
36,64,93
36,65,72
36,66,51
36,67,37
36,68,21
36,69,13
36,70,11
36,71,2
36,72,6
36,73,1
37,37,10
37,38,160
37,39,220
37,40,267
37,41,337
37,42,419
37,43,494
37,44,598
37,45,753
37,46,853
37,47,976
37,48,1116
37,49,1141
37,50,1270
37,51,1270
37,52,1259
37,53,1160
37,54,1166
37,55,1043
37,56,964
37,57,835
37,58,695
37,59,547
37,60,425
37,61,356
37,62,273
37,63,216
37,64,148
37,65,118
37,66,67
37,67,42
37,68,25
37,69,13
37,70,9
37,71,6
37,72,4
37,73,1
38,38,25
38,39,303
38,40,400
38,41,446
38,42,586
38,43,694
38,44,876
38,45,1049
38,46,1157
38,47,1344
38,48,1437
38,49,1545
38,50,1642
38,51,1771
38,52,1670
38,53,1604
38,54,1626
38,55,1475
38,56,1186
38,57,1159
38,58,889
38,59,777
38,60,618
38,61,473
38,62,345
38,63,250
38,64,183
38,65,134
38,66,97
38,67,60
38,68,33
38,69,27
38,70,15
38,71,8
38,72,1
38,73,3
38,74,1
39,39,40
39,40,564
39,41,692
39,42,857
39,43,1015
39,44,1186
39,45,1401
39,46,1642
39,47,1890
39,48,2001
39,49,2215
39,50,2284
39,51,2341
39,52,2333
39,53,2245
39,54,2110
39,55,1876
39,56,1743
39,57,1428
39,58,1204
39,59,980
39,60,780
39,61,601
39,62,517
39,63,376
39,64,231
39,65,180
39,66,110
39,67,81
39,68,54
39,69,27
39,70,18
39,71,9
39,72,7
39,73,3
40,40,92
40,41,909
40,42,1178
40,43,1380
40,44,1692
40,45,1907
40,46,2277
40,47,2420
40,48,2670
40,49,2977
40,50,3017
40,51,3155
40,52,3033
40,53,2932
40,54,2762
40,55,2479
40,56,2217
40,57,1967
40,58,1647
40,59,1281
40,60,1052
40,61,841
40,62,587
40,63,464
40,64,344
40,65,220
40,66,133
40,67,95
40,68,55
40,69,40
40,70,23
40,71,10
40,72,16
40,73,1
41,41,147
41,42,1600
41,43,1922
41,44,2390
41,45,2660
41,46,3063
41,47,3462
41,48,3679
41,49,3871
41,50,4073
41,51,4182
41,52,4177
41,53,3975
41,54,3645
41,55,3255
41,56,2885
41,57,2480
41,58,2129
41,59,1749
41,60,1324
41,61,1054
41,62,761
41,63,585
41,64,392
41,65,290
41,66,190
41,67,125
41,68,72
41,69,46
41,70,22
41,71,20
41,72,8
41,73,4
41,75,1
42,42,240
42,43,2625
42,44,3021
42,45,3633
42,46,4063
42,47,4477
42,48,4892
42,49,5205
42,50,5363
42,51,5392
42,52,5378
42,53,4986
42,54,4704
42,55,4258
42,56,3726
42,57,3200
42,58,2531
42,59,2079
42,60,1649
42,61,1310
42,62,913
42,63,704
42,64,462
42,65,330
42,66,218
42,67,138
42,68,104
42,69,66
42,70,22
42,71,15
42,72,8
42,73,2
42,74,1
42,75,1
43,43,441
43,44,4147
43,45,4785
43,46,5294
43,47,5809
43,48,6354
43,49,6653
43,50,6803
43,51,6957
43,52,6761
43,53,6510
43,54,6003
43,55,5362
43,56,4523
43,57,3945
43,58,3307
43,59,2663
43,60,2107
43,61,1705
43,62,1196
43,63,884
43,64,658
43,65,412
43,66,283
43,67,200
43,68,105
43,69,54
43,70,38
43,71,18
43,72,7
43,73,3
43,74,1
43,76,2
44,44,676
44,45,6157
44,46,6840
44,47,7709
44,48,7990
44,49,8552
44,50,8815
44,51,8767
44,52,8627
44,53,7993
44,54,7334
44,55,6491
44,56,5673
44,57,4849
44,58,4041
44,59,3260
44,60,2523
44,61,1899
44,62,1529
44,63,1053
44,64,741
44,65,538
44,66,353
44,67,202
44,68,139
44,69,80
44,70,42
44,71,22
44,72,18
44,73,10
44,74,3
44,75,1
44,76,1
44,77,1
45,45,989
45,46,8596
45,47,9485
45,48,10083
45,49,10693
