k,count
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,1
19,0
20,1
21,3
22,13
23,34
24,42
25,80
26,126
27,264
28,413
29,804
30,1199
31,1980
32,2992
33,4504
34,6706
35,9660
36,13460
37,19256
38,25909
39,35041
40,45873
41,60238
42,75716
43,93990
44,112929
45,130632
46,146833
47,158962
48,165781
49,164767
50,155750
51,139996
52,119331
53,95995
54,72623
55,52124
56,35333
57,22368
58,13292
59,7513
60,3898
61,2068
62,858
63,423
64,151
65,45
66,19
67,4
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
