K,q,count,sum_S
0,-1,1,101
1,-1,50,4900
2,-1,1225,116375
3,-1,19600,1803200
4,-1,230300,20496800
5,-1,2118760,182217960
6,-1,15890700,1319031600
7,-1,99884400,7992270000
8,-1,536878550,41355966950
8,0,100,7800
9,-1,2505429600,185538869700
9,0,4100,307700
10,-1,10272195170,730262610970
10,0,83000,5986200
11,-1,37352635400,2545332503200
11,0,1103400,76380200
12,-1,121388840000,7916374383200
12,0,10811100,717299400
13,-1,354777429700,22106407277800
13,0,83088900,5276255900
14,-1,937324971300,55709917808000
14,0,520684450,31596552200
14,1,550,33650
15,-1,2248098259820,127227492173920
15,0,2731290900,158126920700
15,1,24400,1423600
16,-1,4911467950725,264195092994225
16,0,12221221350,673872453200
16,1,523500,29088700
17,-1,9800064739000,500150500678100
17,0,47307442000,2479908209800
17,1,7210150,380995200
18,-1,17893329557725,864818468301475
18,0,160127863200,7965360819800
18,1,71462850,3585223150
19,-1,29927593750100,1367333119566000
19,0,477807619100,22511016397900
19,1,542014000,25771924800
20,-1,45861647335140,1977174214572340
20,0,1264297578220,56307142027440
20,1,3267330600,146971374000
21,-1,64333471780050,2612687499752000
21,0,2977921062000,125138156146400
21,1,16053220750,681859890600
22,-1,82429756937350,3148633849246650
22,0,6254648323400,247565166063600
22,1,65410003850,2618689928350
23,-1,96109452111400,3448592202749600
23,0,11710121808500,435929154534700
23,1,223679445700,8426831449000
24,-1,101407193086100,3415227751690500
24,0,19494411512800,681829995549300
24,1,647055437400,22909972711200
25,-1,96093659326852,3037011501431952
25,0,28726110815500,943601652174500
25,1,1590836295400,52900726023300
26,-1,80988748124900,2403959076821900
26,0,37228902092650,1149214516877500
26,1,3331009818750,104057625426150
27,-1,60001828973500,1676341169795000
27,0,42101038199000,1223719095370600
27,1,5940386193100,174602440640800
28,-1,38556850719750,1017947689930150
28,0,41181133614500,1131332594041700
28,1,9011830930350,250036817047950
29,-1,21182043391550,531752086647400
29,0,34533555740700,902000314285500
29,1,11611846930550,305742056500800
30,-1,9803189087030,236036385409430
30,0,24628249398400,616688422991900
30,1,12697773758530,319680592881230
31,-1,3767667567800,87966104393000
31,0,14843705633700,360093171456900
31,1,11794570181700,286677858832600
32,-1,1186120200675,27195603936575
32,0,7530969978600,179183839248100
32,1,9336438704500,221576228683100
33,-1,301676754500,6883019180000
33,0,3211186749500,75928057234700
33,1,6334515887150,148585080161900
34,-1,60996355150,1402177102750
34,0,1150751390300,27393047730600
34,1,3711941950125,87108472205775
35,-1,9584351400,224328178600
35,0,346595728140,8405492964980
35,1,1894649495580,44988533664480
36,-1,1129170250,27123331350
36,0,87576951700,2186097138800
36,1,849139534350,20606367463450
37,-1,93965750,2327588600
37,0,18456273600,478262770800
37,1,336310279250,8411856432600
38,-1,4967700,126934100
38,0,3204925650,86812293200
38,1,118189757750,3068401247450
39,-1,134300,3506600
39,0,448811700,12777631700
39,1,36904792800,1000213856200
40,-1,1000,25400
40,0,48882750,1469019900
40,1,10223394420,290609297920
41,0,3892400,123882000
41,1,2501541300,74861066400
42,0,201650,6813800
42,1,536677000,16958502700
43,0,5100,183300
43,1,99879300,3340242400
44,1,15890700,563408300
45,1,2118760,79739060
46,1,230300,9207400
47,1,19600,832800
48,1,1225,55325
49,1,50,2400
50,1,1,51
