batch,replicas,sum_km1,sum_km2,sum_kp1,sum_kp2,sum_km1km2,sum_kp1kp2,sum_km1kp2,sum_kp1km2,sum_gap1gap2
0,50000,4801569,4799581,5316753,5317642,460937430,565453182,510642251,510314262,5434099
1,50000,4797070,4804838,5314223,5317329,460983542,565127741,510114704,510628336,5368243
2,50000,4798471,4800719,5313050,5318849,460738570,565181721,510446949,510068128,5405214
3,50000,4800009,4802132,5316438,5316339,460997351,565245625,510325905,510548753,5368318
4,50000,4799998,4802771,5317215,5316576,461069088,565354736,510360165,510694433,5369226
5,50000,4792851,4796395,5313392,5312914,459791784,564586691,509243311,509667240,5467924
6,50000,4795395,4802477,5314837,5318359,460597069,565321724,510004027,510452814,5461952
7,50000,4799264,4801935,5316241,5317953,460917473,565433083,510417263,510522711,5410582
8,50000,4798727,4799442,5314864,5315506,460627696,565025642,510110212,510141885,5401241
9,50000,4797364,4800513,5311994,5317109,460603718,564900540,510140728,509968664,5394866
10,50000,4798999,4802290,5313959,5318596,460939480,565276414,510488442,510340538,5386914
11,50000,4799232,4798206,5316998,5315315,460580102,565231445,510168511,510229972,5413064
12,50000,4802344,4801133,5317856,5318984,461115519,565714493,510839217,510609868,5380927
13,50000,4800470,4800518,5316023,5318079,460916591,565413697,510556076,510357475,5416737
14,50000,4800192,4802176,5316640,5320310,461049960,565721719,510739755,510587521,5444403
15,50000,4797015,4798512,5319165,5317063,460350440,565653807,510075845,510431362,5497040
16,50000,4797079,4800128,5313894,5317057,460545488,565078561,510105248,510105603,5413198
17,50000,4798857,4801715,5314017,5317050,460851352,565041830,510251422,510281360,5360400
18,50000,4797527,4798387,5314266,5313899,460422650,564786036,509840075,509961918,5406693
19,50000,4799412,4802169,5314848,5318736,460970148,565384490,510532108,510444123,5378407
20,50000,4801624,4799910,5317708,5315162,460970161,565305582,510419280,510452885,5403578
21,50000,4796937,4797937,5316926,5313891,460324225,565058436,509771968,510160580,5450113
22,50000,4800149,4799273,5313917,5316305,460760256,564996104,510360218,510020794,5375348
23,50000,4800076,4802142,5319989,5319235,461027622,565958874,510614557,510897906,5474033
24,50000,4796821,4800677,5317392,5319744,460570771,565740611,510315097,510490273,5506012
25,50000,4798584,4800243,5316083,5315143,460699611,565097577,510070306,510321358,5405524
26,50000,4799098,4801321,5315657,5316384,460871077,565196899,510254168,510414695,5399113
27,50000,4799109,4798936,5315998,5318381,460650179,565472680,510450923,510204230,5467706
28,50000,4799475,4799919,5314694,5317377,460765865,565182608,510398271,510169798,5380404
29,50000,4799191,4800376,5316586,5316953,460761365,565335827,510330704,510367659,5398829
30,50000,4798230,4799512,5316973,5318872,460602425,565626848,510420634,510366588,5442051
31,50000,4801476,4798734,5315390,5315232,460833845,565034450,510392858,510096325,5379112
32,50000,4801002,4799895,5318275,5318352,460905957,565678443,510645408,510502241,5436751
33,50000,4800852,4802851,5317711,5317455,461179977,565539514,510569415,510784271,5365805
34,50000,4798855,4805009,5314007,5317938,461189908,565182472,510373599,510646599,5352182
35,50000,4798919,4799157,5316125,5315799,460617920,565183398,510178009,510187813,5435496
36,50000,4795617,4801048,5313244,5315570,460503459,564850991,509795316,510137017,5422117
37,50000,4800611,4800239,5316497,5316966,460888622,565346296,510468683,510353837,5412398
38,50000,4799936,4798218,5316682,5317223,460656074,565379194,510413823,510174072,5447373
39,50000,4792571,4798494,5314266,5315511,459945232,564970672,509456983,509977998,5480923
