batch,replica_first,samples,field_sha256,translation_sha256,conjugacy_max_abs,C113_plus_re,C113_plus_im,C113_minus_re,C113_minus_im,C122_plus_re,C122_plus_im,C122_minus_re,C122_minus_im,C244_plus_re,C244_plus_im,C244_minus_re,C244_minus_im,C334_plus_re,C334_plus_im,C334_minus_re,C334_minus_im,C111_plus_re,C111_plus_im,C111_minus_re,C111_minus_im,C112_plus_re,C112_plus_im,C112_minus_re,C112_minus_im
82,16400,200,392e746196f867461fe8c993274f63dda17b18bb930116430cda199bb8448f0d,bcb1720f8b1edfd38c89022e73f7028882585b42f57bdd8b7f0d36998f9bb7ba,4.7704895589362195e-18,0.00647213595499958,-0.004702282018339787,0.006472135954999581,0.004702282018339784,-0.002472135954999578,0.00760845213036123,-0.0024721359549995784,0.007608452130361229,0.00647213595499958,0.004702282018339785,0.006472135954999579,-0.0047022820183397875,-0.0024721359549995797,-0.0076084521303612295,-0.002472135954999583,-0.007608452130361229,0.00647213595499958,-0.004702282018339787,-0.008,1.996123125980216e-18,0.00647213595499958,-0.004702282018339787,-0.0024721359549995784,0.007608452130361229
83,16600,200,53d60438e9cbde5c3031b2885acc6d1721c0c9fb79ac8d685b92168d66f50d7c,84da548ce4aac0ec4c19d4ee718c67d4c1dbc1e6cd6f3998e74b2ae92d737c24,7.330938211459557e-18,-0.01447213595499958,0.004702282018339791,0.0,0.0,0.0,1.6184595025438862e-18,0.0,0.0,-0.014472135954999583,-0.004702282018339781,0.0,0.0,1.734723475976807e-18,1.5511765159912107e-18,0.0,0.0,-4.336808689942018e-18,-0.009404564036679573,0.0,0.0,0.005527864045000417,-0.007608452130361229,0.0,0.0
84,16800,200,a058844d9f725b787b95317c13eec11389b2453bc4b788c62ec4f1cddacd80d4,c3ae214ae73e11a4bdaa23e141dce062024414e5e034c4794aa501fb6a38a915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,17000,200,f01113d4f97e5527fa060d45114c5fdbae8ddcb109fea695f195f39e0c5495cf,a6e8983a606d87136910fa563f3122f741ff574371fdcf449146e655a8e556fa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,17200,200,b32b078d891f3d3b8a11ce7925be1ea1bcd6ebb088f8bee6d3809ca185d0efbb,47f231c00d45db21321294f3d100ad931731fbb26ce3c9f457b41151d1fe5b63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,17400,200,fbbf30fea5be42d1a131f6deffea6ccbf686e3111bfea1f643d78b1480092797,9d470cc320fa987e7e9a47766ae12e16d830fc6b93b6d064d41adcbf5ab5d459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,17600,200,44e054e2b5de6c421740f211209ad64876bdcf8d21bbc318fab390565778f626,fe687e874fc9604da58b77d4549e66cb4c7e1f13ca82431ed0b59238924f38d1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,17800,200,69d4e9e4d01311bec528b241c856d604f32e7291cd0eab9be84cfa7509789fef,26d31bdefab99c294b5e898ec29122ebe73a21f883257464bd48fd80278ec669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,18000,200,5158fab5d2af444cdb0943434e5bb073ebed39a5188a51da585a30aea042a50a,dc4705410404cca347a8ef3f1f7be5ef3f2a215ce2219f27c507beb28aa786d6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,18200,200,d5c80cb539258ecf9b5da45c8cab8343140342299dff8dbc46ecaf959fa11bf5,d123d4830a0b9504720c1051d0d08e70c36446250906fe43abfd89e3061cac63,7.423420718681438e-18,-0.002472135954999582,-0.007608452130361227,0.0,0.0,-0.0024721359549995836,-0.007608452130361226,0.0,0.0,-0.002472135954999575,0.0076084521303612295,0.0,0.0,-0.0024721359549995763,0.007608452130361227,0.0,0.0,-0.0024721359549995767,0.0076084521303612295,0.0,0.0,-0.008,3.7163555829354544e-18,0.0,0.0
92,18400,200,9ec17f643748ef1a852760be699ed801cd8b156bf28c03cebf06ad563c95452d,ec2230f8418e403a155dff978cbf7d6f29749fe6a833631313e71d155f2f1ff3,7.006328859705253e-18,0.0,0.0,0.0064721359549995815,0.004702282018339781,0.0,0.0,-0.0024721359549995836,-0.007608452130361227,0.0,0.0,0.006472135954999577,-0.004702282018339787,0.0,0.0,-0.002472135954999577,0.0076084521303612295,0.0,0.0,-0.008,5.069516100251093e-18,0.0,0.0,-0.0024721359549995754,0.0076084521303612295
93,18600,200,1675a9ec74215224f8ada4502345e9e548a6c118c2f4034b0facb5075917b7fa,33176051d34569f9c5f574b8167ebd2450f321cd6f1d3da4e2088d44b091b258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,18800,200,930d4d257bb333c3129ad2b1fb7ed04bdfc96af58e7dca6147fb1d9de8131842,b7893ec195a2b3d21dd4e529714d74fbf3db5ac1e0f7d23436e7ea14bf3d45c8,1.939479807224432e-18,0.0,0.0,0.002472135954999578,-0.00760845213036123,0.0,0.0,-0.00647213595499958,-0.004702282018339785,0.0,0.0,0.0024721359549995797,0.0076084521303612295,0.0,0.0,-0.00647213595499958,0.004702282018339787,0.0,0.0,0.002472135954999578,-0.00760845213036123,0.0,0.0,0.002472135954999578,-0.00760845213036123
95,19000,200,fc0ec127c4f3b02e635df8779a6084a3fc4e59813f93242eda34e2c9739ce0f7,2c62a124b1ba991630143fa51f69b0942c969e29473db5e234833ea5f5d49b15,7.57391076790106e-18,0.0,0.0,-0.0024721359549995763,0.00760845213036123,0.0,0.0,-0.002472135954999584,-0.007608452130361228,0.0,0.0,-0.002472135954999582,-0.007608452130361229,0.0,0.0,-0.0024721359549995767,0.0076084521303612295,0.0,0.0,-0.008,4.965752352717419e-18,0.0,0.0,0.006472135954999576,-0.00470228201833979
96,19200,200,9d1db3353b07895e8b79b00ac609d67a8fbd0e7b237bbc417ac9ac824497b0ff,0056a59723f657220aa79d04bef34b234991525ae3db7ce23047f64be38f2126,5.898697549827395e-18,0.0,0.0,-0.008944271909999158,-0.0029061701120214408,0.0,0.0,-0.005527864045000422,-0.007608452130361228,0.0,0.0,-0.00894427190999916,0.0029061701120214464,0.0,0.0,-0.005527864045000418,0.00760845213036123,0.0,0.0,1.8408809220635936e-18,0.015216904260722456,0.0,0.0,-0.005527864045000422,-0.007608452130361228
97,19400,200,fdd85107167feaadc1dd1a000fbdd32125b9a16f6fd492df2cb2ec89d9942ac9,c01d21d11cdc31ca0b2182055dd793f2d1b0bf77708c7dbf140ef1a86f47b131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,19600,200,f4bcc4276a88e82f00262a5ec5e55c6b87dddb4ea85de7e43d00159d848782b4,523f3c94555134b6e979ffc89fe142ad51199af371929eb51c251df7dace8aa3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,19800,200,3146f385ad63873726e03591041b6b6aa78209e998b59b1f235f4edbd4d7ec1e,c30f3517669a5a0b6929a8c3fd9279874fbbe23598374af6a828996fccb584b4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
