n,a,b,radius,batch,counter_first,counter_last_exclusive,samples,sum_score_t,sum_score_lambda,sum_global_twice,global_twice_score_t,global_twice_score_lambda,black_pivotal,white_pivotal,black_h4,white_h4,h4_plus,h4_minus,h4_plus_score_t,h4_plus_score_lambda,h4_minus_score_t,h4_minus_score_lambda
130,11,3,1,0,0,200,200,176,-600,-10,1696,1344,14,14,-2,-3,-5,1,-84,16,-44,-80
130,11,3,2,0,0,200,200,176,-600,-10,1696,1344,14,14,-4,-6,-10,2,-20,12,-12,-172
130,11,3,4,0,0,200,200,176,-600,-10,1696,1344,14,14,-3,3,0,-6,44,84,-28,-60
170,13,1,1,0,0,200,200,-8,-328,-11,2236,1216,11,13,0,-1,-1,1,-72,-52,-136,-28
170,13,1,2,0,0,200,200,-8,-328,-11,2236,1216,11,13,-5,-4,-9,-1,36,-128,-228,-56
170,13,1,4,0,0,200,200,-8,-328,-11,2236,1216,11,13,-1,0,-1,-1,24,-140,-40,-76
130,11,3,1,1,200,400,200,424,48,0,2308,1484,12,7,0,1,1,-1,48,-4,-16,36
130,11,3,2,1,200,400,200,424,48,0,2308,1484,12,7,-3,0,-3,-3,12,-24,-4,56
130,11,3,4,1,200,400,200,424,48,0,2308,1484,12,7,0,-1,-1,1,68,-64,4,-56
170,13,1,1,1,200,400,200,356,-124,-2,2196,1204,13,14,0,-3,-3,3,-64,28,32,36
170,13,1,2,1,200,400,200,356,-124,-2,2196,1204,13,14,-2,-8,-10,6,-108,180,-28,-28
170,13,1,4,1,200,400,200,356,-124,-2,2196,1204,13,14,-1,-3,-4,2,-104,-32,-24,-56
130,11,3,1,2,400,600,200,268,-148,1,2020,1728,12,9,-2,2,0,-4,-44,4,52,-12
130,11,3,2,2,400,600,200,268,-148,1,2020,1728,12,9,-5,-3,-8,-2,-12,36,-92,44
130,11,3,4,2,400,600,200,268,-148,1,2020,1728,12,9,-3,-2,-5,-1,68,40,-20,48
170,13,1,1,2,400,600,200,504,-288,5,2356,1680,12,12,-2,-4,-6,2,24,32,-112,-104
170,13,1,2,2,400,600,200,504,-288,5,2356,1680,12,12,-2,-2,-4,0,-40,72,40,-120
170,13,1,4,2,400,600,200,504,-288,5,2356,1680,12,12,2,-3,-1,5,-132,64,4,64
130,11,3,1,3,600,800,200,-76,548,5,1588,1616,11,8,0,0,0,0,56,-48,-8,0
130,11,3,2,3,600,800,200,-76,548,5,1588,1616,11,8,-3,-3,-6,0,-16,16,-96,-56
130,11,3,4,3,600,800,200,-76,548,5,1588,1616,11,8,1,-3,-2,4,24,72,72,16
170,13,1,1,3,600,800,200,-176,816,-9,1504,1916,6,7,-2,0,-2,-2,-116,44,4,-12
170,13,1,2,3,600,800,200,-176,816,-9,1504,1916,6,7,-4,-3,-7,-1,-76,72,-92,-64
170,13,1,4,3,600,800,200,-176,816,-9,1504,1916,6,7,0,-2,-2,2,48,8,-80,40
130,11,3,1,4,800,1000,200,-468,28,-11,2212,1064,18,16,0,1,1,-1,-36,72,28,-80
130,11,3,2,4,800,1000,200,-468,28,-11,2212,1064,18,16,-5,-8,-13,3,8,-20,-72,-116
130,11,3,4,4,800,1000,200,-468,28,-11,2212,1064,18,16,-1,1,0,-2,-36,36,68,-12
170,13,1,1,4,800,1000,200,-428,-140,-3,2344,1588,6,8,1,-2,-1,3,56,100,-56,-44
170,13,1,2,4,800,1000,200,-428,-140,-3,2344,1588,6,8,-3,-4,-7,1,-36,96,-36,-64
170,13,1,4,4,800,1000,200,-428,-140,-3,2344,1588,6,8,1,2,3,-1,8,-36,0,84
130,11,3,1,5,1000,1200,200,-444,-148,-17,1408,1748,10,10,-1,1,0,-2,12,-4,36,-4
130,11,3,2,5,1000,1200,200,-444,-148,-17,1408,1748,10,10,-3,-3,-6,0,124,44,4,-52
130,11,3,4,5,1000,1200,200,-444,-148,-17,1408,1748,10,10,1,0,1,1,-32,-68,32,76
170,13,1,1,5,1000,1200,200,-424,-208,-9,1920,1508,6,11,0,-2,-2,2,48,48,32,-80
170,13,1,2,5,1000,1200,200,-424,-208,-9,1920,1508,6,11,-3,-8,-11,5,16,-12,-136,-20
170,13,1,4,5,1000,1200,200,-424,-208,-9,1920,1508,6,11,2,0,2,2,56,32,40,-80
130,11,3,1,6,1200,1400,200,348,572,5,2148,1248,10,13,-2,-2,-4,0,-52,-28,4,28
130,11,3,2,6,1200,1400,200,348,572,5,2148,1248,10,13,-4,-7,-11,3,56,-108,-48,-28
130,11,3,4,6,1200,1400,200,348,572,5,2148,1248,10,13,-2,1,-1,-3,44,8,76,-96
170,13,1,1,6,1200,1400,200,332,492,3,2204,1056,15,12,-3,-3,-6,0,-80,-8,-96,48
170,13,1,2,6,1200,1400,200,332,492,3,2204,1056,15,12,-3,-4,-7,1,36,-48,-164,184
170,13,1,4,6,1200,1400,200,332,492,3,2204,1056,15,12,-1,-6,-7,5,36,-160,-132,8
130,11,3,1,7,1400,1600,200,324,172,3,2428,1368,7,10,2,-1,1,3,24,52,-24,-68
130,11,3,2,7,1400,1600,200,324,172,3,2428,1368,7,10,1,-2,-1,3,24,-20,-48,68
130,11,3,4,7,1400,1600,200,324,172,3,2428,1368,7,10,1,-2,-1,3,-40,76,24,-20
170,13,1,1,7,1400,1600,200,616,200,-1,2168,1276,12,13,-2,-2,-4,0,0,40,120,-16
170,13,1,2,7,1400,1600,200,616,200,-1,2168,1276,12,13,-6,-6,-12,0,-16,0,-56,-56
170,13,1,4,7,1400,1600,200,616,200,-1,2168,1276,12,13,-2,3,1,-5,-224,-60,16,-52
130,11,3,1,8,1600,1800,200,276,-268,-9,1712,1316,13,16,-2,1,-1,-3,20,-8,4,-32
130,11,3,2,8,1600,1800,200,276,-268,-9,1712,1316,13,16,-2,-6,-8,4,-28,20,-12,4
130,11,3,4,8,1600,1800,200,276,-268,-9,1712,1316,13,16,1,1,2,0,-4,44,60,84
170,13,1,1,8,1600,1800,200,80,-376,12,2224,1272,6,12,-3,-1,-4,-2,-84,-36,-60,44
170,13,1,2,8,1600,1800,200,80,-376,12,2224,1272,6,12,-3,-2,-5,-1,-64,36,-176,20
170,13,1,4,8,1600,1800,200,80,-376,12,2224,1272,6,12,1,1,2,0,40,32,0,-16
130,11,3,1,9,1800,2000,200,-180,156,-4,1704,1200,7,7,1,0,1,1,4,24,20,8
130,11,3,2,9,1800,2000,200,-180,156,-4,1704,1200,7,7,-3,-3,-6,0,-72,32,-40,-40
130,11,3,4,9,1800,2000,200,-180,156,-4,1704,1200,7,7,2,4,6,-2,20,36,-4,-4
170,13,1,1,9,1800,2000,200,24,-32,-8,1596,1412,7,9,-3,-1,-4,-2,4,20,-52,-28
170,13,1,2,9,1800,2000,200,24,-32,-8,1596,1412,7,9,-2,-4,-6,2,20,-84,-36,-12
170,13,1,4,9,1800,2000,200,24,-32,-8,1596,1412,7,9,0,6,6,-6,-36,-60,-44,12
130,11,3,1,10,2000,2200,200,252,28,2,1812,1396,11,20,-1,-3,-4,2,20,-60,12,52
130,11,3,2,10,2000,2200,200,252,28,2,1812,1396,11,20,-6,-3,-9,-3,-16,68,-64,-4
130,11,3,4,10,2000,2200,200,252,28,2,1812,1396,11,20,-5,-6,-11,1,-32,-92,-80,4
170,13,1,1,10,2000,2200,200,208,-208,-10,2000,1744,10,8,-1,-2,-3,1,-24,-36,-48,20
170,13,1,2,10,2000,2200,200,208,-208,-10,2000,1744,10,8,-3,-6,-9,3,72,12,-32,52
170,13,1,4,10,2000,2200,200,208,-208,-10,2000,1744,10,8,1,-5,-4,6,144,-56,64,0
130,11,3,1,11,2200,2400,200,260,260,3,2076,1192,14,16,-4,-3,-7,-1,-52,-24,28,64
130,11,3,2,11,2200,2400,200,260,260,3,2076,1192,14,16,-7,-7,-14,0,-132,100,20,-172
130,11,3,4,11,2200,2400,200,260,260,3,2076,1192,14,16,3,-3,0,6,4,204,-52,28
170,13,1,1,11,2200,2400,200,356,28,10,2272,1768,12,11,-3,-1,-4,-2,-36,-52,-124,-148
170,13,1,2,11,2200,2400,200,356,28,10,2272,1768,12,11,-8,-8,-16,0,-208,64,-312,24
170,13,1,4,11,2200,2400,200,356,28,10,2272,1768,12,11,2,0,2,2,8,80,-64,-136
130,11,3,1,12,2400,2600,200,76,60,-3,1928,1244,12,13,0,-2,-2,2,28,76,-44,-12
130,11,3,2,12,2400,2600,200,76,60,-3,1928,1244,12,13,-3,-6,-9,3,148,-80,-148,-8
130,11,3,4,12,2400,2600,200,76,60,-3,1928,1244,12,13,-2,-2,-4,0,56,-72,-120,88
170,13,1,1,12,2400,2600,200,248,24,11,2172,1192,14,6,-5,-1,-6,-4,52,4,12,-60
170,13,1,2,12,2400,2600,200,248,24,11,2172,1192,14,6,-6,-1,-7,-5,52,-128,36,-56
170,13,1,4,12,2400,2600,200,248,24,11,2172,1192,14,6,1,3,4,-2,-32,-16,48,72
130,11,3,1,13,2600,2800,200,132,-68,-6,1784,1464,13,10,-2,-1,-3,-1,32,-20,-24,-52
130,11,3,2,13,2600,2800,200,132,-68,-6,1784,1464,13,10,-5,-5,-10,0,40,-48,16,-96
130,11,3,4,13,2600,2800,200,132,-68,-6,1784,1464,13,10,-1,-1,-2,0,-16,40,80,16
170,13,1,1,13,2600,2800,200,48,-8,3,1996,1400,9,8,0,-2,-2,2,48,-80,-8,56
170,13,1,2,13,2600,2800,200,48,-8,3,1996,1400,9,8,-2,-4,-6,2,60,44,-20,-36
170,13,1,4,13,2600,2800,200,48,-8,3,1996,1400,9,8,0,-1,-1,1,44,-64,-44,64
130,11,3,1,14,2800,3000,200,300,-244,0,2172,1148,12,14,1,0,1,1,48,-84,64,-132
130,11,3,2,14,2800,3000,200,300,-244,0,2172,1148,12,14,-6,-4,-10,-2,-116,20,-36,-92
130,11,3,4,14,2800,3000,200,300,-244,0,2172,1148,12,14,1,2,3,-1,0,-36,112,-116
170,13,1,1,14,2800,3000,200,320,-48,-3,2384,900,10,8,0,0,0,0,-32,72,32,-72
170,13,1,2,14,2800,3000,200,320,-48,-3,2384,900,10,8,-1,-3,-4,2,4,68,-84,-156
170,13,1,4,14,2800,3000,200,320,-48,-3,2384,900,10,8,0,1,1,-1,56,-4,72,4
130,11,3,1,15,3000,3200,200,536,216,1,1788,1424,8,16,0,-6,-6,6,-16,120,-40,-144
130,11,3,2,15,3000,3200,200,536,216,1,1788,1424,8,16,-1,-7,-8,6,-8,144,-32,-176
130,11,3,4,15,3000,3200,200,536,216,1,1788,1424,8,16,1,-2,-1,3,28,-16,-36,-16
170,13,1,1,15,3000,3200,200,768,-104,-12,1888,1400,5,11,-2,-3,-5,1,44,-56,-44,40
170,13,1,2,15,3000,3200,200,768,-104,-12,1888,1400,5,11,-4,-4,-8,0,8,-128,-56,32
170,13,1,4,15,3000,3200,200,768,-104,-12,1888,1400,5,11,-3,0,-3,-3,-32,36,96,-60
130,11,3,1,16,3200,3400,200,-12,-356,-5,2020,1208,15,15,1,-2,-1,3,-4,88,-68,120
130,11,3,2,16,3200,3400,200,-12,-356,-5,2020,1208,15,15,1,-3,-2,4,-64,8,-88,56
130,11,3,4,16,3200,3400,200,-12,-356,-5,2020,1208,15,15,1,-1,0,2,104,-80,-24,24
170,13,1,1,16,3200,3400,200,368,-184,11,2160,1404,15,12,-3,1,-2,-4,60,-100,60,-44
170,13,1,2,16,3200,3400,200,368,-184,11,2160,1404,15,12,-7,-5,-12,-2,12,-20,-36,-220
170,13,1,4,16,3200,3400,200,368,-184,11,2160,1404,15,12,0,0,0,0,-36,12,20,-124
130,11,3,1,17,3400,3600,200,588,-132,15,1520,1284,11,14,-2,2,0,-4,4,-20,-20,20
130,11,3,2,17,3400,3600,200,588,-132,15,1520,1284,11,14,-1,-5,-6,4,-28,28,36,36
130,11,3,4,17,3400,3600,200,588,-132,15,1520,1284,11,14,3,-1,2,4,24,-8,32,-8
170,13,1,1,17,3400,3600,200,712,-248,-3,1596,1512,5,16,-2,-2,-4,0,-28,44,-4,-12
170,13,1,2,17,3400,3600,200,712,-248,-3,1596,1512,5,16,-3,-2,-5,-1,-72,44,-8,12
170,13,1,4,17,3400,3600,200,712,-248,-3,1596,1512,5,16,-1,2,1,-3,68,24,-44,-24
130,11,3,1,18,3600,3800,200,236,-484,-8,1812,1492,11,15,-3,1,-2,-4,0,-88,80,-80
130,11,3,2,18,3600,3800,200,236,-484,-8,1812,1492,11,15,-4,-2,-6,-2,-48,-96,104,-184
130,11,3,4,18,3600,3800,200,236,-484,-8,1812,1492,11,15,-1,-3,-4,2,24,16,56,-168
170,13,1,1,18,3600,3800,200,308,-724,-17,2088,1252,12,9,-1,-2,-3,1,-28,0,-20,-104
170,13,1,2,18,3600,3800,200,308,-724,-17,2088,1252,12,9,-4,-4,-8,0,-36,-68,-100,-180
170,13,1,4,18,3600,3800,200,308,-724,-17,2088,1252,12,9,0,1,1,-1,-156,-128,36,-24
130,11,3,1,19,3800,4000,200,-172,204,7,1672,1076,13,10,-1,3,2,-4,-24,-24,-8,32
130,11,3,2,19,3800,4000,200,-172,204,7,1672,1076,13,10,-5,-4,-9,-1,76,-24,4,-80
130,11,3,4,19,3800,4000,200,-172,204,7,1672,1076,13,10,0,0,0,0,40,8,-48,-32
170,13,1,1,19,3800,4000,200,-100,444,5,2128,1556,10,10,-1,-1,-2,0,48,-120,64,-128
170,13,1,2,19,3800,4000,200,-100,444,5,2128,1556,10,10,-6,-5,-11,-1,56,-100,-136,-140
170,13,1,4,19,3800,4000,200,-100,444,5,2128,1556,10,10,-3,3,0,-6,48,-192,-40,-32
130,11,3,1,20,4000,4200,200,-140,220,9,1976,1140,16,13,-4,0,-4,-4,-92,-20,-108,-36
130,11,3,2,20,4000,4200,200,-140,220,9,1976,1140,16,13,-9,-3,-12,-6,-108,-204,-188,-196
130,11,3,4,20,4000,4200,200,-140,220,9,1976,1140,16,13,1,-2,-1,3,-4,88,-100,-56
170,13,1,1,20,4000,4200,200,-524,508,-8,2264,1376,10,9,0,0,0,0,0,0,-8,40
170,13,1,2,20,4000,4200,200,-524,508,-8,2264,1376,10,9,-3,-3,-6,0,100,-196,-12,84
170,13,1,4,20,4000,4200,200,-524,508,-8,2264,1376,10,9,2,0,2,2,68,-20,-60,60
130,11,3,1,21,4200,4400,200,-480,-288,-17,2156,928,9,13,-1,0,-1,-1,-20,0,-20,0
130,11,3,2,21,4200,4400,200,-480,-288,-17,2156,928,9,13,2,-3,-1,5,8,-4,-56,-44
130,11,3,4,21,4200,4400,200,-480,-288,-17,2156,928,9,13,1,0,1,1,-16,-44,48,-12
170,13,1,1,21,4200,4400,200,-320,-296,-3,2200,676,7,9,2,0,2,2,-8,40,-8,40
170,13,1,2,21,4200,4400,200,-320,-296,-3,2200,676,7,9,-1,-1,-2,0,8,-24,80,-88
170,13,1,4,21,4200,4400,200,-320,-296,-3,2200,676,7,9,-3,-3,-6,0,20,-12,-4,-12
130,11,3,1,22,4400,4600,200,516,-540,15,1384,1300,13,9,1,-1,0,2,-8,80,88,-56
130,11,3,2,22,4400,4600,200,516,-540,15,1384,1300,13,9,-3,-3,-6,0,-8,32,24,-8
130,11,3,4,22,4400,4600,200,516,-540,15,1384,1300,13,9,-1,-2,-3,1,64,140,-48,-20
170,13,1,1,22,4400,4600,200,620,-572,-1,2160,1292,13,8,-3,-2,-5,-1,-132,48,-84,0
170,13,1,2,22,4400,4600,200,620,-572,-1,2160,1292,13,8,-7,1,-6,-8,-108,28,-44,-124
170,13,1,4,22,4400,4600,200,620,-572,-1,2160,1292,13,8,3,1,4,2,76,-108,84,-44
130,11,3,1,23,4600,4800,200,320,128,3,1800,1108,14,12,-2,1,-1,-3,92,-160,-132,-8
130,11,3,2,23,4600,4800,200,320,128,3,1800,1108,14,12,-6,-4,-10,-2,-40,-112,-136,-16
130,11,3,4,23,4600,4800,200,320,128,3,1800,1108,14,12,0,-2,-2,2,64,-16,48,64
170,13,1,1,23,4600,4800,200,88,24,17,1812,1136,14,11,-2,0,-2,-2,-76,-28,-132,76
170,13,1,2,23,4600,4800,200,88,24,17,1812,1136,14,11,-4,-1,-5,-3,-8,-92,-48,-76
170,13,1,4,23,4600,4800,200,88,24,17,1812,1136,14,11,0,-2,-2,2,60,52,-20,4
130,11,3,1,24,4800,5000,200,160,536,8,1964,1068,14,11,1,-3,-2,4,-4,-4,-52,-12
130,11,3,2,24,4800,5000,200,160,536,8,1964,1068,14,11,-1,-2,-3,1,56,44,24,-36
130,11,3,4,24,4800,5000,200,160,536,8,1964,1068,14,11,0,3,3,-3,144,-92,72,68
170,13,1,1,24,4800,5000,200,-84,548,-9,1788,1392,9,14,-2,-1,-3,-1,28,-56,-92,-56
170,13,1,2,24,4800,5000,200,-84,548,-9,1788,1392,9,14,-5,-5,-10,0,-12,-36,-84,-68
170,13,1,4,24,4800,5000,200,-84,548,-9,1788,1392,9,14,-1,-3,-4,2,-108,4,68,-84
130,11,3,1,25,5000,5200,200,28,-124,10,1732,1004,15,16,-3,-3,-6,0,44,44,12,-44
130,11,3,2,25,5000,5200,200,28,-124,10,1732,1004,15,16,-7,-6,-13,-1,-12,-64,92,-152
130,11,3,4,25,5000,5200,200,28,-124,10,1732,1004,15,16,-1,-2,-3,1,36,-128,148,-192
170,13,1,1,25,5000,5200,200,-24,-128,-7,2480,1060,5,13,0,-2,-2,2,0,-40,0,40
170,13,1,2,25,5000,5200,200,-24,-128,-7,2480,1060,5,13,0,-5,-5,5,-44,-24,44,24
170,13,1,4,25,5000,5200,200,-24,-128,-7,2480,1060,5,13,-1,-2,-3,1,68,-16,-84,8
130,11,3,1,26,5200,5400,200,0,352,1,1568,1340,13,10,-3,-4,-7,1,-72,-60,0,-20
130,11,3,2,26,5200,5400,200,0,352,1,1568,1340,13,10,-5,-3,-8,-2,-112,-64,-48,-72
130,11,3,4,26,5200,5400,200,0,352,1,1568,1340,13,10,-3,0,-3,-3,16,60,0,-84
170,13,1,1,26,5200,5400,200,120,584,4,2160,1640,17,15,-3,0,-3,-3,-64,84,-168,76
170,13,1,2,26,5200,5400,200,120,584,4,2160,1640,17,15,0,-8,-8,8,92,196,-36,-124
170,13,1,4,26,5200,5400,200,120,584,4,2160,1640,17,15,2,2,4,0,-32,168,72,0
130,11,3,1,27,5400,5600,200,-324,-60,-11,1828,1408,21,5,-2,-2,-4,0,44,28,-20,28
130,11,3,2,27,5400,5600,200,-324,-60,-11,1828,1408,21,5,-9,-1,-10,-8,68,-60,36,-36
130,11,3,4,27,5400,5600,200,-324,-60,-11,1828,1408,21,5,-2,-1,-3,-1,72,-12,24,-4
170,13,1,1,27,5400,5600,200,-340,-68,2,2484,1420,10,6,-3,0,-3,-3,-140,72,-140,72
170,13,1,2,27,5400,5600,200,-340,-68,2,2484,1420,10,6,-1,0,-1,-1,-48,60,-24,68
170,13,1,4,27,5400,5600,200,-340,-68,2,2484,1420,10,6,-1,1,0,-2,-64,-24,8,8
130,11,3,1,28,5600,5800,200,368,-32,18,1920,1136,24,12,-2,-3,-5,1,56,-44,8,-20
130,11,3,2,28,5600,5800,200,368,-32,18,1920,1136,24,12,-8,-7,-15,-1,4,168,-100,-56
130,11,3,4,28,5600,5800,200,368,-32,18,1920,1136,24,12,-2,-2,-4,0,-32,96,-24,-72
170,13,1,1,28,5600,5800,200,232,-48,7,1616,1692,12,6,-2,-1,-3,-1,-64,20,48,-164
170,13,1,2,28,5600,5800,200,232,-48,7,1616,1692,12,6,-3,-3,-6,0,-24,64,-72,-72
170,13,1,4,28,5600,5800,200,232,-48,7,1616,1692,12,6,5,-1,4,6,68,132,44,84
130,11,3,1,29,5800,6000,200,364,212,14,1732,1772,17,10,-3,-2,-5,-1,-16,-44,-16,-76
130,11,3,2,29,5800,6000,200,364,212,14,1732,1772,17,10,-6,-5,-11,-1,-60,72,-60,-64
130,11,3,4,29,5800,6000,200,364,212,14,1732,1772,17,10,5,-3,2,8,36,20,76,-124
170,13,1,1,29,5800,6000,200,212,332,15,2252,1792,8,5,-1,-1,-2,0,-24,-16,16,48
170,13,1,2,29,5800,6000,200,212,332,15,2252,1792,8,5,0,-3,-3,3,-68,48,-76,80
170,13,1,4,29,5800,6000,200,212,332,15,2252,1792,8,5,-2,1,-1,-3,20,88,-84,8
130,11,3,1,30,6000,6200,200,548,388,19,2692,1368,12,11,-5,-1,-6,-4,12,-28,-60,68
130,11,3,2,30,6000,6200,200,548,388,19,2692,1368,12,11,-5,-1,-6,-4,-68,44,-84,100
130,11,3,4,30,6000,6200,200,548,388,19,2692,1368,12,11,2,-4,-2,6,116,28,116,-100
170,13,1,1,30,6000,6200,200,592,328,1,2632,1820,9,13,1,-3,-2,4,-96,16,-176,24
170,13,1,2,30,6000,6200,200,592,328,1,2632,1820,9,13,-2,-4,-6,2,60,-36,-76,-44
170,13,1,4,30,6000,6200,200,592,328,1,2632,1820,9,13,1,-1,0,2,-96,-48,-96,136
130,11,3,1,31,6200,6400,200,564,-236,9,1700,1128,20,11,-1,-1,-2,0,-12,-20,4,-124
130,11,3,2,31,6200,6400,200,564,-236,9,1700,1128,20,11,-10,-6,-16,-4,-32,32,8,-136
130,11,3,4,31,6200,6400,200,564,-236,9,1700,1128,20,11,-5,0,-5,-5,-84,200,4,32
170,13,1,1,31,6200,6400,200,296,136,6,1616,1576,6,12,1,-2,-1,3,64,4,56,-68
170,13,1,2,31,6200,6400,200,296,136,6,1616,1576,6,12,-1,-5,-6,4,28,68,76,-116
170,13,1,4,31,6200,6400,200,296,136,6,1616,1576,6,12,-1,1,0,-2,-112,72,104,-104
130,11,3,1,32,6400,6600,200,-396,-108,6,1656,1648,8,7,-2,-2,-4,0,36,-76,12,-20
130,11,3,2,32,6400,6600,200,-396,-108,6,1656,1648,8,7,-2,-3,-5,1,48,52,-48,-52
130,11,3,4,32,6400,6600,200,-396,-108,6,1656,1648,8,7,0,-2,-2,2,68,52,20,-12
170,13,1,1,32,6400,6600,200,-592,144,-8,1700,1868,6,10,1,-2,-1,3,64,100,-16,-76
170,13,1,2,32,6400,6600,200,-592,144,-8,1700,1868,6,10,-3,-6,-9,3,148,8,-108,-40
170,13,1,4,32,6400,6600,200,-592,144,-8,1700,1868,6,10,0,0,0,0,48,-16,-48,16
130,11,3,1,33,6600,6800,200,-568,-112,-11,1908,1104,11,8,-1,0,-1,-1,0,-36,-8,4
130,11,3,2,33,6600,6800,200,-568,-112,-11,1908,1104,11,8,-2,-2,-4,0,-40,32,-16,-24
130,11,3,4,33,6600,6800,200,-568,-112,-11,1908,1104,11,8,-2,2,0,-4,-40,-32,-64,72
170,13,1,1,33,6600,6800,200,-596,-164,-6,2696,1280,8,11,0,-3,-3,3,84,-16,-84,16
170,13,1,2,33,6600,6800,200,-596,-164,-6,2696,1280,8,11,-3,-2,-5,-1,76,-8,-28,-80
170,13,1,4,33,6600,6800,200,-596,-164,-6,2696,1280,8,11,2,-3,-1,5,64,-60,-48,76
130,11,3,1,34,6800,7000,200,-312,264,13,1700,1344,15,12,0,-1,-1,1,40,-20,-32,28
130,11,3,2,34,6800,7000,200,-312,264,13,1700,1344,15,12,-6,-5,-11,-1,104,-124,-96,-108
130,11,3,4,34,6800,7000,200,-312,264,13,1700,1344,15,12,2,-3,-1,5,-32,124,40,-52
170,13,1,1,34,6800,7000,200,-412,332,-6,2212,1644,14,12,-4,-1,-5,-3,-56,-52,-112,-52
170,13,1,2,34,6800,7000,200,-412,332,-6,2212,1644,14,12,-11,-3,-14,-8,-36,-28,-244,-164
170,13,1,4,34,6800,7000,200,-412,332,-6,2212,1644,14,12,6,3,9,3,-12,64,60,32
130,11,3,1,35,7000,7200,200,-172,-132,-12,2128,1592,4,13,-3,-2,-5,-1,-28,-24,-84,0
130,11,3,2,35,7000,7200,200,-172,-132,-12,2128,1592,4,13,2,-8,-6,10,84,44,-4,-12
130,11,3,4,35,7000,7200,200,-172,-132,-12,2128,1592,4,13,-1,-3,-4,2,108,-52,-84,4
170,13,1,1,35,7000,7200,200,-212,-4,-16,1852,1836,8,8,0,-3,-3,3,-76,168,4,-48
170,13,1,2,35,7000,7200,200,-212,-4,-16,1852,1836,8,8,-3,-3,-6,0,-48,64,-16,-88
170,13,1,4,35,7000,7200,200,-212,-4,-16,1852,1836,8,8,2,-1,1,3,72,-20,-8,-44
130,11,3,1,36,7200,7400,200,268,148,11,2000,1476,13,9,1,0,1,1,36,64,-20,40
130,11,3,2,36,7200,7400,200,268,148,11,2000,1476,13,9,-3,-4,-7,1,-52,88,-20,-56
130,11,3,4,36,7200,7400,200,268,148,11,2000,1476,13,9,0,-3,-3,3,-72,12,-40,36
170,13,1,1,36,7200,7400,200,116,140,8,1828,1484,9,12,-2,-5,-7,3,-28,32,-100,32
170,13,1,2,36,7200,7400,200,116,140,8,1828,1484,9,12,-3,-3,-6,0,-48,-128,-64,88
170,13,1,4,36,7200,7400,200,116,140,8,1828,1484,9,12,0,1,1,-1,-12,-8,-116,-8
130,11,3,1,37,7400,7600,200,264,-48,1,1392,1196,14,8,2,-2,0,4,88,-32,-32,8
130,11,3,2,37,7400,7600,200,264,-48,1,1392,1196,14,8,-4,-2,-6,-2,12,-28,-12,12
130,11,3,4,37,7400,7600,200,264,-48,1,1392,1196,14,8,-2,2,0,-4,4,28,-44,-4
170,13,1,1,37,7400,7600,200,-44,-20,10,1676,1052,8,10,0,-1,-1,1,-112,60,48,20
170,13,1,2,37,7400,7600,200,-44,-20,10,1676,1052,8,10,-4,0,-4,-4,20,-28,36,-28
170,13,1,4,37,7400,7600,200,-44,-20,10,1676,1052,8,10,-3,1,-2,-4,0,-8,96,-32
130,11,3,1,38,7600,7800,200,-724,12,-5,1712,908,10,11,-2,-4,-6,2,24,-48,-16,-24
130,11,3,2,38,7600,7800,200,-724,12,-5,1712,908,10,11,-3,-3,-6,0,32,-128,8,0
130,11,3,4,38,7600,7800,200,-724,12,-5,1712,908,10,11,-2,0,-2,-2,-80,32,48,16
170,13,1,1,38,7600,7800,200,-920,192,-15,2236,984,5,15,-1,0,-1,-1,-132,8,20,32
170,13,1,2,38,7600,7800,200,-920,192,-15,2236,984,5,15,-2,0,-2,-2,-136,-48,24,128
170,13,1,4,38,7600,7800,200,-920,192,-15,2236,984,5,15,4,-1,3,5,8,-132,120,20
130,11,3,1,39,7800,8000,200,-344,112,-5,1500,1152,11,17,0,-5,-5,5,32,-36,-24,108
130,11,3,2,39,7800,8000,200,-344,112,-5,1500,1152,11,17,-2,-9,-11,7,-20,80,-36,-40
130,11,3,4,39,7800,8000,200,-344,112,-5,1500,1152,11,17,0,3,3,-3,-88,-20,8,-44
170,13,1,1,39,7800,8000,200,-740,268,-8,2196,1068,7,14,1,-3,-2,4,-24,-24,32,104
170,13,1,2,39,7800,8000,200,-740,268,-8,2196,1068,7,14,-2,-3,-5,1,36,-160,12,64
170,13,1,4,39,7800,8000,200,-740,268,-8,2196,1068,7,14,2,-1,1,3,120,-148,64,44
130,11,3,1,40,8000,8200,200,192,528,8,2084,884,16,13,-1,-2,-3,1,40,36,-32,12
130,11,3,2,40,8000,8200,200,192,528,8,2084,884,16,13,-6,-3,-9,-3,-12,-32,-36,-48
130,11,3,4,40,8000,8200,200,192,528,8,2084,884,16,13,1,-1,0,2,-20,-4,-44,60
170,13,1,1,40,8000,8200,200,312,400,4,2064,872,11,9,-1,-3,-4,2,-32,64,-16,-56
170,13,1,2,40,8000,8200,200,312,400,4,2064,872,11,9,-3,-2,-5,-1,-68,-32,4,-120
170,13,1,4,40,8000,8200,200,312,400,4,2064,872,11,9,2,-1,1,3,56,84,40,60
130,11,3,1,41,8200,8400,200,-456,-528,-6,2188,900,13,13,-1,1,0,-2,-72,40,-72,32
130,11,3,2,41,8200,8400,200,-456,-528,-6,2188,900,13,13,-2,-4,-6,2,-52,20,-116,100
