label,n,m00,m01,m10,m11,smith1,smith2,radius,batch,counter_first,counter_last_exclusive,samples,common_field_digest,primal_pivotal,matching_pivotal,primal_h4,matching_h4,h4_plus,h4_minus
n65_first,65,8,-1,1,8,1,65,2,0,26725300000,26725301000,1000,3778571105322041564,54,67,-11,-8,-19,-3
n65_second,65,7,-4,4,7,1,65,2,0,26725300000,26725301000,1000,3778571105322041564,60,72,-4,-6,-10,2
n130_first,130,11,-3,3,11,1,130,2,0,26725300000,26725301000,1000,11716904713389685305,36,39,-1,-6,-7,5
n130_second,130,9,-7,7,9,1,130,2,0,26725300000,26725301000,1000,11716904713389685305,44,45,-5,-7,-12,2
n260_first,260,16,-2,2,16,2,130,2,0,26725300000,26725301000,1000,15619669375559214338,28,29,-7,-2,-9,-5
n260_second,260,14,-8,8,14,2,130,2,0,26725300000,26725301000,1000,15619669375559214338,28,31,-4,-5,-9,1
n520_first,520,22,-6,6,22,2,260,2,0,26725300000,26725301000,1000,15712064949557533082,14,12,-4,-1,-5,-3
n520_second,520,18,-14,14,18,2,260,2,0,26725300000,26725301000,1000,15712064949557533082,22,23,-2,-3,-5,1
n85_first,85,9,-2,2,9,1,85,2,0,26725300000,26725301000,1000,968949760220986723,56,53,-8,-2,-10,-6
n85_second,85,7,-6,6,7,1,85,2,0,26725300000,26725301000,1000,968949760220986723,58,52,-5,-7,-12,2
n170_first,170,13,-1,1,13,1,170,2,0,26725300000,26725301000,1000,2743930622427854647,29,35,-4,-2,-6,-2
n170_second,170,11,-7,7,11,1,170,2,0,26725300000,26725301000,1000,2743930622427854647,44,39,-3,0,-3,-3
n340_first,340,18,-4,4,18,2,170,2,0,26725300000,26725301000,1000,11530507908804518367,23,32,-3,-2,-5,-1
n340_second,340,14,-12,12,14,2,170,2,0,26725300000,26725301000,1000,11530507908804518367,20,29,-2,-5,-7,3
n680_first,680,26,-2,2,26,2,340,2,0,26725300000,26725301000,1000,3341623812637877758,15,16,-3,-4,-7,1
n680_second,680,22,-14,14,22,2,340,2,0,26725300000,26725301000,1000,3341623812637877758,17,10,-1,0,-1,-1
n65_first,65,8,-1,1,8,1,65,2,1,26725301000,26725302000,1000,16723805587922678758,60,58,-5,2,-3,-7
n65_second,65,7,-4,4,7,1,65,2,1,26725301000,26725302000,1000,16723805587922678758,67,61,-12,-1,-13,-11
n130_first,130,11,-3,3,11,1,130,2,1,26725301000,26725302000,1000,13987305430733942722,45,44,-7,-3,-10,-4
n130_second,130,9,-7,7,9,1,130,2,1,26725301000,26725302000,1000,13987305430733942722,41,35,-8,-3,-11,-5
n260_first,260,16,-2,2,16,2,130,2,1,26725301000,26725302000,1000,6664367052247193002,16,26,-2,-2,-4,0
n260_second,260,14,-8,8,14,2,130,2,1,26725301000,26725302000,1000,6664367052247193002,29,33,-2,-6,-8,4
n520_first,520,22,-6,6,22,2,260,2,1,26725301000,26725302000,1000,15334003195406902778,24,14,-1,-3,-4,2
n520_second,520,18,-14,14,18,2,260,2,1,26725301000,26725302000,1000,15334003195406902778,9,23,1,-6,-5,7
n85_first,85,9,-2,2,9,1,85,2,1,26725301000,26725302000,1000,8419131555825585764,55,52,-1,-14,-15,13
n85_second,85,7,-6,6,7,1,85,2,1,26725301000,26725302000,1000,8419131555825585764,51,72,-2,-11,-13,9
n170_first,170,13,-1,1,13,1,170,2,1,26725301000,26725302000,1000,15529606046592665868,36,41,-7,-13,-20,6
n170_second,170,11,-7,7,11,1,170,2,1,26725301000,26725302000,1000,15529606046592665868,28,30,-4,-4,-8,0
n340_first,340,18,-4,4,18,2,170,2,1,26725301000,26725302000,1000,8477256224349327143,31,25,-7,-6,-13,-1
n340_second,340,14,-12,12,14,2,170,2,1,26725301000,26725302000,1000,8477256224349327143,21,23,-4,-2,-6,-2
n680_first,680,26,-2,2,26,2,340,2,1,26725301000,26725302000,1000,14446482007064383726,13,12,-5,0,-5,-5
n680_second,680,22,-14,14,22,2,340,2,1,26725301000,26725302000,1000,14446482007064383726,16,22,-3,-5,-8,2
n65_first,65,8,-1,1,8,1,65,2,2,26725302000,26725303000,1000,18032529795775766496,73,62,-10,-6,-16,-4
n65_second,65,7,-4,4,7,1,65,2,2,26725302000,26725303000,1000,18032529795775766496,67,56,-6,-3,-9,-3
n130_first,130,11,-3,3,11,1,130,2,2,26725302000,26725303000,1000,1624283185563237486,43,35,-2,-9,-11,7
n130_second,130,9,-7,7,9,1,130,2,2,26725302000,26725303000,1000,1624283185563237486,40,38,-7,-4,-11,-3
n260_first,260,16,-2,2,16,2,130,2,2,26725302000,26725303000,1000,13092340478032700626,23,35,0,-5,-5,5
n260_second,260,14,-8,8,14,2,130,2,2,26725302000,26725303000,1000,13092340478032700626,34,26,-11,-7,-18,-4
n520_first,520,22,-6,6,22,2,260,2,2,26725302000,26725303000,1000,1168286937797591875,20,21,-4,1,-3,-5
n520_second,520,18,-14,14,18,2,260,2,2,26725302000,26725303000,1000,1168286937797591875,24,15,1,-2,-1,3
n85_first,85,9,-2,2,9,1,85,2,2,26725302000,26725303000,1000,4717594984961317265,49,53,-7,-11,-18,4
n85_second,85,7,-6,6,7,1,85,2,2,26725302000,26725303000,1000,4717594984961317265,43,63,-2,-4,-6,2
n170_first,170,13,-1,1,13,1,170,2,2,26725302000,26725303000,1000,12209747188465876876,32,37,-3,-8,-11,5
n170_second,170,11,-7,7,11,1,170,2,2,26725302000,26725303000,1000,12209747188465876876,38,33,-1,-3,-4,2
n340_first,340,18,-4,4,18,2,170,2,2,26725302000,26725303000,1000,3378896568252189532,21,17,-4,-5,-9,1
n340_second,340,14,-12,12,14,2,170,2,2,26725302000,26725303000,1000,3378896568252189532,27,29,-3,-5,-8,2
n680_first,680,26,-2,2,26,2,340,2,2,26725302000,26725303000,1000,286902368861590938,19,25,-4,-4,-8,0
n680_second,680,22,-14,14,22,2,340,2,2,26725302000,26725303000,1000,286902368861590938,23,15,-5,-5,-10,0
n65_first,65,8,-1,1,8,1,65,2,3,26725303000,26725304000,1000,10551758647751989173,64,69,-12,0,-12,-12
n65_second,65,7,-4,4,7,1,65,2,3,26725303000,26725304000,1000,10551758647751989173,58,64,-12,4,-8,-16
n130_first,130,11,-3,3,11,1,130,2,3,26725303000,26725304000,1000,2745211900807273778,34,47,-3,-3,-6,0
n130_second,130,9,-7,7,9,1,130,2,3,26725303000,26725304000,1000,2745211900807273778,48,40,-4,-4,-8,0
n260_first,260,16,-2,2,16,2,130,2,3,26725303000,26725304000,1000,15510698675601958517,26,37,-4,-3,-7,-1
n260_second,260,14,-8,8,14,2,130,2,3,26725303000,26725304000,1000,15510698675601958517,25,20,-7,-3,-10,-4
n520_first,520,22,-6,6,22,2,260,2,3,26725303000,26725304000,1000,14573954650702174553,20,19,-5,-3,-8,-2
n520_second,520,18,-14,14,18,2,260,2,3,26725303000,26725304000,1000,14573954650702174553,12,14,-1,0,-1,-1
n85_first,85,9,-2,2,9,1,85,2,3,26725303000,26725304000,1000,11777083673540764672,57,42,-4,-6,-10,2
n85_second,85,7,-6,6,7,1,85,2,3,26725303000,26725304000,1000,11777083673540764672,56,49,-6,-4,-10,-2
n170_first,170,13,-1,1,13,1,170,2,3,26725303000,26725304000,1000,14217896219435549246,31,38,-4,-2,-6,-2
n170_second,170,11,-7,7,11,1,170,2,3,26725303000,26725304000,1000,14217896219435549246,35,33,-10,0,-10,-10
n340_first,340,18,-4,4,18,2,170,2,3,26725303000,26725304000,1000,1528593436522085912,23,24,-1,-5,-6,4
n340_second,340,14,-12,12,14,2,170,2,3,26725303000,26725304000,1000,1528593436522085912,24,18,-3,2,-1,-5
n680_first,680,26,-2,2,26,2,340,2,3,26725303000,26725304000,1000,3788821096747493299,24,12,-4,-1,-5,-3
n680_second,680,22,-14,14,22,2,340,2,3,26725303000,26725304000,1000,3788821096747493299,17,8,0,-1,-1,1
n65_first,65,8,-1,1,8,1,65,2,4,26725304000,26725305000,1000,10862970452350787574,64,68,-13,-9,-22,-4
n65_second,65,7,-4,4,7,1,65,2,4,26725304000,26725305000,1000,10862970452350787574,69,56,-12,-7,-19,-5
n130_first,130,11,-3,3,11,1,130,2,4,26725304000,26725305000,1000,8566815391549353979,50,51,-2,0,-2,-2
n130_second,130,9,-7,7,9,1,130,2,4,26725304000,26725305000,1000,8566815391549353979,45,35,-4,-8,-12,4
n260_first,260,16,-2,2,16,2,130,2,4,26725304000,26725305000,1000,12194940286155650505,27,29,-4,-5,-9,1
n260_second,260,14,-8,8,14,2,130,2,4,26725304000,26725305000,1000,12194940286155650505,30,26,-4,-6,-10,2
n520_first,520,22,-6,6,22,2,260,2,4,26725304000,26725305000,1000,3677661903019366017,15,12,-2,-1,-3,-1
n520_second,520,18,-14,14,18,2,260,2,4,26725304000,26725305000,1000,3677661903019366017,20,21,-6,-3,-9,-3
n85_first,85,9,-2,2,9,1,85,2,4,26725304000,26725305000,1000,10296122734487564666,73,58,-2,-6,-8,4
n85_second,85,7,-6,6,7,1,85,2,4,26725304000,26725305000,1000,10296122734487564666,50,48,-5,-7,-12,2
n170_first,170,13,-1,1,13,1,170,2,4,26725304000,26725305000,1000,14979214993480397878,26,40,0,2,2,-2
n170_second,170,11,-7,7,11,1,170,2,4,26725304000,26725305000,1000,14979214993480397878,47,32,-4,0,-4,-4
n340_first,340,18,-4,4,18,2,170,2,4,26725304000,26725305000,1000,6092579006309163730,23,26,-3,-3,-6,0
n340_second,340,14,-12,12,14,2,170,2,4,26725304000,26725305000,1000,6092579006309163730,21,14,-3,-1,-4,-2
n680_first,680,26,-2,2,26,2,340,2,4,26725304000,26725305000,1000,10603512850301798939,13,16,0,-3,-3,3
n680_second,680,22,-14,14,22,2,340,2,4,26725304000,26725305000,1000,10603512850301798939,13,16,-1,0,-1,-1
n65_first,65,8,-1,1,8,1,65,2,5,26725305000,26725306000,1000,337273031106484839,62,77,-8,-12,-20,4
n65_second,65,7,-4,4,7,1,65,2,5,26725305000,26725306000,1000,337273031106484839,73,57,-11,-11,-22,0
n130_first,130,11,-3,3,11,1,130,2,5,26725305000,26725306000,1000,3447083400441189331,27,50,-6,-6,-12,0
n130_second,130,9,-7,7,9,1,130,2,5,26725305000,26725306000,1000,3447083400441189331,40,30,-2,-6,-8,4
n260_first,260,16,-2,2,16,2,130,2,5,26725305000,26725306000,1000,1460874989899623769,26,20,-9,-2,-11,-7
n260_second,260,14,-8,8,14,2,130,2,5,26725305000,26725306000,1000,1460874989899623769,29,29,0,1,1,-1
n520_first,520,22,-6,6,22,2,260,2,5,26725305000,26725306000,1000,17648223729563951142,12,12,-2,-3,-5,1
n520_second,520,18,-14,14,18,2,260,2,5,26725305000,26725306000,1000,17648223729563951142,18,15,-1,-2,-3,1
n85_first,85,9,-2,2,9,1,85,2,5,26725305000,26725306000,1000,10455683449784172507,44,50,-8,1,-7,-9
n85_second,85,7,-6,6,7,1,85,2,5,26725305000,26725306000,1000,10455683449784172507,69,48,-9,-9,-18,0
n170_first,170,13,-1,1,13,1,170,2,5,26725305000,26725306000,1000,13957287903749613674,32,46,-5,-3,-8,-2
n170_second,170,11,-7,7,11,1,170,2,5,26725305000,26725306000,1000,13957287903749613674,41,36,-6,-8,-14,2
n340_first,340,18,-4,4,18,2,170,2,5,26725305000,26725306000,1000,9268758796430062340,25,23,-5,-2,-7,-3
n340_second,340,14,-12,12,14,2,170,2,5,26725305000,26725306000,1000,9268758796430062340,25,29,2,-1,1,3
n680_first,680,26,-2,2,26,2,340,2,5,26725305000,26725306000,1000,5111389554827685711,17,19,-3,-3,-6,0
n680_second,680,22,-14,14,22,2,340,2,5,26725305000,26725306000,1000,5111389554827685711,19,14,-2,-4,-6,2
n65_first,65,8,-1,1,8,1,65,2,6,26725306000,26725307000,1000,1297778233362499007,55,58,-8,-14,-22,6
n65_second,65,7,-4,4,7,1,65,2,6,26725306000,26725307000,1000,1297778233362499007,64,68,-6,-10,-16,4
n130_first,130,11,-3,3,11,1,130,2,6,26725306000,26725307000,1000,4150890779967202058,42,38,-6,-3,-9,-3
n130_second,130,9,-7,7,9,1,130,2,6,26725306000,26725307000,1000,4150890779967202058,42,47,-5,-5,-10,0
n260_first,260,16,-2,2,16,2,130,2,6,26725306000,26725307000,1000,12966980823548076008,29,25,-5,2,-3,-7
n260_second,260,14,-8,8,14,2,130,2,6,26725306000,26725307000,1000,12966980823548076008,26,30,-2,-5,-7,3
n520_first,520,22,-6,6,22,2,260,2,6,26725306000,26725307000,1000,8720343716869759670,17,16,-3,-4,-7,1
n520_second,520,18,-14,14,18,2,260,2,6,26725306000,26725307000,1000,8720343716869759670,25,20,-9,-1,-10,-8
n85_first,85,9,-2,2,9,1,85,2,6,26725306000,26725307000,1000,15925465636605589297,63,60,-9,-12,-21,3
n85_second,85,7,-6,6,7,1,85,2,6,26725306000,26725307000,1000,15925465636605589297,51,59,-9,-6,-15,-3
n170_first,170,13,-1,1,13,1,170,2,6,26725306000,26725307000,1000,14014514798490058751,37,42,-5,-9,-14,4
n170_second,170,11,-7,7,11,1,170,2,6,26725306000,26725307000,1000,14014514798490058751,47,34,-6,-5,-11,-1
n340_first,340,18,-4,4,18,2,170,2,6,26725306000,26725307000,1000,12005333722778425527,39,13,-4,0,-4,-4
n340_second,340,14,-12,12,14,2,170,2,6,26725306000,26725307000,1000,12005333722778425527,18,28,-1,-4,-5,3
n680_first,680,26,-2,2,26,2,340,2,6,26725306000,26725307000,1000,346137699178707333,12,19,-2,-2,-4,0
n680_second,680,22,-14,14,22,2,340,2,6,26725306000,26725307000,1000,346137699178707333,8,14,-1,0,-1,-1
n65_first,65,8,-1,1,8,1,65,2,7,26725307000,26725308000,1000,1533810967681861533,74,55,-3,-10,-13,7
n65_second,65,7,-4,4,7,1,65,2,7,26725307000,26725308000,1000,1533810967681861533,69,50,-7,-6,-13,-1
n130_first,130,11,-3,3,11,1,130,2,7,26725307000,26725308000,1000,2011896410152610373,37,40,-1,-4,-5,3
n130_second,130,9,-7,7,9,1,130,2,7,26725307000,26725308000,1000,2011896410152610373,49,39,-6,-7,-13,1
n260_first,260,16,-2,2,16,2,130,2,7,26725307000,26725308000,1000,15936445436768698945,25,22,-4,-5,-9,1
n260_second,260,14,-8,8,14,2,130,2,7,26725307000,26725308000,1000,15936445436768698945,24,23,-2,-7,-9,5
n520_first,520,22,-6,6,22,2,260,2,7,26725307000,26725308000,1000,5281914108333326055,18,15,-2,-5,-7,3
n520_second,520,18,-14,14,18,2,260,2,7,26725307000,26725308000,1000,5281914108333326055,18,15,-3,-2,-5,-1
n85_first,85,9,-2,2,9,1,85,2,7,26725307000,26725308000,1000,2862019524798882729,49,57,-6,-13,-19,7
n85_second,85,7,-6,6,7,1,85,2,7,26725307000,26725308000,1000,2862019524798882729,56,53,-5,-5,-10,0
n170_first,170,13,-1,1,13,1,170,2,7,26725307000,26725308000,1000,2930846397559217050,21,26,-7,-2,-9,-5
n170_second,170,11,-7,7,11,1,170,2,7,26725307000,26725308000,1000,2930846397559217050,29,41,0,-5,-5,5
n340_first,340,18,-4,4,18,2,170,2,7,26725307000,26725308000,1000,9461366799528181916,22,21,-4,-4,-8,0
n340_second,340,14,-12,12,14,2,170,2,7,26725307000,26725308000,1000,9461366799528181916,23,19,-3,-2,-5,-1
n680_first,680,26,-2,2,26,2,340,2,7,26725307000,26725308000,1000,8082547799920765,17,13,-1,-1,-2,0
n680_second,680,22,-14,14,22,2,340,2,7,26725307000,26725308000,1000,8082547799920765,13,12,-2,0,-2,-2
n65_first,65,8,-1,1,8,1,65,2,8,26725308000,26725309000,1000,9431981616526009516,64,64,-7,-5,-12,-2
n65_second,65,7,-4,4,7,1,65,2,8,26725308000,26725309000,1000,9431981616526009516,55,64,-6,-12,-18,6
n130_first,130,11,-3,3,11,1,130,2,8,26725308000,26725309000,1000,17516716478442419701,42,44,-1,-10,-11,9
n130_second,130,9,-7,7,9,1,130,2,8,26725308000,26725309000,1000,17516716478442419701,35,49,-1,-10,-11,9
n260_first,260,16,-2,2,16,2,130,2,8,26725308000,26725309000,1000,12879166809992125090,27,31,-2,-5,-7,3
n260_second,260,14,-8,8,14,2,130,2,8,26725308000,26725309000,1000,12879166809992125090,30,28,-3,-3,-6,0
n520_first,520,22,-6,6,22,2,260,2,8,26725308000,26725309000,1000,7712623922768538188,17,21,0,-6,-6,6
n520_second,520,18,-14,14,18,2,260,2,8,26725308000,26725309000,1000,7712623922768538188,19,14,-1,0,-1,-1
n85_first,85,9,-2,2,9,1,85,2,8,26725308000,26725309000,1000,15432814779254720004,54,62,-11,-2,-13,-9
n85_second,85,7,-6,6,7,1,85,2,8,26725308000,26725309000,1000,15432814779254720004,49,61,-8,-8,-16,0
n170_first,170,13,-1,1,13,1,170,2,8,26725308000,26725309000,1000,7416253979183115969,34,29,0,-3,-3,3
n170_second,170,11,-7,7,11,1,170,2,8,26725308000,26725309000,1000,7416253979183115969,42,40,-2,-5,-7,3
n340_first,340,18,-4,4,18,2,170,2,8,26725308000,26725309000,1000,11000950923041937432,24,26,1,-5,-4,6
n340_second,340,14,-12,12,14,2,170,2,8,26725308000,26725309000,1000,11000950923041937432,13,27,0,-6,-6,6
n680_first,680,26,-2,2,26,2,340,2,8,26725308000,26725309000,1000,7249425156426934890,10,13,-2,-1,-3,-1
n680_second,680,22,-14,14,22,2,340,2,8,26725308000,26725309000,1000,7249425156426934890,18,11,-2,-1,-3,-1
n65_first,65,8,-1,1,8,1,65,2,9,26725309000,26725310000,1000,9223964757235946164,67,75,-19,-16,-35,-3
n65_second,65,7,-4,4,7,1,65,2,9,26725309000,26725310000,1000,9223964757235946164,76,69,-14,-5,-19,-9
n130_first,130,11,-3,3,11,1,130,2,9,26725309000,26725310000,1000,9367060273631762363,56,40,-5,-8,-13,3
n130_second,130,9,-7,7,9,1,130,2,9,26725309000,26725310000,1000,9367060273631762363,37,51,-4,-8,-12,4
n260_first,260,16,-2,2,16,2,130,2,9,26725309000,26725310000,1000,8668230792939986309,30,35,-5,-4,-9,-1
n260_second,260,14,-8,8,14,2,130,2,9,26725309000,26725310000,1000,8668230792939986309,23,36,-2,-4,-6,2
n520_first,520,22,-6,6,22,2,260,2,9,26725309000,26725310000,1000,4686020332927279096,18,24,-5,2,-3,-7
n520_second,520,18,-14,14,18,2,260,2,9,26725309000,26725310000,1000,4686020332927279096,16,17,-2,-5,-7,3
n85_first,85,9,-2,2,9,1,85,2,9,26725309000,26725310000,1000,8466234486362425326,62,59,-13,-6,-19,-7
n85_second,85,7,-6,6,7,1,85,2,9,26725309000,26725310000,1000,8466234486362425326,49,66,-7,-17,-24,10
n170_first,170,13,-1,1,13,1,170,2,9,26725309000,26725310000,1000,5273406376281394877,29,36,-5,1,-4,-6
n170_second,170,11,-7,7,11,1,170,2,9,26725309000,26725310000,1000,5273406376281394877,33,30,-3,-2,-5,-1
n340_first,340,18,-4,4,18,2,170,2,9,26725309000,26725310000,1000,10015693335251898645,24,27,-5,-8,-13,3
n340_second,340,14,-12,12,14,2,170,2,9,26725309000,26725310000,1000,10015693335251898645,23,20,-1,-5,-6,4
n680_first,680,26,-2,2,26,2,340,2,9,26725309000,26725310000,1000,6698991901695921609,15,12,-2,-2,-4,0
n680_second,680,22,-14,14,22,2,340,2,9,26725309000,26725310000,1000,6698991901695921609,15,15,-2,1,-1,-3
n65_first,65,8,-1,1,8,1,65,2,10,26725310000,26725311000,1000,728431614755262558,61,61,-20,-7,-27,-13
n65_second,65,7,-4,4,7,1,65,2,10,26725310000,26725311000,1000,728431614755262558,67,76,-8,-6,-14,-2
n130_first,130,11,-3,3,11,1,130,2,10,26725310000,26725311000,1000,1487456925397333000,46,44,-2,-6,-8,4
n130_second,130,9,-7,7,9,1,130,2,10,26725310000,26725311000,1000,1487456925397333000,36,20,0,1,1,-1
n260_first,260,16,-2,2,16,2,130,2,10,26725310000,26725311000,1000,5001014956584738512,22,28,-6,-2,-8,-4
n260_second,260,14,-8,8,14,2,130,2,10,26725310000,26725311000,1000,5001014956584738512,22,29,-5,-3,-8,-2
n520_first,520,22,-6,6,22,2,260,2,10,26725310000,26725311000,1000,15322191054865057391,12,17,1,-2,-1,3
n520_second,520,18,-14,14,18,2,260,2,10,26725310000,26725311000,1000,15322191054865057391,24,22,-5,-5,-10,0
n85_first,85,9,-2,2,9,1,85,2,10,26725310000,26725311000,1000,16118438277821632866,51,53,1,-3,-2,4
n85_second,85,7,-6,6,7,1,85,2,10,26725310000,26725311000,1000,16118438277821632866,57,46,-14,-9,-23,-5
n170_first,170,13,-1,1,13,1,170,2,10,26725310000,26725311000,1000,10015723587558550961,32,29,-3,-8,-11,5
n170_second,170,11,-7,7,11,1,170,2,10,26725310000,26725311000,1000,10015723587558550961,43,45,-3,1,-2,-4
n340_first,340,18,-4,4,18,2,170,2,10,26725310000,26725311000,1000,3547616951590293136,25,28,-6,0,-6,-6
n340_second,340,14,-12,12,14,2,170,2,10,26725310000,26725311000,1000,3547616951590293136,23,24,-3,-6,-9,3
n680_first,680,26,-2,2,26,2,340,2,10,26725310000,26725311000,1000,2625011199590219871,22,16,0,-2,-2,2
n680_second,680,22,-14,14,22,2,340,2,10,26725310000,26725311000,1000,2625011199590219871,20,21,-3,1,-2,-4
n65_first,65,8,-1,1,8,1,65,2,11,26725311000,26725312000,1000,2164859670590277814,73,70,-5,-5,-10,0
n65_second,65,7,-4,4,7,1,65,2,11,26725311000,26725312000,1000,2164859670590277814,69,58,-11,-3,-14,-8
n130_first,130,11,-3,3,11,1,130,2,11,26725311000,26725312000,1000,4099613140827927721,33,48,-5,-11,-16,6
n130_second,130,9,-7,7,9,1,130,2,11,26725311000,26725312000,1000,4099613140827927721,38,31,-3,-1,-4,-2
n260_first,260,16,-2,2,16,2,130,2,11,26725311000,26725312000,1000,17070111269108286753,30,24,-1,-4,-5,3
n260_second,260,14,-8,8,14,2,130,2,11,26725311000,26725312000,1000,17070111269108286753,31,28,-5,3,-2,-8
n520_first,520,22,-6,6,22,2,260,2,11,26725311000,26725312000,1000,12677487628966160780,21,12,-1,-2,-3,1
n520_second,520,18,-14,14,18,2,260,2,11,26725311000,26725312000,1000,12677487628966160780,25,24,3,-5,-2,8
n85_first,85,9,-2,2,9,1,85,2,11,26725311000,26725312000,1000,6038515948561084255,46,45,-4,-6,-10,2
n85_second,85,7,-6,6,7,1,85,2,11,26725311000,26725312000,1000,6038515948561084255,46,56,-2,-4,-6,2
n170_first,170,13,-1,1,13,1,170,2,11,26725311000,26725312000,1000,18212033604434212713,29,28,-1,0,-1,-1
n170_second,170,11,-7,7,11,1,170,2,11,26725311000,26725312000,1000,18212033604434212713,22,32,-1,-3,-4,2
n340_first,340,18,-4,4,18,2,170,2,11,26725311000,26725312000,1000,13860879640207741693,16,31,1,-2,-1,3
n340_second,340,14,-12,12,14,2,170,2,11,26725311000,26725312000,1000,13860879640207741693,22,32,0,-2,-2,2
n680_first,680,26,-2,2,26,2,340,2,11,26725311000,26725312000,1000,14843819145311044737,21,13,-3,0,-3,-3
n680_second,680,22,-14,14,22,2,340,2,11,26725311000,26725312000,1000,14843819145311044737,25,16,0,-3,-3,3
n65_first,65,8,-1,1,8,1,65,2,12,26725312000,26725313000,1000,11625913093010395713,71,65,-8,-3,-11,-5
n65_second,65,7,-4,4,7,1,65,2,12,26725312000,26725313000,1000,11625913093010395713,60,77,-13,-1,-14,-12
n130_first,130,11,-3,3,11,1,130,2,12,26725312000,26725313000,1000,14842391188454480986,35,47,-3,-8,-11,5
n130_second,130,9,-7,7,9,1,130,2,12,26725312000,26725313000,1000,14842391188454480986,44,36,-8,-3,-11,-5
n260_first,260,16,-2,2,16,2,130,2,12,26725312000,26725313000,1000,1563333047833122727,26,27,4,-4,0,8
n260_second,260,14,-8,8,14,2,130,2,12,26725312000,26725313000,1000,1563333047833122727,22,37,-3,-14,-17,11
n520_first,520,22,-6,6,22,2,260,2,12,26725312000,26725313000,1000,4381611656258621309,11,18,-4,-4,-8,0
n520_second,520,18,-14,14,18,2,260,2,12,26725312000,26725313000,1000,4381611656258621309,15,15,0,-5,-5,5
n85_first,85,9,-2,2,9,1,85,2,12,26725312000,26725313000,1000,16316711356118903738,51,54,-5,-3,-8,-2
n85_second,85,7,-6,6,7,1,85,2,12,26725312000,26725313000,1000,16316711356118903738,61,64,-6,-11,-17,5
n170_first,170,13,-1,1,13,1,170,2,12,26725312000,26725313000,1000,7017740586159152226,33,29,0,-1,-1,1
n170_second,170,11,-7,7,11,1,170,2,12,26725312000,26725313000,1000,7017740586159152226,34,36,-3,-9,-12,6
n340_first,340,18,-4,4,18,2,170,2,12,26725312000,26725313000,1000,3927078125279787107,19,28,-2,-4,-6,2
n340_second,340,14,-12,12,14,2,170,2,12,26725312000,26725313000,1000,3927078125279787107,29,19,-2,-2,-4,0
n680_first,680,26,-2,2,26,2,340,2,12,26725312000,26725313000,1000,5456533237698865796,11,14,-1,-4,-5,3
n680_second,680,22,-14,14,22,2,340,2,12,26725312000,26725313000,1000,5456533237698865796,23,19,0,-3,-3,3
n65_first,65,8,-1,1,8,1,65,2,13,26725313000,26725314000,1000,6566071343003722777,63,72,-10,-6,-16,-4
n65_second,65,7,-4,4,7,1,65,2,13,26725313000,26725314000,1000,6566071343003722777,52,61,3,-11,-8,14
n130_first,130,11,-3,3,11,1,130,2,13,26725313000,26725314000,1000,13177398680205011605,40,34,-4,-6,-10,2
n130_second,130,9,-7,7,9,1,130,2,13,26725313000,26725314000,1000,13177398680205011605,50,45,-8,-6,-14,-2
n260_first,260,16,-2,2,16,2,130,2,13,26725313000,26725314000,1000,9075541420704535471,27,38,-5,-6,-11,1
n260_second,260,14,-8,8,14,2,130,2,13,26725313000,26725314000,1000,9075541420704535471,20,31,-7,-3,-10,-4
n520_first,520,22,-6,6,22,2,260,2,13,26725313000,26725314000,1000,3542856202914133980,11,17,-3,-4,-7,1
n520_second,520,18,-14,14,18,2,260,2,13,26725313000,26725314000,1000,3542856202914133980,21,24,-3,-2,-5,-1
n85_first,85,9,-2,2,9,1,85,2,13,26725313000,26725314000,1000,9777531624308416852,56,39,-11,-2,-13,-9
n85_second,85,7,-6,6,7,1,85,2,13,26725313000,26725314000,1000,9777531624308416852,43,46,-4,-6,-10,2
n170_first,170,13,-1,1,13,1,170,2,13,26725313000,26725314000,1000,15499061319649795468,30,32,-1,0,-1,-1
n170_second,170,11,-7,7,11,1,170,2,13,26725313000,26725314000,1000,15499061319649795468,36,28,-10,-4,-14,-6
n340_first,340,18,-4,4,18,2,170,2,13,26725313000,26725314000,1000,3608691930748771263,28,30,-5,-3,-8,-2
n340_second,340,14,-12,12,14,2,170,2,13,26725313000,26725314000,1000,3608691930748771263,20,30,-8,2,-6,-10
n680_first,680,26,-2,2,26,2,340,2,13,26725313000,26725314000,1000,9221390049828553185,16,14,-1,0,-1,-1
n680_second,680,22,-14,14,22,2,340,2,13,26725313000,26725314000,1000,9221390049828553185,18,9,-2,-3,-5,1
n65_first,65,8,-1,1,8,1,65,2,14,26725314000,26725315000,1000,243863619319004439,56,72,-4,-14,-18,10
n65_second,65,7,-4,4,7,1,65,2,14,26725314000,26725315000,1000,243863619319004439,67,72,-11,-13,-24,2
n130_first,130,11,-3,3,11,1,130,2,14,26725314000,26725315000,1000,10939072780699226834,38,49,-3,-1,-4,-2
n130_second,130,9,-7,7,9,1,130,2,14,26725314000,26725315000,1000,10939072780699226834,38,38,0,-2,-2,2
n260_first,260,16,-2,2,16,2,130,2,14,26725314000,26725315000,1000,7836323393604963783,18,31,-4,-1,-5,-3
n260_second,260,14,-8,8,14,2,130,2,14,26725314000,26725315000,1000,7836323393604963783,20,28,0,-1,-1,1
n520_first,520,22,-6,6,22,2,260,2,14,26725314000,26725315000,1000,10912618800189324559,18,15,-3,0,-3,-3
