dps,min_train,holdout,model,folds,median_rmse,worst_rmse,median_max_abs,intercept_median,intercept_range,full_fit_intercept,score,source
60,5,2,4,12,0.00000236135884354065668071159433313,0.00000448292524520491706274311086762,0.00000242572928000385383883687734977,0.592746077752569403271517899088,0.00000144106324511479860914143671616,0.592747497230718245011978312900,-11.4681549689432,audit_dps060_nmin05_h02.json
60,5,2,"4,6",11,0.0000000520214282215381612481711063740,0.0000000603850706758667836875635954324,0.0000000571544646784142888603199846602,0.592746051050149101266756468072,0.0000000473107068129398360259730746925,0.592746004135914017836894671744,-14.6088582922712,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8",10,0.0000000346583337396049010668107459199,0.0000000836999028705136771042507248117,0.0000000371791697195625081842031249802,0.592746051008845159102806615412,0.0000000293452897502463322967706252911,0.592746029958681839743514733314,-14.9926539185735,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10",9,0.0000000156200519193683396895272134360,0.0000000271339389265388804405333031787,0.0000000176075376578098291638689446674,0.592746050883526152229541174535,0.0000000167504819702663374270984689624,0.592746067565446897117009554584,-15.5822902191763,audit_dps060_nmin05_h02.json
60,5,2,"4,6,8,10,12",8,0.00000000251483586785186123485123579175,0.00000000450069949745480556236410509763,0.00000000293365010172037255806856768465,0.592746050820816422875007240035,0.00000000380657573907357480125212277950,0.592746047507283830658868613795,-17.0189558788206,audit_dps060_nmin05_h02.json
60,5,3,4,11,0.00000253559386151486161469166600988,0.00000495553427941205065134212772281,0.00000265789750200145609079352766244,0.592746077752569403271517899088,0.00000144106324511479860914143671616,0.592747497230718245011978312900,-11.4372372668262,audit_dps060_nmin05_h03.json
60,5,3,"4,6",10,0.0000000587606207611387274912388262477,0.0000000683955837010150607272825117482,0.0000000698157594013529690089685633766,0.592746051050149101266756468072,0.0000000473107068129398360259730746925,0.592746004135914017836894671744,-14.5559541884938,audit_dps060_nmin05_h03.json
60,5,3,"4,6,8",9,0.0000000399431239759505502309716592171,0.000000100747812575351901466479912690,0.0000000449368868320950519810830660535,0.592746051008845159102806615412,0.0000000293452897502463322967706252911,0.592746029958681839743514733314,-14.9310195696838,audit_dps060_nmin05_h03.json
60,5,3,"4,6,8,10",8,0.0000000189866734971474425865203015789,0.0000000354872245626798913521826138672,0.0000000231294761231500209048399882162,0.592746050883526152229541174535,0.0000000167504819702663374270984689624,0.592746067565446897117009554584,-15.4975238101208,audit_dps060_nmin05_h03.json
60,5,3,"4,6,8,10,12",7,0.00000000322835133354213690284657397049,0.00000000618471900533739136115038482788,0.00000000412058916825660205801318334210,0.592746050820816422875007240035,0.00000000380657573907357480125212277950,0.592746047507283830658868613795,-16.9104847328457,audit_dps060_nmin05_h03.json
60,5,4,4,10,0.00000274282591456471168032388229310,0.00000532299895247270045744967319977,0.00000292391474500086980355612370284,0.592746077752569403271517899088,0.00000144106324511479860914143671616,0.592747497230718245011978312900,-11.4031187144509,audit_dps060_nmin05_h04.json
60,5,4,"4,6",9,0.0000000638683369387251543468797572319,0.0000000763708179608194358113063401692,0.0000000801935966931962266068150496709,0.592746051050149101266756468072,0.0000000473107068129398360259730746925,0.592746004135914017836894671744,-14.5197549558718,audit_dps060_nmin05_h04.json
60,5,4,"4,6,8",8,0.0000000468253419433153329448944808822,0.000000115133815164462083054352327193,0.0000000546210910038699153216964381706,0.592746051008845159102806615412,0.0000000293452897502463322967706252911,0.592746029958681839743514733314,-14.8619806404757,audit_dps060_nmin05_h04.json
60,5,4,"4,6,8,10",7,0.0000000228261900365097063233154523865,0.0000000431799453393893895384169327644,0.0000000291911598399003910594279646971,0.592746050883526152229541174535,0.0000000167504819702663374270984689624,0.592746067565446897117009554584,-15.4175392636600,audit_dps060_nmin05_h04.json
60,5,4,"4,6,8,10,12",6,0.00000000417073215719298262506297832043,0.00000000781324822668993686288441273174,0.00000000564394443633391783194492258313,0.592746050820816422875007240035,0.00000000380657573907357480125212277950,0.592746047507283830658868613795,-16.7992532241513,audit_dps060_nmin05_h04.json
60,6,2,4,11,0.000000873539858405420377121368756477,0.00000148666700573514661438433970777,0.000000907107706079961732700826716736,0.592746074238421395164597008222,0.000000584968414556400244614964801419,0.592746641135887686613613786428,-12.2915848570477,audit_dps060_nmin06_h02.json
60,6,2,"4,6",10,0.0000000467455588814125023390113567571,0.0000000815311952781390200351323421940,0.0000000499907271952836549012114030671,0.592746051075181172007150271361,0.0000000344536358262419167800749981630,0.592746016992985004534813917643,-14.7930245845788,audit_dps060_nmin06_h02.json
60,6,2,"4,6,8",9,0.00000000673324558760160838171372725845,0.00000000884946567276263079388310030445,0.00000000757560711855034415741673700926,0.592746051059724037528572798413,0.00000000845540096512300234190076839387,0.592746059303971589989847030085,-16.2446413376572,audit_dps060_nmin06_h02.json
60,6,2,"4,6,8,10",8,2.56811765230183842678660005556e-10,3.02280516963079667135168079401e-10,3.10801660510754230421492995893e-10,0.592746050871450070813434491350,8.19574947643683454759584585209e-10,0.592746051634539874494355582245,-18.6767964093259,audit_dps060_nmin06_h02.json
60,6,2,"4,6,8,10,12",7,2.70450092139205540192267291414e-10,5.06142042543689252539756691649e-10,3.22602970326837378305906799563e-10,0.592746050826078971589531446625,5.55846231792370766168480156031e-10,0.592746051313859569732443415047,-18.8229582004366,audit_dps060_nmin06_h02.json
60,6,3,4,10,0.000000950021789561304411536581625648,0.00000167100319626127564431622889895,0.00000101586752911385785677947851968,0.592746074238421395164597008222,0.000000584968414556400244614964801419,0.592746641135887686613613786428,-12.2551340167523,audit_dps060_nmin06_h03.json
60,6,3,"4,6",9,0.0000000526067775927897576943105605907,0.0000000973716749864950344395949798609,0.0000000589220842394718277317219397063,0.592746051075181172007150271361,0.0000000344536358262419167800749981630,0.592746016992985004534813917643,-14.7417232409962,audit_dps060_nmin06_h03.json
60,6,3,"4,6,8",8,0.00000000795509905581385035843530762768,0.0000000115478410497181228785266580455,0.00000000966815055493919061025586596056,0.592746051059724037528572798413,0.00000000845540096512300234190076839387,0.592746059303971589989847030085,-16.1722202010273,audit_dps060_nmin06_h03.json
60,6,3,"4,6,8,10",7,3.14967191779173303269925733805e-10,3.46221980787264654403186026058e-10,4.25477532458765347714982087692e-10,0.592746050871450070813434491350,8.19574947643683454759584585209e-10,0.592746051634539874494355582245,-18.5881460070390,audit_dps060_nmin06_h03.json
60,6,3,"4,6,8,10,12",6,3.72906529454848570356363425634e-10,7.13382627585604390633322595627e-10,4.92399917553179199439648272662e-10,0.592746050826078971589531446625,5.55846231792370766168480156031e-10,0.592746051313859569732443415047,-18.6834453464108,audit_dps060_nmin06_h03.json
