dps,min_train,holdout,model,intercept_median,intercept_range,full_fit_intercept,median_rmse
60,5,2,4,0.592746077752569403271517899088,0.00000144106324511479860914143671616,0.592747497230718245011978312900,0.00000236135884354065668071159433313
60,5,2,"4,6",0.592746051050149101266756468072,0.0000000473107068129398360259730746925,0.592746004135914017836894671744,0.0000000520214282215381612481711063740
60,5,2,"4,6,8",0.592746051008845159102806615412,0.0000000293452897502463322967706252911,0.592746029958681839743514733314,0.0000000346583337396049010668107459199
60,5,2,"4,6,8,10",0.592746050883526152229541174535,0.0000000167504819702663374270984689624,0.592746067565446897117009554584,0.0000000156200519193683396895272134360
60,5,2,"4,6,8,10,12",0.592746050820816422875007240035,0.00000000380657573907357480125212277950,0.592746047507283830658868613795,0.00000000251483586785186123485123579175
60,5,3,4,0.592746077752569403271517899088,0.00000144106324511479860914143671616,0.592747497230718245011978312900,0.00000253559386151486161469166600988
60,5,3,"4,6",0.592746051050149101266756468072,0.0000000473107068129398360259730746925,0.592746004135914017836894671744,0.0000000587606207611387274912388262477
60,5,3,"4,6,8",0.592746051008845159102806615412,0.0000000293452897502463322967706252911,0.592746029958681839743514733314,0.0000000399431239759505502309716592171
60,5,3,"4,6,8,10",0.592746050883526152229541174535,0.0000000167504819702663374270984689624,0.592746067565446897117009554584,0.0000000189866734971474425865203015789
60,5,3,"4,6,8,10,12",0.592746050820816422875007240035,0.00000000380657573907357480125212277950,0.592746047507283830658868613795,0.00000000322835133354213690284657397049
60,5,4,4,0.592746077752569403271517899088,0.00000144106324511479860914143671616,0.592747497230718245011978312900,0.00000274282591456471168032388229310
60,5,4,"4,6",0.592746051050149101266756468072,0.0000000473107068129398360259730746925,0.592746004135914017836894671744,0.0000000638683369387251543468797572319
60,5,4,"4,6,8",0.592746051008845159102806615412,0.0000000293452897502463322967706252911,0.592746029958681839743514733314,0.0000000468253419433153329448944808822
60,5,4,"4,6,8,10",0.592746050883526152229541174535,0.0000000167504819702663374270984689624,0.592746067565446897117009554584,0.0000000228261900365097063233154523865
60,5,4,"4,6,8,10,12",0.592746050820816422875007240035,0.00000000380657573907357480125212277950,0.592746047507283830658868613795,0.00000000417073215719298262506297832043
60,6,2,4,0.592746074238421395164597008222,0.000000584968414556400244614964801419,0.592746641135887686613613786428,0.000000873539858405420377121368756477
60,6,2,"4,6",0.592746051075181172007150271361,0.0000000344536358262419167800749981630,0.592746016992985004534813917643,0.0000000467455588814125023390113567571
60,6,2,"4,6,8",0.592746051059724037528572798413,0.00000000845540096512300234190076839387,0.592746059303971589989847030085,0.00000000673324558760160838171372725845
60,6,2,"4,6,8,10",0.592746050871450070813434491350,8.19574947643683454759584585209e-10,0.592746051634539874494355582245,2.56811765230183842678660005556e-10
60,6,2,"4,6,8,10,12",0.592746050826078971589531446625,5.55846231792370766168480156031e-10,0.592746051313859569732443415047,2.70450092139205540192267291414e-10
60,6,3,4,0.592746074238421395164597008222,0.000000584968414556400244614964801419,0.592746641135887686613613786428,0.000000950021789561304411536581625648
60,6,3,"4,6",0.592746051075181172007150271361,0.0000000344536358262419167800749981630,0.592746016992985004534813917643,0.0000000526067775927897576943105605907
60,6,3,"4,6,8",0.592746051059724037528572798413,0.00000000845540096512300234190076839387,0.592746059303971589989847030085,0.00000000795509905581385035843530762768
60,6,3,"4,6,8,10",0.592746050871450070813434491350,8.19574947643683454759584585209e-10,0.592746051634539874494355582245,3.14967191779173303269925733805e-10
60,6,3,"4,6,8,10,12",0.592746050826078971589531446625,5.55846231792370766168480156031e-10,0.592746051313859569732443415047,3.72906529454848570356363425634e-10
60,6,4,4,0.592746074238421395164597008222,0.000000584968414556400244614964801419,0.592746641135887686613613786428,0.00000103085065351786804300379604469
