dps,min_train,holdout,rank,model,score,median_rmse,worst_rmse,intercept_range,full_fit_intercept,folds
60,5,2,1,"4,6,8,10,12",-17.0189558788206,0.00000000251483586785186123485123579175,0.00000000450069949745480556236410509763,0.00000000380657573907357480125212277950,0.592746047507283830658868613795,8
60,5,2,2,"4,6,8,10",-15.5822902191763,0.0000000156200519193683396895272134360,0.0000000271339389265388804405333031787,0.0000000167504819702663374270984689624,0.592746067565446897117009554584,9
60,5,2,3,"4,6,8",-14.9926539185735,0.0000000346583337396049010668107459199,0.0000000836999028705136771042507248117,0.0000000293452897502463322967706252911,0.592746029958681839743514733314,10
60,5,2,4,"4,6",-14.6088582922712,0.0000000520214282215381612481711063740,0.0000000603850706758667836875635954324,0.0000000473107068129398360259730746925,0.592746004135914017836894671744,11
60,5,2,5,4,-11.4681549689432,0.00000236135884354065668071159433313,0.00000448292524520491706274311086762,0.00000144106324511479860914143671616,0.592747497230718245011978312900,12
60,5,3,1,"4,6,8,10,12",-16.9104847328457,0.00000000322835133354213690284657397049,0.00000000618471900533739136115038482788,0.00000000380657573907357480125212277950,0.592746047507283830658868613795,7
60,5,3,2,"4,6,8,10",-15.4975238101208,0.0000000189866734971474425865203015789,0.0000000354872245626798913521826138672,0.0000000167504819702663374270984689624,0.592746067565446897117009554584,8
60,5,3,3,"4,6,8",-14.9310195696838,0.0000000399431239759505502309716592171,0.000000100747812575351901466479912690,0.0000000293452897502463322967706252911,0.592746029958681839743514733314,9
60,5,3,4,"4,6",-14.5559541884938,0.0000000587606207611387274912388262477,0.0000000683955837010150607272825117482,0.0000000473107068129398360259730746925,0.592746004135914017836894671744,10
60,5,3,5,4,-11.4372372668262,0.00000253559386151486161469166600988,0.00000495553427941205065134212772281,0.00000144106324511479860914143671616,0.592747497230718245011978312900,11
60,5,4,1,"4,6,8,10,12",-16.7992532241513,0.00000000417073215719298262506297832043,0.00000000781324822668993686288441273174,0.00000000380657573907357480125212277950,0.592746047507283830658868613795,6
60,5,4,2,"4,6,8,10",-15.4175392636600,0.0000000228261900365097063233154523865,0.0000000431799453393893895384169327644,0.0000000167504819702663374270984689624,0.592746067565446897117009554584,7
60,5,4,3,"4,6,8",-14.8619806404757,0.0000000468253419433153329448944808822,0.000000115133815164462083054352327193,0.0000000293452897502463322967706252911,0.592746029958681839743514733314,8
60,5,4,4,"4,6",-14.5197549558718,0.0000000638683369387251543468797572319,0.0000000763708179608194358113063401692,0.0000000473107068129398360259730746925,0.592746004135914017836894671744,9
60,5,4,5,4,-11.4031187144509,0.00000274282591456471168032388229310,0.00000532299895247270045744967319977,0.00000144106324511479860914143671616,0.592747497230718245011978312900,10
60,6,2,1,"4,6,8,10,12",-18.8229582004366,2.70450092139205540192267291414e-10,5.06142042543689252539756691649e-10,5.55846231792370766168480156031e-10,0.592746051313859569732443415047,7
60,6,2,2,"4,6,8,10",-18.6767964093259,2.56811765230183842678660005556e-10,3.02280516963079667135168079401e-10,8.19574947643683454759584585209e-10,0.592746051634539874494355582245,8
60,6,2,3,"4,6,8",-16.2446413376572,0.00000000673324558760160838171372725845,0.00000000884946567276263079388310030445,0.00000000845540096512300234190076839387,0.592746059303971589989847030085,9
60,6,2,4,"4,6",-14.7930245845788,0.0000000467455588814125023390113567571,0.0000000815311952781390200351323421940,0.0000000344536358262419167800749981630,0.592746016992985004534813917643,10
60,6,2,5,4,-12.2915848570477,0.000000873539858405420377121368756477,0.00000148666700573514661438433970777,0.000000584968414556400244614964801419,0.592746641135887686613613786428,11
60,6,3,1,"4,6,8,10,12",-18.6834453464108,3.72906529454848570356363425634e-10,7.13382627585604390633322595627e-10,5.55846231792370766168480156031e-10,0.592746051313859569732443415047,6
60,6,3,2,"4,6,8,10",-18.5881460070390,3.14967191779173303269925733805e-10,3.46221980787264654403186026058e-10,8.19574947643683454759584585209e-10,0.592746051634539874494355582245,7
60,6,3,3,"4,6,8",-16.1722202010273,0.00000000795509905581385035843530762768,0.0000000115478410497181228785266580455,0.00000000845540096512300234190076839387,0.592746059303971589989847030085,8
60,6,3,4,"4,6",-14.7417232409962,0.0000000526067775927897576943105605907,0.0000000973716749864950344395949798609,0.0000000344536358262419167800749981630,0.592746016992985004534813917643,9
60,6,3,5,4,-12.2551340167523,0.000000950021789561304411536581625648,0.00000167100319626127564431622889895,0.000000584968414556400244614964801419,0.592746641135887686613613786428,10
60,6,4,1,"4,6,8,10,12",-18.5572012239239,4.98705445300674859689554921539e-10,9.19578524825726417443681642147e-10,5.55846231792370766168480156031e-10,0.592746051313859569732443415047,5
60,6,4,2,"4,6,8,10",-18.5220395188618,3.66751422084353286441674765741e-10,3.99565033447347310188862349536e-10,8.19574947643683454759584585209e-10,0.592746051634539874494355582245,6
60,6,4,3,"4,6,8",-16.1029857675263,0.00000000932996523063860273633754614146,0.0000000140466420678090288767847389503,0.00000000845540096512300234190076839387,0.592746059303971589989847030085,7
60,6,4,4,"4,6",-14.6865797065235,0.0000000597289987379552252047869145574,0.000000110692861798592941877397268160,0.0000000344536358262419167800749981630,0.592746016992985004534813917643,8
60,6,4,5,4,-12.2196718324824,0.00000103085065351786804300379604469,0.00000181856346294279962840582890605,0.000000584968414556400244614964801419,0.592746641135887686613613786428,9
60,7,2,1,"4,6,8,10,12",-20.1055960768830,5.51589716681259914670923010271e-11,9.26931196866998114824160049386e-11,1.42163387084646300231126977717e-10,0.592746050758013337940072648878,6
60,7,2,2,"4,6,8,10",-18.7184077372246,3.00569479678701765499156848789e-10,4.48916674963505170219236838388e-10,6.36278697336725440193946480731e-10,0.592746051451243624187397567680,7
60,7,2,3,"4,6,8",-17.1979171550221,0.00000000190816744199603438755480063919,0.00000000199688124919369211868200943429,0.00000000332251051091831937428841272965,0.592746054171081135785164062472,8
60,7,2,4,"4,6",-16.0936000208036,0.00000000994638901101468383277631830136,0.0000000164970127154854889149340964303,0.00000000810465511007399081046539889279,0.592746043341965720702739887252,9
60,7,2,5,4,-13.0333618469740,0.000000349713789469698353493451904869,0.000000514502419926977615520176855891,0.000000264804521184667093377568008060,0.592746320971994314880462549031,10
