min_train,holdout,model,full_fit_intercept_dps60,full_fit_intercept_dps100,full_fit_intercept_dps160,full_fit_intercept_json30_dps60,full_fit_intercept_json30_dps100,full_fit_intercept_json30_dps160,full_fit_intercept_absdiff_60_100,full_fit_intercept_absdiff_100_160,full_fit_intercept_agree_decimals_60_100,full_fit_intercept_agree_decimals_100_160,full_fit_intercept_first_changing_decimal,median_rmse_dps60,median_rmse_dps100,median_rmse_dps160,median_rmse_json30_dps60,median_rmse_json30_dps100,median_rmse_json30_dps160,median_rmse_absdiff_60_100,median_rmse_absdiff_100_160,median_rmse_agree_decimals_60_100,median_rmse_agree_decimals_100_160,median_rmse_first_changing_decimal,intercept_range_dps60,intercept_range_dps100,intercept_range_dps160,intercept_range_json30_dps60,intercept_range_json30_dps100,intercept_range_json30_dps160,intercept_range_absdiff_60_100,intercept_range_absdiff_100_160,intercept_range_agree_decimals_60_100,intercept_range_agree_decimals_100_160,intercept_range_first_changing_decimal,json_30sig_identical
5,2,4,0.5927474972307182450119783129001996592959,0.59274749723071824501197831290019965929585079199301,0.59274749723071824501197831290019965929585079199301,0.592747497230718245011978312900,0.592747497230718245011978312900,0.592747497230718245011978312900,4.4525465400292970364e-56,0.0,55,identical,55,0.000002361358843540656680711594333128528204514,0.0000023613588435406566807115943331285282045139631964935,0.0000023613588435406566807115943331285282045139631964935,0.00000236135884354065668071159433313,0.00000236135884354065668071159433313,0.00000236135884354065668071159433313,4.7756306029204162474e-61,0.0,60,identical,60,0.000001441063245114798609141436716158491695585,0.0000014410632451147986091414367161584916955849690110358,0.0000014410632451147986091414367161584916955849690110358,0.00000144106324511479860914143671616,0.00000144106324511479860914143671616,0.00000144106324511479860914143671616,4.0216298404782097965e-61,0.0,60,identical,60,True
5,2,"4,6",0.5927460041359140178368946717444499376714,0.59274600413591401783689467174444993767135430507631,0.59274600413591401783689467174444993767135430507631,0.592746004135914017836894671744,0.592746004135914017836894671744,0.592746004135914017836894671744,9.2783814124960646167e-57,0.0,56,identical,56,0.00000005202142822153816124817110637395799756026,0.000000052021428221538161248171106373957997560263585609931,0.000000052021428221538161248171106373957997560263585609931,0.0000000520214282215381612481711063740,0.0000000520214282215381612481711063740,0.0000000520214282215381612481711063740,8.2482165266888228785e-63,0.0,62,identical,62,0.00000004731070681293983602597307469250925932146,0.000000047310706812939836025973074692509259321463557911337,0.000000047310706812939836025973074692509259321463557911337,0.0000000473107068129398360259730746925,0.0000000473107068129398360259730746925,0.0000000473107068129398360259730746925,1.8258751965107836226e-63,0.0,62,identical,62,True
5,2,"4,6,8",0.5927460299586818397435147333139825592723,0.59274602995868183974351473331398255927232068978611,0.59274602995868183974351473331398255927232068978611,0.592746029958681839743514733314,0.592746029958681839743514733314,0.592746029958681839743514733314,3.3818879691139140569e-56,0.0,55,identical,55,0.00000003465833373960490106681074591992254522305,0.000000034658333739604901066810745919922545223053715155660,0.000000034658333739604901066810745919922545223053715155660,0.0000000346583337396049010668107459199,0.0000000346583337396049010668107459199,0.0000000346583337396049010668107459199,1.8155035119201682572e-62,0.0,61,identical,61,0.00000002934528975024633229677062529112360427916,0.000000029345289750246332296770625291123604279158811677281,0.000000029345289750246332296770625291123604279158811677281,0.0000000293452897502463322967706252911,0.0000000293452897502463322967706252911,0.0000000293452897502463322967706252911,9.7972373539295595744e-65,0.0,64,identical,64,True
5,2,"4,6,8,10",0.5927460675654468971170095545841404016178,0.59274606756544689711700955458414040161784246046675,0.59274606756544689711700955458414040161784246046675,0.592746067565446897117009554584,0.592746067565446897117009554584,0.592746067565446897117009554584,1.7364617764788948077e-56,0.0,55,identical,55,0.00000001562005191936833968952721343595820957006,0.000000015620051919368339689527213435958209570061758368242,0.000000015620051919368339689527213435958209570061758368242,0.0000000156200519193683396895272134360,0.0000000156200519193683396895272134360,0.0000000156200519193683396895272134360,1.9611361620880938004e-62,0.0,61,identical,61,0.00000001675048197026633742709846896240808154698,0.000000016750481970266337427098468962408081546981106829565,0.000000016750481970266337427098468962408081546981106829565,0.0000000167504819702663374270984689624,0.0000000167504819702663374270984689624,0.0000000167504819702663374270984689624,1.0968624841484682832e-64,0.0,63,identical,63,True
5,2,"4,6,8,10,12",0.5927460475072838306588686137945156810826,0.59274604750728383065886861379451568108258877754372,0.59274604750728383065886861379451568108258877754372,0.592746047507283830658868613795,0.592746047507283830658868613795,0.592746047507283830658868613795,5.4206581056754775016e-57,0.0,56,identical,56,0.000000002514835867851861234851235791756115602462,0.0000000025148358678518612348512357917561156024623210231286,0.0000000025148358678518612348512357917561156024623210231286,0.00000000251483586785186123485123579175,0.00000000251483586785186123485123579175,0.00000000251483586785186123485123579175,5.8681325317841781631e-63,0.0,62,identical,62,0.000000003806575739073574801252122779495905712725,0.0000000038065757390735748012521227794959057127249735534981,0.0000000038065757390735748012521227794959057127249735534981,0.00000000380657573907357480125212277950,0.00000000380657573907357480125212277950,0.00000000380657573907357480125212277950,3.2443103554793343896e-64,0.0,63,identical,63,True
5,3,4,0.5927474972307182450119783129001996592959,0.59274749723071824501197831290019965929585079199301,0.59274749723071824501197831290019965929585079199301,0.592747497230718245011978312900,0.592747497230718245011978312900,0.592747497230718245011978312900,4.4525465400292970364e-56,0.0,55,identical,55,0.000002535593861514861614691666009879439694610,0.0000025355938615148616146916660098794396946102022191317,0.0000025355938615148616146916660098794396946102022191317,0.00000253559386151486161469166600988,0.00000253559386151486161469166600988,0.00000253559386151486161469166600988,1.3157838968165083035e-62,0.0,61,identical,61,0.000001441063245114798609141436716158491695585,0.0000014410632451147986091414367161584916955849690110358,0.0000014410632451147986091414367161584916955849690110358,0.00000144106324511479860914143671616,0.00000144106324511479860914143671616,0.00000144106324511479860914143671616,4.0216298404782097965e-61,0.0,60,identical,60,True
5,3,"4,6",0.5927460041359140178368946717444499376714,0.59274600413591401783689467174444993767135430507631,0.59274600413591401783689467174444993767135430507631,0.592746004135914017836894671744,0.592746004135914017836894671744,0.592746004135914017836894671744,9.2783814124960646167e-57,0.0,56,identical,56,0.00000005876062076113872749123882624773832773986,0.000000058760620761138727491238826247738327739862141710850,0.000000058760620761138727491238826247738327739862141710850,0.0000000587606207611387274912388262477,0.0000000587606207611387274912388262477,0.0000000587606207611387274912388262477,5.6310241656258753472e-64,0.0,63,identical,63,0.00000004731070681293983602597307469250925932146,0.000000047310706812939836025973074692509259321463557911337,0.000000047310706812939836025973074692509259321463557911337,0.0000000473107068129398360259730746925,0.0000000473107068129398360259730746925,0.0000000473107068129398360259730746925,1.8258751965107836226e-63,0.0,62,identical,62,True
5,3,"4,6,8",0.5927460299586818397435147333139825592723,0.59274602995868183974351473331398255927232068978611,0.59274602995868183974351473331398255927232068978611,0.592746029958681839743514733314,0.592746029958681839743514733314,0.592746029958681839743514733314,3.3818879691139140569e-56,0.0,55,identical,55,0.00000003994312397595055023097165921708462115670,0.000000039943123975950550230971659217084621156695951629829,0.000000039943123975950550230971659217084621156695951629829,0.0000000399431239759505502309716592171,0.0000000399431239759505502309716592171,0.0000000399431239759505502309716592171,1.8213929609798022651e-62,0.0,61,identical,61,0.00000002934528975024633229677062529112360427916,0.000000029345289750246332296770625291123604279158811677281,0.000000029345289750246332296770625291123604279158811677281,0.0000000293452897502463322967706252911,0.0000000293452897502463322967706252911,0.0000000293452897502463322967706252911,9.7972373539295595744e-65,0.0,64,identical,64,True
5,3,"4,6,8,10",0.5927460675654468971170095545841404016178,0.59274606756544689711700955458414040161784246046675,0.59274606756544689711700955458414040161784246046675,0.592746067565446897117009554584,0.592746067565446897117009554584,0.592746067565446897117009554584,1.7364617764788948077e-56,0.0,55,identical,55,0.00000001898667349714744258652030157898145186149,0.000000018986673497147442586520301578981451861489354531046,0.000000018986673497147442586520301578981451861489354531046,0.0000000189866734971474425865203015789,0.0000000189866734971474425865203015789,0.0000000189866734971474425865203015789,3.8170392076045415822e-62,0.0,61,identical,61,0.00000001675048197026633742709846896240808154698,0.000000016750481970266337427098468962408081546981106829565,0.000000016750481970266337427098468962408081546981106829565,0.0000000167504819702663374270984689624,0.0000000167504819702663374270984689624,0.0000000167504819702663374270984689624,1.0968624841484682832e-64,0.0,63,identical,63,True
5,3,"4,6,8,10,12",0.5927460475072838306588686137945156810826,0.59274604750728383065886861379451568108258877754372,0.59274604750728383065886861379451568108258877754372,0.592746047507283830658868613795,0.592746047507283830658868613795,0.592746047507283830658868613795,5.4206581056754775016e-57,0.0,56,identical,56,0.000000003228351333542136902846573970493732567448,0.0000000032283513335421369028465739704937325674480570018591,0.0000000032283513335421369028465739704937325674480570018591,0.00000000322835133354213690284657397049,0.00000000322835133354213690284657397049,0.00000000322835133354213690284657397049,1.8588285335236790918e-62,0.0,61,identical,61,0.000000003806575739073574801252122779495905712725,0.0000000038065757390735748012521227794959057127249735534981,0.0000000038065757390735748012521227794959057127249735534981,0.00000000380657573907357480125212277950,0.00000000380657573907357480125212277950,0.00000000380657573907357480125212277950,3.2443103554793343896e-64,0.0,63,identical,63,True
