k,count,sum_q,sum_e,sum_b16,sum_qb16,sum_eb16,sum_b16_adj,sum_qb16_adj,sum_eb16_adj,sum_b16_far,sum_qb16_far,sum_eb16_far
0,1,-1,1,0,0,0,0,0,0,0,0,0
1,25,-25,25,0,0,0,0,0,0,0,0,0
2,300,-300,300,48,-48,48,32,-32,32,16,-16,16
3,2300,-2300,2300,1008,-1008,1008,672,-672,672,336,-336,336
4,12650,-12650,12650,10080,-10080,10080,6720,-6720,6720,3360,-3360,3360
5,53130,-53130,53130,64432,-64432,64432,42752,-42752,42752,21680,-21680,21680
6,177100,-177100,177100,296496,-296496,296496,194752,-194752,194752,101744,-101744,101744
7,480700,-480450,480450,1044416,-1043936,1043936,676704,-676224,676224,367712,-367712,367712
8,1081575,-1077525,1077525,2916616,-2908776,2908776,1861864,-1854344,1854344,1054752,-1054432,1054432
9,2042975,-2012075,2012075,6586536,-6521032,6521032,4146052,-4086916,4086916,2440484,-2434116,2434116
10,3268760,-3121160,3121560,12118692,-11759956,11761364,7545300,-7241220,7242628,4573392,-4518736,4518736
11,4457400,-3964900,3973700,18047784,-16687312,16711760,11196168,-10099920,10124176,6851616,-6587392,6587584
12,5200300,-3991100,4063200,21283076,-17662512,17840976,13361692,-10546372,10718116,7921384,-7116140,7122860
13,5200300,-2960450,3280550,19258572,-12541576,13292616,12574308,-7445716,8137460,6684264,-5095860,5155156
14,4457400,-1296800,2174500,13134144,-4702172,6659036,9217144,-2726328,4446328,3917000,-1975844,2212708
15,3268760,136400,1415400,6887968,135740,2803940,5283640,337184,2190208,1604328,-201444,613732
16,2042975,763325,1046175,2861508,1095892,1404540,2382588,965896,1207832,478920,129996,196708
17,1081575,698675,731675,935964,618276,633092,833752,556544,569696,102212,61732,63396
18,480700,398500,400100,232800,194848,195008,218496,182880,183040,14304,11968,11968
19,177100,164850,164850,41440,38736,38736,40320,37648,37648,1120,1088,1088
20,53130,51980,51980,4704,4624,4624,4672,4592,4592,32,32,32
21,12650,12600,12600,256,256,256,256,256,256,0,0,0
22,2300,2300,2300,0,0,0,0,0,0,0,0,0
23,300,300,300,0,0,0,0,0,0,0,0,0
24,25,25,25,0,0,0,0,0,0,0,0,0
25,1,1,1,0,0,0,0,0,0,0,0,0
