batch,replica_first,samples,common_field_sha256,omega_plus_1_over_2_re,omega_plus_1_over_2_im,omega_plus_1_over_2_rank0,omega_plus_1_over_2_rank1,omega_plus_1_over_2_rank2,omega_plus_1_over_2_invalid
38,17004760000,20000,82a75318ae8f9e47adc6d3ee841903c02e6cb85bb06b151f011f68bc3ad7de70,-4334.308955287604,7827.948156766407,5127,9678,5195,0
39,17004780000,20000,788cc27410ce3e708612cb19ed82e7130bc8ee3e184a1cf168a2ee8778b31303,-4350.326345910399,7868.934258200366,5087,9780,5133,0
40,17004800000,20000,a98c92011f604744e1c224f86df5cc7b58154559d9e155a36875a32f1bc2658b,-4312.112999825103,7750.774079039858,5092,9740,5168,0
41,17004820000,20000,b7be100cdd8dc6ec0b16efba9dcb2b477742f39c74bbea3651caacb01b5cbb3c,-4313.422525299061,7715.618179981645,5108,9679,5213,0
42,17004840000,20000,d8d04fc6ff4de8b36e58854473bef870ab81b51a452f8a210d88bc9c676e3ac5,-4277.428954225492,7749.9296171672095,5235,9606,5159,0
43,17004860000,20000,fb91af4ee8e1fd46472d9df6eca6f2aa2e7c9c749bda512df6235c8962dfef25,-4226.08214626134,7656.379655314713,5292,9637,5071,0
44,17004880000,20000,d283cb24d4543a8b783d91faf8dc84f7f144036a2896e0a60a9ebdb4c755b7b2,-4331.406244276646,7820.250777498553,5097,9764,5139,0
45,17004900000,20000,65e3ff3c1e7eb2955354ebd16838a80f2809266533c32354d7b5b4c656ed7625,-4322.79049892752,7794.943852769526,5132,9709,5159,0
46,17004920000,20000,1ab8979d62280ab1ba60e6ad828a86ff89fa9eb56e4b30b943b2b245f9faafc6,-4266.5628249749225,7762.912986602946,5156,9661,5183,0
47,17004940000,20000,cc17446597315e7bf952fad58ea410021c84ac7ad559b7090e654f9226173c9e,-4253.327535836209,7707.225125250532,5167,9645,5188,0
48,17004960000,20000,c62b28bc3553ad14f1c3cf3e44c041d4b8510c790aafc6235954e3070c15391d,-4312.819041255823,7793.364490505668,5095,9762,5143,0
49,17004980000,20000,ec19a9639177576ee18369d48339740e14c22dde22b4aef6c9d1746be2e139f3,-4288.511736644451,7744.340223820232,5123,9716,5161,0
50,17005000000,20000,ad7918780fb3e4e53b6db54eaec177b16da83c84192dce39d81800c7e2f64414,-4317.4778137651565,7755.678374560478,5115,9669,5216,0
51,17005020000,20000,6077f4db796cebbd47a9faf778f922e7b803ffe5a4afe7f20d8b0ad6e2440bbf,-4371.172571450442,7816.424305126017,5163,9725,5112,0
52,17005040000,20000,56acf66c15dc5da0aefca762c61209d8a402ab1cb1f6f4db1315302892343f08,-4276.994903329467,7766.684030147617,5220,9695,5085,0
53,17005060000,20000,5e2f1d116d5f6cc892987347dd3389f488bffb80938a2decff68e69a656800a3,-4381.118769434812,7916.110237094193,5068,9834,5098,0
54,17005080000,20000,61c55d800c64be577648bd87548dda028f76d90f688049a326936fdb285ffae0,-4249.705382125286,7659.412011390364,5113,9625,5262,0
55,17005100000,20000,d2706fee716819223b8c28fea45aa9f967e86b403227c9171d58fcb4d054d13b,-4366.440123270892,7830.550663515977,5115,9745,5140,0
56,17005120000,20000,a8a62e1a56e14ebfdad5b6661988b29b5f9eb05d0c5266e5791cbc91c0c728f0,-4238.625865798279,7693.532721545133,5191,9603,5206,0
57,17005140000,20000,c332ebee3441e14f91d1843bd1c49b9b270ab41192080dd7930a46199ba8ebf8,-4341.181446950192,7821.240665171292,5105,9762,5133,0
58,17005160000,20000,03881e3c0d07aabbb45378bfcdba5206f9c55137c3e2dca66caee0e09853ab22,-4303.670565190731,7722.9875472160875,5140,9624,5236,0
59,17005180000,20000,ed76baedf514e405c0e46a64762842c103e3d7609ab11d28d657365ed5061f64,-4401.920861744246,7903.368726859432,5117,9806,5077,0
60,17005200000,20000,afa71074ca77df919bd4b8855593002b5e6a67243b4ce674cf5a4a41a379c039,-4282.972378295919,7786.47886230618,5132,9719,5149,0
61,17005220000,20000,0487affcae050b0a9ed4b4e1b7ad5914410a3d2ebceefde3d52c960c37658341,-4270.742810756308,7735.543056484481,5254,9610,5136,0
62,17005240000,20000,73e8dcfc8b433bb7f9d582dac2128f81042b662db30fe9dc3c2c6aec41ab0797,-4278.065698341809,7778.843420573472,5294,9653,5053,0
63,17005260000,20000,b1ce5a5cf4c10aa9a0a793d5775e7398e0687e52ab3cfa348e7f66b21d827bb1,-4326.6758086079635,7780.260661252317,5152,9708,5140,0
64,17005280000,20000,b828f085b2c5c76416957828a70c6b6c0cf65a2915f090a5038f2af583e63b0e,-4360.455981282051,7853.587726681623,5263,9714,5023,0
65,17005300000,20000,faceb7d6ef5c24da1069293dae38d208e9525b9aa397a0dec3c5bdb3d91c8577,-4224.661964592988,7671.978044231516,5138,9625,5237,0
66,17005320000,20000,1da70a4baf304cded675c057c89a79630d411367faa6d94c1759004b273afd05,-4321.07894141338,7811.680501578399,5138,9756,5106,0
67,17005340000,20000,71ec1a3b24217e77697975c5f8ff9919bfa543e73db35dc0051d52acc3c4eeb0,-4354.665729332042,7853.2371672907775,5146,9762,5092,0
68,17005360000,20000,a6d26a28c756cd77ca0cae5718efb30b799daca7cda353a50c38569926a6a608,-4341.186481706669,7875.842250293057,5127,9779,5094,0
69,17005380000,20000,04252ae4ccacaf5ed577e5516ba4d50ad5b751787ee8f24e59515edbf7eb0ad1,-4288.747784170813,7755.646993361543,5157,9663,5180,0
70,17005400000,20000,d351198c846ae21f2d08132bb12982b6920a59dcc52c5f995f7e8b7aab87538d,-4286.19263850906,7834.644296987879,5150,9742,5108,0
71,17005420000,20000,92fb8844a7af92fed7e44a5b9df6a8dd55f4ce3660f7f238db16b8753d92aafa,-4305.888247367212,7839.512166964497,5117,9704,5179,0
72,17005440000,20000,f0bf2e5819e94c37ba19ec14b131fa2d9eaa5144e5911a1534cf7cdbf31a86e6,-4234.981489367302,7640.436297360848,5274,9548,5178,0
73,17005460000,20000,98166e4e8965a851ab77f437d753c2fab5960bdf2003dc0588ae1f3e56915455,-4298.737836317083,7794.427217047452,5135,9760,5105,0
74,17005480000,20000,d5670c30711d362330835da227e38555cdea554304f3254384795865dda9cdd4,-4340.951147179359,7874.305539909096,5120,9764,5116,0
75,17005500000,20000,8a6e1ec45fae067909ffc7747f0b45300e6fc867730314ec96db262209e099ce,-4298.997888596575,7832.064172345917,5146,9772,5082,0
76,17005520000,20000,5f7fc22d8f3b6b6e767a36e830cb62d2bf943b197e240e2a1e7c71e1aee8b38a,-4289.548833217734,7756.161360491692,5256,9616,5128,0
77,17005540000,20000,0fbd6fbc538e6f7fac6c7733af32a4dd108ac4a98da63b754d157ea19e112485,-4350.995169357018,7794.452914921415,5186,9779,5035,0
78,17005560000,20000,8f92040a9a012b875244c0f10d88aaa7a1d37075f4e71342fa5907778b5f81c1,-4365.317267613298,7911.834263331462,5106,9795,5099,0
79,17005580000,20000,0da45b145cee0cd60ebd83e4b144305faff03e7963004e4643901937fb0c7769,-4238.5259612145055,7685.247313833961,5282,9613,5105,0
80,17005600000,20000,40e552c87849fa964ad92c7f72af6d28144b66c2aa072f9ec7de7aaeaf89c84e,-4320.462007084609,7784.114854148257,5168,9746,5086,0
81,17005620000,20000,a9cb82b740eba8925e164998cf748d6c85dbc9077e90e0a78666baaa0e2bd68d,-4381.452860519928,7848.692079119707,5116,9764,5120,0
82,17005640000,20000,4e8d0cc165f11053827e4d0e61974ae1b6c9187118127ace3befe46542499690,-4310.640924487179,7790.496356359403,5145,9701,5154,0
83,17005660000,20000,fd493e0b355e35614134a237ec4de7a313f2c9080548895fe4271449f9b2b9b9,-4353.133858179723,7871.618434662718,5080,9830,5090,0
84,17005680000,20000,1c0d35233c9920b96ccdad521413e604b6069905f9fe815d8a6ec01044c68ca7,-4343.996803744264,7786.0976359726765,5121,9723,5156,0
85,17005700000,20000,6578d4e11139ffa66f40623a547d2a072660436ab0c9c1e63cbeeccb99c636b0,-4355.809084972916,7933.079797079144,5104,9837,5059,0
86,17005720000,20000,15164593acb85cd8cf0db997e3f6724a527c916136e4c04d547c02d07cb455a3,-4332.451813225776,7853.82538461469,5123,9772,5105,0
87,17005740000,20000,6e200993f4855a4b1e88c02b66e19764051ce4ef29afa2e39391b87470e75854,-4343.067727035115,7829.7345100206485,5054,9777,5169,0
88,17005760000,20000,361e69f44def3d5b9e654611eb36223586b8fe412251c26f626b86e97584897f,-4328.170742773638,7793.555535817109,5147,9787,5066,0
89,17005780000,20000,e387081e319d7d8e6163dbbf96661d2bd8e8a861e2fb2b4b41a70de8865816b1,-4271.687933495827,7709.153132443669,5206,9648,5146,0
90,17005800000,20000,b01f6dbf67d75a79fa69f770b717bbc59d4c6fad84d3627907cb079d9ae82155,-4251.701893907442,7713.963770316536,5147,9609,5244,0
91,17005820000,20000,291b9b414fffe69881003bd1eb22efd045427f2a4e051944da40a64f6adfd830,-4279.114503156026,7780.156275934568,5120,9670,5210,0
92,17005840000,20000,2e9d222d9247a2889be0625de99f7908595d0d82156f974fbc070526f5a1f026,-4384.783407812592,7882.999747441836,5083,9831,5086,0
93,17005860000,20000,9578dc844ee7fcbdf25888c8c6f4019121025b60ecea8ac85f1f451a84f21fe2,-4312.034424852271,7711.309414721929,5134,9677,5189,0
94,17005880000,20000,d6784a4df84d88c0bc15423080eef693e8fd93eca278b9f02517b359d6876a8d,-4309.136020358874,7793.088682075648,5181,9681,5138,0
95,17005900000,20000,78684bbcb25b9cb1dc0e21847c54bd1ad771ceb43f51621c7006573de70c52e9,-4333.299673133981,7787.658237956943,5172,9677,5151,0
96,17005920000,20000,7af0211833aea5efb2aeb3e67912a72f6176b4abcd154b00fb004810bcc5c0e4,-4381.652030897995,7909.697350686375,5050,9820,5130,0
97,17005940000,20000,a2617a008fe498d1a41c72e4038ab382f8237bd4cf253d961f1177cadd9193f5,-4310.619794701105,7879.282821334096,5045,9804,5151,0
98,17005960000,20000,2f1e3a6a6bd117f04ee4dd07497dd7b56185a714db6290321baccc5b83c2e606,-4287.50723307663,7782.288813647868,5121,9709,5170,0
99,17005980000,20000,1d874e4a443a28b5c46209d83b0fcf428e7cbded4ad40014296d8ee83e4a2aa9,-4302.295835303728,7753.953736529648,5127,9718,5155,0
