n,a,b,orientation,batch,samples,endpoint_failures,site_failures,line_failures,local_mark_failures,index_mismatches
260,14,8,second,59,50000,0,0,0,0,0
260,16,2,first,60,50000,0,0,0,0,0
260,14,8,second,60,50000,0,0,0,0,0
260,16,2,first,61,50000,0,0,0,0,0
260,14,8,second,61,50000,0,0,0,0,0
260,16,2,first,62,50000,0,0,0,0,0
260,14,8,second,62,50000,0,0,0,0,0
260,16,2,first,63,50000,0,0,0,0,0
260,14,8,second,63,50000,0,0,0,0,0
260,16,2,first,64,50000,0,0,0,0,0
260,14,8,second,64,50000,0,0,0,0,0
260,16,2,first,65,50000,0,0,0,0,0
260,14,8,second,65,50000,0,0,0,0,0
260,16,2,first,66,50000,0,0,0,0,0
260,14,8,second,66,50000,0,0,0,0,0
260,16,2,first,67,50000,0,0,0,0,0
260,14,8,second,67,50000,0,0,0,0,0
260,16,2,first,68,50000,0,0,0,0,0
260,14,8,second,68,50000,0,0,0,0,0
260,16,2,first,69,50000,0,0,0,0,0
260,14,8,second,69,50000,0,0,0,0,0
260,16,2,first,70,50000,0,0,0,0,0
260,14,8,second,70,50000,0,0,0,0,0
260,16,2,first,71,50000,0,0,0,0,0
260,14,8,second,71,50000,0,0,0,0,0
260,16,2,first,72,50000,0,0,0,0,0
260,14,8,second,72,50000,0,0,0,0,0
260,16,2,first,73,50000,0,0,0,0,0
260,14,8,second,73,50000,0,0,0,0,0
260,16,2,first,74,50000,0,0,0,0,0
260,14,8,second,74,50000,0,0,0,0,0
260,16,2,first,75,50000,0,0,0,0,0
260,14,8,second,75,50000,0,0,0,0,0
260,16,2,first,76,50000,0,0,0,0,0
260,14,8,second,76,50000,0,0,0,0,0
260,16,2,first,77,50000,0,0,0,0,0
260,14,8,second,77,50000,0,0,0,0,0
260,16,2,first,78,50000,0,0,0,0,0
260,14,8,second,78,50000,0,0,0,0,0
260,16,2,first,79,50000,0,0,0,0,0
260,14,8,second,79,50000,0,0,0,0,0
260,16,2,first,80,50000,0,0,0,0,0
260,14,8,second,80,50000,0,0,0,0,0
260,16,2,first,81,50000,0,0,0,0,0
260,14,8,second,81,50000,0,0,0,0,0
260,16,2,first,82,50000,0,0,0,0,0
260,14,8,second,82,50000,0,0,0,0,0
260,16,2,first,83,50000,0,0,0,0,0
260,14,8,second,83,50000,0,0,0,0,0
260,16,2,first,84,50000,0,0,0,0,0
260,14,8,second,84,50000,0,0,0,0,0
260,16,2,first,85,50000,0,0,0,0,0
260,14,8,second,85,50000,0,0,0,0,0
260,16,2,first,86,50000,0,0,0,0,0
260,14,8,second,86,50000,0,0,0,0,0
260,16,2,first,87,50000,0,0,0,0,0
260,14,8,second,87,50000,0,0,0,0,0
260,16,2,first,88,50000,0,0,0,0,0
260,14,8,second,88,50000,0,0,0,0,0
260,16,2,first,89,50000,0,0,0,0,0
260,14,8,second,89,50000,0,0,0,0,0
260,16,2,first,90,50000,0,0,0,0,0
260,14,8,second,90,50000,0,0,0,0,0
260,16,2,first,91,50000,0,0,0,0,0
260,14,8,second,91,50000,0,0,0,0,0
260,16,2,first,92,50000,0,0,0,0,0
260,14,8,second,92,50000,0,0,0,0,0
260,16,2,first,93,50000,0,0,0,0,0
260,14,8,second,93,50000,0,0,0,0,0
260,16,2,first,94,50000,0,0,0,0,0
260,14,8,second,94,50000,0,0,0,0,0
260,16,2,first,95,50000,0,0,0,0,0
260,14,8,second,95,50000,0,0,0,0,0
260,16,2,first,96,50000,0,0,0,0,0
260,14,8,second,96,50000,0,0,0,0,0
260,16,2,first,97,50000,0,0,0,0,0
260,14,8,second,97,50000,0,0,0,0,0
260,16,2,first,98,50000,0,0,0,0,0
260,14,8,second,98,50000,0,0,0,0,0
260,16,2,first,99,50000,0,0,0,0,0
260,14,8,second,99,50000,0,0,0,0,0
