n,a,b,orientation,batch,samples,endpoint_failures,site_failures,line_failures,local_mark_failures,index_mismatches
130,9,7,first,0,50000,0,0,0,0,0
130,11,3,second,0,50000,0,0,0,0,0
130,9,7,first,1,50000,0,0,0,0,0
130,11,3,second,1,50000,0,0,0,0,0
130,9,7,first,2,50000,0,0,0,0,0
130,11,3,second,2,50000,0,0,0,0,0
130,9,7,first,3,50000,0,0,0,0,0
130,11,3,second,3,50000,0,0,0,0,0
130,9,7,first,4,50000,0,0,0,0,0
130,11,3,second,4,50000,0,0,0,0,0
130,9,7,first,5,50000,0,0,0,0,0
130,11,3,second,5,50000,0,0,0,0,0
130,9,7,first,6,50000,0,0,0,0,0
130,11,3,second,6,50000,0,0,0,0,0
130,9,7,first,7,50000,0,0,0,0,0
130,11,3,second,7,50000,0,0,0,0,0
130,9,7,first,8,50000,0,0,0,0,0
130,11,3,second,8,50000,0,0,0,0,0
130,9,7,first,9,50000,0,0,0,0,0
130,11,3,second,9,50000,0,0,0,0,0
130,9,7,first,10,50000,0,0,0,0,0
130,11,3,second,10,50000,0,0,0,0,0
130,9,7,first,11,50000,0,0,0,0,0
130,11,3,second,11,50000,0,0,0,0,0
130,9,7,first,12,50000,0,0,0,0,0
130,11,3,second,12,50000,0,0,0,0,0
130,9,7,first,13,50000,0,0,0,0,0
130,11,3,second,13,50000,0,0,0,0,0
130,9,7,first,14,50000,0,0,0,0,0
130,11,3,second,14,50000,0,0,0,0,0
130,9,7,first,15,50000,0,0,0,0,0
130,11,3,second,15,50000,0,0,0,0,0
130,9,7,first,16,50000,0,0,0,0,0
130,11,3,second,16,50000,0,0,0,0,0
130,9,7,first,17,50000,0,0,0,0,0
130,11,3,second,17,50000,0,0,0,0,0
130,9,7,first,18,50000,0,0,0,0,0
130,11,3,second,18,50000,0,0,0,0,0
130,9,7,first,19,50000,0,0,0,0,0
130,11,3,second,19,50000,0,0,0,0,0
130,9,7,first,20,50000,0,0,0,0,0
130,11,3,second,20,50000,0,0,0,0,0
130,9,7,first,21,50000,0,0,0,0,0
130,11,3,second,21,50000,0,0,0,0,0
130,9,7,first,22,50000,0,0,0,0,0
130,11,3,second,22,50000,0,0,0,0,0
130,9,7,first,23,50000,0,0,0,0,0
130,11,3,second,23,50000,0,0,0,0,0
130,9,7,first,24,50000,0,0,0,0,0
130,11,3,second,24,50000,0,0,0,0,0
130,9,7,first,25,50000,0,0,0,0,0
130,11,3,second,25,50000,0,0,0,0,0
130,9,7,first,26,50000,0,0,0,0,0
130,11,3,second,26,50000,0,0,0,0,0
130,9,7,first,27,50000,0,0,0,0,0
130,11,3,second,27,50000,0,0,0,0,0
130,9,7,first,28,50000,0,0,0,0,0
130,11,3,second,28,50000,0,0,0,0,0
130,9,7,first,29,50000,0,0,0,0,0
130,11,3,second,29,50000,0,0,0,0,0
130,9,7,first,30,50000,0,0,0,0,0
130,11,3,second,30,50000,0,0,0,0,0
130,9,7,first,31,50000,0,0,0,0,0
130,11,3,second,31,50000,0,0,0,0,0
130,9,7,first,32,50000,0,0,0,0,0
130,11,3,second,32,50000,0,0,0,0,0
130,9,7,first,33,50000,0,0,0,0,0
130,11,3,second,33,50000,0,0,0,0,0
130,9,7,first,34,50000,0,0,0,0,0
130,11,3,second,34,50000,0,0,0,0,0
130,9,7,first,35,50000,0,0,0,0,0
130,11,3,second,35,50000,0,0,0,0,0
130,9,7,first,36,50000,0,0,0,0,0
130,11,3,second,36,50000,0,0,0,0,0
130,9,7,first,37,50000,0,0,0,0,0
130,11,3,second,37,50000,0,0,0,0,0
130,9,7,first,38,50000,0,0,0,0,0
130,11,3,second,38,50000,0,0,0,0,0
130,9,7,first,39,50000,0,0,0,0,0
130,11,3,second,39,50000,0,0,0,0,0
130,9,7,first,40,50000,0,0,0,0,0
130,11,3,second,40,50000,0,0,0,0,0
130,9,7,first,41,50000,0,0,0,0,0
130,11,3,second,41,50000,0,0,0,0,0
130,9,7,first,42,50000,0,0,0,0,0
130,11,3,second,42,50000,0,0,0,0,0
130,9,7,first,43,50000,0,0,0,0,0
130,11,3,second,43,50000,0,0,0,0,0
130,9,7,first,44,50000,0,0,0,0,0
130,11,3,second,44,50000,0,0,0,0,0
130,9,7,first,45,50000,0,0,0,0,0
130,11,3,second,45,50000,0,0,0,0,0
130,9,7,first,46,50000,0,0,0,0,0
130,11,3,second,46,50000,0,0,0,0,0
130,9,7,first,47,50000,0,0,0,0,0
130,11,3,second,47,50000,0,0,0,0,0
130,9,7,first,48,50000,0,0,0,0,0
130,11,3,second,48,50000,0,0,0,0,0
130,9,7,first,49,50000,0,0,0,0,0
130,11,3,second,49,50000,0,0,0,0,0
130,9,7,first,50,50000,0,0,0,0,0
130,11,3,second,50,50000,0,0,0,0,0
130,9,7,first,51,50000,0,0,0,0,0
130,11,3,second,51,50000,0,0,0,0,0
130,9,7,first,52,50000,0,0,0,0,0
130,11,3,second,52,50000,0,0,0,0,0
130,9,7,first,53,50000,0,0,0,0,0
130,11,3,second,53,50000,0,0,0,0,0
130,9,7,first,54,50000,0,0,0,0,0
130,11,3,second,54,50000,0,0,0,0,0
130,9,7,first,55,50000,0,0,0,0,0
130,11,3,second,55,50000,0,0,0,0,0
130,9,7,first,56,50000,0,0,0,0,0
130,11,3,second,56,50000,0,0,0,0,0
130,9,7,first,57,50000,0,0,0,0,0
130,11,3,second,57,50000,0,0,0,0,0
130,9,7,first,58,50000,0,0,0,0,0
130,11,3,second,58,50000,0,0,0,0,0
130,9,7,first,59,50000,0,0,0,0,0
130,11,3,second,59,50000,0,0,0,0,0
130,9,7,first,60,50000,0,0,0,0,0
130,11,3,second,60,50000,0,0,0,0,0
130,9,7,first,61,50000,0,0,0,0,0
130,11,3,second,61,50000,0,0,0,0,0
130,9,7,first,62,50000,0,0,0,0,0
130,11,3,second,62,50000,0,0,0,0,0
130,9,7,first,63,50000,0,0,0,0,0
130,11,3,second,63,50000,0,0,0,0,0
130,9,7,first,64,50000,0,0,0,0,0
130,11,3,second,64,50000,0,0,0,0,0
130,9,7,first,65,50000,0,0,0,0,0
130,11,3,second,65,50000,0,0,0,0,0
130,9,7,first,66,50000,0,0,0,0,0
130,11,3,second,66,50000,0,0,0,0,0
130,9,7,first,67,50000,0,0,0,0,0
130,11,3,second,67,50000,0,0,0,0,0
130,9,7,first,68,50000,0,0,0,0,0
130,11,3,second,68,50000,0,0,0,0,0
130,9,7,first,69,50000,0,0,0,0,0
130,11,3,second,69,50000,0,0,0,0,0
130,9,7,first,70,50000,0,0,0,0,0
130,11,3,second,70,50000,0,0,0,0,0
130,9,7,first,71,50000,0,0,0,0,0
130,11,3,second,71,50000,0,0,0,0,0
130,9,7,first,72,50000,0,0,0,0,0
130,11,3,second,72,50000,0,0,0,0,0
130,9,7,first,73,50000,0,0,0,0,0
130,11,3,second,73,50000,0,0,0,0,0
130,9,7,first,74,50000,0,0,0,0,0
130,11,3,second,74,50000,0,0,0,0,0
130,9,7,first,75,50000,0,0,0,0,0
130,11,3,second,75,50000,0,0,0,0,0
130,9,7,first,76,50000,0,0,0,0,0
130,11,3,second,76,50000,0,0,0,0,0
130,9,7,first,77,50000,0,0,0,0,0
130,11,3,second,77,50000,0,0,0,0,0
130,9,7,first,78,50000,0,0,0,0,0
130,11,3,second,78,50000,0,0,0,0,0
130,9,7,first,79,50000,0,0,0,0,0
130,11,3,second,79,50000,0,0,0,0,0
130,9,7,first,80,50000,0,0,0,0,0
130,11,3,second,80,50000,0,0,0,0,0
130,9,7,first,81,50000,0,0,0,0,0
130,11,3,second,81,50000,0,0,0,0,0
130,9,7,first,82,50000,0,0,0,0,0
130,11,3,second,82,50000,0,0,0,0,0
130,9,7,first,83,50000,0,0,0,0,0
130,11,3,second,83,50000,0,0,0,0,0
130,9,7,first,84,50000,0,0,0,0,0
130,11,3,second,84,50000,0,0,0,0,0
130,9,7,first,85,50000,0,0,0,0,0
130,11,3,second,85,50000,0,0,0,0,0
130,9,7,first,86,50000,0,0,0,0,0
130,11,3,second,86,50000,0,0,0,0,0
130,9,7,first,87,50000,0,0,0,0,0
130,11,3,second,87,50000,0,0,0,0,0
130,9,7,first,88,50000,0,0,0,0,0
130,11,3,second,88,50000,0,0,0,0,0
130,9,7,first,89,50000,0,0,0,0,0
130,11,3,second,89,50000,0,0,0,0,0
130,9,7,first,90,50000,0,0,0,0,0
130,11,3,second,90,50000,0,0,0,0,0
130,9,7,first,91,50000,0,0,0,0,0
130,11,3,second,91,50000,0,0,0,0,0
130,9,7,first,92,50000,0,0,0,0,0
130,11,3,second,92,50000,0,0,0,0,0
130,9,7,first,93,50000,0,0,0,0,0
130,11,3,second,93,50000,0,0,0,0,0
130,9,7,first,94,50000,0,0,0,0,0
130,11,3,second,94,50000,0,0,0,0,0
130,9,7,first,95,50000,0,0,0,0,0
130,11,3,second,95,50000,0,0,0,0,0
130,9,7,first,96,50000,0,0,0,0,0
130,11,3,second,96,50000,0,0,0,0,0
130,9,7,first,97,50000,0,0,0,0,0
130,11,3,second,97,50000,0,0,0,0,0
130,9,7,first,98,50000,0,0,0,0,0
130,11,3,second,98,50000,0,0,0,0,0
130,9,7,first,99,50000,0,0,0,0,0
130,11,3,second,99,50000,0,0,0,0,0
