n,a,b,orientation,batch,samples,endpoint_failures,site_failures,line_failures,local_mark_failures,index_mismatches
65,8,1,first,0,50000,0,0,0,0,0
65,7,4,second,0,50000,0,0,0,0,0
65,8,1,first,1,50000,0,0,0,0,0
65,7,4,second,1,50000,0,0,0,0,0
65,8,1,first,2,50000,0,0,0,0,0
65,7,4,second,2,50000,0,0,0,0,0
65,8,1,first,3,50000,0,0,0,0,0
65,7,4,second,3,50000,0,0,0,0,0
65,8,1,first,4,50000,0,0,0,0,0
65,7,4,second,4,50000,0,0,0,0,0
65,8,1,first,5,50000,0,0,0,0,0
65,7,4,second,5,50000,0,0,0,0,0
65,8,1,first,6,50000,0,0,0,0,0
65,7,4,second,6,50000,0,0,0,0,0
65,8,1,first,7,50000,0,0,0,0,0
65,7,4,second,7,50000,0,0,0,0,0
65,8,1,first,8,50000,0,0,0,0,0
65,7,4,second,8,50000,0,0,0,0,0
65,8,1,first,9,50000,0,0,0,0,0
65,7,4,second,9,50000,0,0,0,0,0
65,8,1,first,10,50000,0,0,0,0,0
65,7,4,second,10,50000,0,0,0,0,0
65,8,1,first,11,50000,0,0,0,0,0
65,7,4,second,11,50000,0,0,0,0,0
65,8,1,first,12,50000,0,0,0,0,0
65,7,4,second,12,50000,0,0,0,0,0
65,8,1,first,13,50000,0,0,0,0,0
65,7,4,second,13,50000,0,0,0,0,0
65,8,1,first,14,50000,0,0,0,0,0
65,7,4,second,14,50000,0,0,0,0,0
65,8,1,first,15,50000,0,0,0,0,0
65,7,4,second,15,50000,0,0,0,0,0
65,8,1,first,16,50000,0,0,0,0,0
65,7,4,second,16,50000,0,0,0,0,0
65,8,1,first,17,50000,0,0,0,0,0
65,7,4,second,17,50000,0,0,0,0,0
65,8,1,first,18,50000,0,0,0,0,0
65,7,4,second,18,50000,0,0,0,0,0
65,8,1,first,19,50000,0,0,0,0,0
65,7,4,second,19,50000,0,0,0,0,0
65,8,1,first,20,50000,0,0,0,0,0
65,7,4,second,20,50000,0,0,0,0,0
65,8,1,first,21,50000,0,0,0,0,0
65,7,4,second,21,50000,0,0,0,0,0
65,8,1,first,22,50000,0,0,0,0,0
65,7,4,second,22,50000,0,0,0,0,0
65,8,1,first,23,50000,0,0,0,0,0
65,7,4,second,23,50000,0,0,0,0,0
65,8,1,first,24,50000,0,0,0,0,0
65,7,4,second,24,50000,0,0,0,0,0
65,8,1,first,25,50000,0,0,0,0,0
65,7,4,second,25,50000,0,0,0,0,0
65,8,1,first,26,50000,0,0,0,0,0
65,7,4,second,26,50000,0,0,0,0,0
65,8,1,first,27,50000,0,0,0,0,0
65,7,4,second,27,50000,0,0,0,0,0
65,8,1,first,28,50000,0,0,0,0,0
65,7,4,second,28,50000,0,0,0,0,0
65,8,1,first,29,50000,0,0,0,0,0
65,7,4,second,29,50000,0,0,0,0,0
65,8,1,first,30,50000,0,0,0,0,0
65,7,4,second,30,50000,0,0,0,0,0
65,8,1,first,31,50000,0,0,0,0,0
65,7,4,second,31,50000,0,0,0,0,0
65,8,1,first,32,50000,0,0,0,0,0
65,7,4,second,32,50000,0,0,0,0,0
65,8,1,first,33,50000,0,0,0,0,0
65,7,4,second,33,50000,0,0,0,0,0
65,8,1,first,34,50000,0,0,0,0,0
65,7,4,second,34,50000,0,0,0,0,0
65,8,1,first,35,50000,0,0,0,0,0
65,7,4,second,35,50000,0,0,0,0,0
65,8,1,first,36,50000,0,0,0,0,0
65,7,4,second,36,50000,0,0,0,0,0
65,8,1,first,37,50000,0,0,0,0,0
65,7,4,second,37,50000,0,0,0,0,0
65,8,1,first,38,50000,0,0,0,0,0
65,7,4,second,38,50000,0,0,0,0,0
65,8,1,first,39,50000,0,0,0,0,0
65,7,4,second,39,50000,0,0,0,0,0
65,8,1,first,40,50000,0,0,0,0,0
65,7,4,second,40,50000,0,0,0,0,0
65,8,1,first,41,50000,0,0,0,0,0
65,7,4,second,41,50000,0,0,0,0,0
65,8,1,first,42,50000,0,0,0,0,0
65,7,4,second,42,50000,0,0,0,0,0
65,8,1,first,43,50000,0,0,0,0,0
65,7,4,second,43,50000,0,0,0,0,0
65,8,1,first,44,50000,0,0,0,0,0
65,7,4,second,44,50000,0,0,0,0,0
65,8,1,first,45,50000,0,0,0,0,0
65,7,4,second,45,50000,0,0,0,0,0
65,8,1,first,46,50000,0,0,0,0,0
65,7,4,second,46,50000,0,0,0,0,0
65,8,1,first,47,50000,0,0,0,0,0
65,7,4,second,47,50000,0,0,0,0,0
65,8,1,first,48,50000,0,0,0,0,0
65,7,4,second,48,50000,0,0,0,0,0
65,8,1,first,49,50000,0,0,0,0,0
65,7,4,second,49,50000,0,0,0,0,0
65,8,1,first,50,50000,0,0,0,0,0
65,7,4,second,50,50000,0,0,0,0,0
65,8,1,first,51,50000,0,0,0,0,0
65,7,4,second,51,50000,0,0,0,0,0
65,8,1,first,52,50000,0,0,0,0,0
65,7,4,second,52,50000,0,0,0,0,0
65,8,1,first,53,50000,0,0,0,0,0
65,7,4,second,53,50000,0,0,0,0,0
65,8,1,first,54,50000,0,0,0,0,0
65,7,4,second,54,50000,0,0,0,0,0
65,8,1,first,55,50000,0,0,0,0,0
65,7,4,second,55,50000,0,0,0,0,0
65,8,1,first,56,50000,0,0,0,0,0
65,7,4,second,56,50000,0,0,0,0,0
65,8,1,first,57,50000,0,0,0,0,0
65,7,4,second,57,50000,0,0,0,0,0
