ordinal,vertex,r2,canonical_dx,canonical_dy
0,56,8,-2,-2
1,68,8,-2,2
2,87,8,2,-2
3,12,8,2,2
4,66,9,-3,0
5,63,9,0,-3
6,9,9,0,3
7,6,9,3,0
8,57,10,-3,-1
9,75,10,-3,1
10,55,10,-1,-3
11,84,10,-1,3
12,71,10,1,-3
13,13,10,1,3
14,96,10,3,-1
15,11,10,3,1
16,48,13,-3,-2
17,60,13,-3,2
18,47,13,-2,-3
19,77,13,-2,3
20,79,13,2,-3
21,18,13,2,3
22,92,13,3,-2
23,17,13,3,2
24,58,16,-4,0
25,54,16,0,-4
26,14,16,0,4
27,10,16,4,0
