ordinal,vertex,r2,canonical_dx,canonical_dy
0,95,8,-2,-2
1,56,8,-2,2
2,62,8,2,-2
3,12,8,2,2
4,28,9,-3,0
5,35,9,0,-3
6,9,9,0,3
7,6,9,3,0
8,96,10,-3,-1
9,37,10,-3,1
10,94,10,-1,-3
11,72,10,-1,3
12,43,10,1,-3
13,13,10,1,3
14,78,10,3,-1
15,11,10,3,1
16,92,13,-3,-2
17,47,13,-3,2
18,91,13,-2,-3
19,65,13,-2,3
20,52,13,2,-3
21,18,13,2,3
22,70,13,3,-2
23,17,13,3,2
24,21,16,-4,0
25,27,16,0,-4
26,14,16,0,4
27,10,16,4,0
