ordinal,vertex,r2,canonical_dx,canonical_dy
0,260,25,-5,0
1,225,25,-4,-3
2,327,25,-4,3
3,224,25,-3,-4
4,280,25,-3,4
5,255,25,0,-5
6,20,25,0,5
7,320,25,3,-4
8,32,25,3,4
9,349,25,4,-3
10,31,25,4,3
11,15,25,5,0
12,243,26,-5,-1
13,277,26,-5,1
14,239,26,-1,-5
15,328,26,-1,5
16,271,26,1,-5
17,26,26,1,5
18,378,26,5,-1
19,22,26,5,1
20,226,29,-5,-2
21,294,29,-5,2
22,223,29,-2,-5
23,313,29,-2,5
24,287,29,2,-5
25,33,29,2,5
26,370,29,5,-2
27,30,29,5,2
28,208,32,-4,-4
29,264,32,-4,4
30,335,32,4,-4
31,40,32,4,4
32,209,34,-5,-3
33,311,34,-5,3
34,207,34,-3,-5
35,297,34,-3,5
36,303,34,3,-5
37,41,34,3,5
38,360,34,5,-3
39,39,34,5,3
40,244,36,-6,0
41,238,36,0,-6
42,27,36,0,6
43,21,36,6,0
44,227,37,-6,-1
45,261,37,-6,1
46,222,37,-1,-6
47,342,37,-1,6
48,254,37,1,-6
49,34,37,1,6
50,384,37,6,-1
51,29,37,6,1
52,210,40,-6,-2
53,278,40,-6,2
54,206,40,-2,-6
55,329,40,-2,6
56,270,40,2,-6
57,42,40,2,6
58,377,40,6,-2
59,38,40,6,2
60,192,41,-5,-4
61,248,41,-5,4
62,191,41,-4,-5
63,281,41,-4,5
64,319,41,4,-5
65,50,41,4,5
66,348,41,5,-4
67,49,41,5,4
68,193,45,-6,-3
69,295,45,-6,3
70,190,45,-3,-6
71,314,45,-3,6
72,286,45,3,-6
73,51,45,3,6
74,369,45,6,-3
75,48,45,6,3
76,228,49,-7,0
77,221,49,0,-7
78,35,49,0,7
79,28,49,7,0
80,211,50,-7,-1
81,245,50,-7,1
82,175,50,-5,-5
83,265,50,-5,5
84,205,50,-1,-7
85,354,50,-1,7
86,237,50,1,-7
87,43,50,1,7
88,334,50,5,-5
89,60,50,5,5
90,389,50,7,-1
91,37,50,7,1
92,176,52,-6,-4
93,232,52,-6,4
94,174,52,-4,-6
95,298,52,-4,6
96,302,52,4,-6
97,61,52,4,6
98,359,52,6,-4
99,59,52,6,4
100,194,53,-7,-2
101,262,53,-7,2
102,189,53,-2,-7
103,343,53,-2,7
104,253,53,2,-7
105,52,53,2,7
106,383,53,7,-2
107,47,53,7,2
108,177,58,-7,-3
109,279,58,-7,3
110,173,58,-3,-7
111,330,58,-3,7
112,269,58,3,-7
113,62,58,3,7
114,376,58,7,-3
115,58,58,7,3
116,159,61,-6,-5
117,249,61,-6,5
118,158,61,-5,-6
119,282,61,-5,6
120,318,61,5,-6
121,72,61,5,6
122,347,61,6,-5
123,71,61,6,5
124,212,64,-8,0
125,204,64,0,-8
126,44,64,0,8
127,36,64,8,0
