k,replicas,sum_clusters_G,sum_clusters_Gstar,sum_wrap_H_G,sum_wrap_V_G,sum_wrap_E_G,sum_wrap_B_G,sum_wrap_H_Gstar,sum_wrap_V_Gstar,sum_wrap_E_Gstar,sum_wrap_B_Gstar,sum_clusters_G_sq,sum_clusters_Gstar_sq,sum_clusters_G_Gstar,sum_H_G_H_Gstar,sum_V_G_V_Gstar,sum_E_G_E_Gstar,sum_B_G_B_Gstar
0,15000,0,15000,0,0,0,0,15000,15000,15000,15000,0,15000,0,0,0,0,0
1,15000,15000,15000,0,0,0,0,15000,15000,15000,15000,15000,15000,15000,0,0,0,0
2,15000,29989,15000,0,0,0,0,15000,15000,15000,15000,59967,15000,29989,0,0,0,0
3,15000,44963,15000,0,0,0,0,15000,15000,15000,15000,134815,15000,44963,0,0,0,0
4,15000,59918,15000,0,0,0,0,15000,15000,15000,15000,239426,15000,59918,0,0,0,0
5,15000,74852,15000,0,0,0,0,15000,15000,15000,15000,373668,15000,74852,0,0,0,0
6,15000,89796,15000,0,0,0,0,15000,15000,15000,15000,537756,15000,89796,0,0,0,0
7,15000,104706,15000,0,0,0,0,15000,15000,15000,15000,731184,15000,104706,0,0,0,0
8,15000,119625,15000,0,0,0,0,15000,15000,15000,15000,954383,15000,119625,0,0,0,0
9,15000,134489,15000,0,0,0,0,15000,15000,15000,15000,1206327,15000,134489,0,0,0,0
10,15000,149365,15000,0,0,0,0,15000,15000,15000,15000,1487955,15000,149365,0,0,0,0
11,15000,164219,15000,0,0,0,0,15000,15000,15000,15000,1798639,15000,164219,0,0,0,0
12,15000,179050,15000,0,0,0,0,15000,15000,15000,15000,2138212,15000,179050,0,0,0,0
13,15000,193895,15000,0,0,0,0,15000,15000,15000,15000,2507455,15000,193895,0,0,0,0
14,15000,208691,15000,0,0,0,0,15000,15000,15000,15000,2904775,15000,208691,0,0,0,0
15,15000,223495,15000,0,0,0,0,15000,15000,15000,15000,3331503,15000,223495,0,0,0,0
16,15000,238287,15000,0,0,0,0,15000,15000,15000,15000,3787079,15000,238287,0,0,0,0
17,15000,253064,15000,0,0,0,0,15000,15000,15000,15000,4271330,15000,253064,0,0,0,0
18,15000,267828,15000,0,0,0,0,15000,15000,15000,15000,4784274,15000,267828,0,0,0,0
19,15000,282540,15000,0,0,0,0,15000,15000,15000,15000,5324354,15000,282540,0,0,0,0
20,15000,297271,15000,0,0,0,0,15000,15000,15000,15000,5894029,15000,297271,0,0,0,0
21,15000,311980,15000,0,0,0,0,15000,15000,15000,15000,6491752,15000,311980,0,0,0,0
22,15000,326690,15000,0,0,0,0,15000,15000,15000,15000,7118376,15000,326690,0,0,0,0
23,15000,341382,15000,0,0,0,0,15000,15000,15000,15000,7773028,15000,341382,0,0,0,0
24,15000,356067,15000,0,0,0,0,15000,15000,15000,15000,8456131,15000,356067,0,0,0,0
25,15000,370702,15000,0,0,0,0,15000,15000,15000,15000,9165544,15000,370702,0,0,0,0
26,15000,385345,15000,0,0,0,0,15000,15000,15000,15000,9903941,15000,385345,0,0,0,0
27,15000,399974,15000,0,0,0,0,15000,15000,15000,15000,10670214,15000,399974,0,0,0,0
28,15000,414572,15000,0,0,0,0,15000,15000,15000,15000,11463280,15000,414572,0,0,0,0
29,15000,429132,15000,0,0,0,0,15000,15000,15000,15000,12282658,15000,429132,0,0,0,0
30,15000,443697,15000,0,0,0,0,15000,15000,15000,15000,13130567,15000,443697,0,0,0,0
31,15000,458250,15000,0,0,0,0,15000,15000,15000,15000,14006110,15000,458250,0,0,0,0
32,15000,472776,15000,0,0,0,0,15000,15000,15000,15000,14908158,15000,472776,0,0,0,0
33,15000,487296,15000,0,0,0,0,15000,15000,15000,15000,15837942,15000,487296,0,0,0,0
