k,replicas,sum_clusters_G,sum_clusters_Gstar,sum_wrap_H_G,sum_wrap_V_G,sum_wrap_E_G,sum_wrap_B_G,sum_wrap_H_Gstar,sum_wrap_V_Gstar,sum_wrap_E_Gstar,sum_wrap_B_Gstar,sum_clusters_G_sq,sum_clusters_Gstar_sq,sum_clusters_G_Gstar,sum_H_G_H_Gstar,sum_V_G_V_Gstar,sum_E_G_E_Gstar,sum_B_G_B_Gstar
53,2000,95109,2000,0,0,0,0,2000,2000,2000,2000,4532777,2000,95109,0,0,0,0
54,2000,96691,2000,0,0,0,0,2000,2000,2000,2000,4684839,2000,96691,0,0,0,0
55,2000,98270,2000,0,0,0,0,2000,2000,2000,2000,4839148,2000,98270,0,0,0,0
56,2000,99862,2000,0,0,0,0,2000,2000,2000,2000,4997158,2000,99862,0,0,0,0
57,2000,101481,2000,0,0,0,0,2000,2000,2000,2000,5160411,2000,101481,0,0,0,0
58,2000,103074,2000,0,0,0,0,2000,2000,2000,2000,5323610,2000,103074,0,0,0,0
59,2000,104630,2000,0,0,0,0,2000,2000,2000,2000,5485588,2000,104630,0,0,0,0
60,2000,106151,2000,0,0,0,0,2000,2000,2000,2000,5646313,2000,106151,0,0,0,0
61,2000,107678,2000,0,0,0,0,2000,2000,2000,2000,5810030,2000,107678,0,0,0,0
62,2000,109214,2000,0,0,0,0,2000,2000,2000,2000,5976966,2000,109214,0,0,0,0
63,2000,110716,2000,0,0,0,0,2000,2000,2000,2000,6142404,2000,110716,0,0,0,0
64,2000,112242,2000,0,0,0,0,2000,2000,2000,2000,6313000,2000,112242,0,0,0,0
65,2000,113739,2000,0,0,0,0,2000,2000,2000,2000,6482491,2000,113739,0,0,0,0
66,2000,115223,2000,0,0,0,0,2000,2000,2000,2000,6652859,2000,115223,0,0,0,0
67,2000,116695,2000,0,0,0,0,2000,2000,2000,2000,6823791,2000,116695,0,0,0,0
68,2000,118200,2000,0,0,0,0,2000,2000,2000,2000,7000840,2000,118200,0,0,0,0
69,2000,119677,2000,0,0,0,0,2000,2000,2000,2000,7176875,2000,119677,0,0,0,0
70,2000,121132,2000,0,0,0,0,2000,2000,2000,2000,7352706,2000,121132,0,0,0,0
71,2000,122570,2000,0,0,0,0,2000,2000,2000,2000,7528348,2000,122570,0,0,0,0
72,2000,124021,2000,0,0,0,0,2000,2000,2000,2000,7707697,2000,124021,0,0,0,0
73,2000,125489,2000,0,0,0,0,2000,2000,2000,2000,7890973,2000,125489,0,0,0,0
74,2000,126885,2000,0,0,0,0,2000,2000,2000,2000,8067737,2000,126885,0,0,0,0
75,2000,128335,2000,0,0,0,0,2000,2000,2000,2000,8253227,2000,128335,0,0,0,0
76,2000,129758,2000,0,0,0,0,2000,2000,2000,2000,8437496,2000,129758,0,0,0,0
77,2000,131172,2000,0,0,0,0,2000,2000,2000,2000,8622534,2000,131172,0,0,0,0
78,2000,132608,2000,0,0,0,0,2000,2000,2000,2000,8812392,2000,132608,0,0,0,0
79,2000,134008,2000,0,0,0,0,2000,2000,2000,2000,8999450,2000,134008,0,0,0,0
80,2000,135394,2000,0,0,0,0,2000,2000,2000,2000,9186382,2000,135394,0,0,0,0
81,2000,136724,2000,0,0,0,0,2000,2000,2000,2000,9367576,2000,136724,0,0,0,0
82,2000,138116,2000,0,0,0,0,2000,2000,2000,2000,9559154,2000,138116,0,0,0,0
83,2000,139452,2000,0,0,0,0,2000,2000,2000,2000,9744884,2000,139452,0,0,0,0
84,2000,140789,2000,0,0,0,0,2000,2000,2000,2000,9932713,2000,140789,0,0,0,0
85,2000,142166,2000,0,0,0,0,2000,2000,2000,2000,10128082,2000,142166,0,0,0,0
86,2000,143550,2000,0,0,0,0,2000,2000,2000,2000,10326400,2000,143550,0,0,0,0
87,2000,144869,2000,0,0,0,0,2000,2000,2000,2000,10517481,2000,144869,0,0,0,0
88,2000,146183,2000,0,0,0,0,2000,2000,2000,2000,10709099,2000,146183,0,0,0,0
89,2000,147503,2000,0,0,0,0,2000,2000,2000,2000,10903383,2000,147503,0,0,0,0
90,2000,148847,2000,0,0,0,0,2000,2000,2000,2000,11102719,2000,148847,0,0,0,0
91,2000,150171,2000,0,0,0,0,2000,2000,2000,2000,11300991,2000,150171,0,0,0,0
92,2000,151462,2000,0,0,0,0,2000,2000,2000,2000,11496038,2000,151462,0,0,0,0
93,2000,152766,2000,0,0,0,0,2000,2000,2000,2000,11695018,2000,152766,0,0,0,0
94,2000,154050,2000,0,0,0,0,2000,2000,2000,2000,11892356,2000,154050,0,0,0,0
95,2000,155327,2000,0,0,0,0,2000,2000,2000,2000,12090409,2000,155327,0,0,0,0
96,2000,156594,2000,0,0,0,0,2000,2000,2000,2000,12288374,2000,156594,0,0,0,0
97,2000,157834,2000,0,0,0,0,2000,2000,2000,2000,12483836,2000,157834,0,0,0,0
98,2000,159117,2000,0,0,0,0,2000,2000,2000,2000,12687489,2000,159117,0,0,0,0
99,2000,160379,2000,0,0,0,0,2000,2000,2000,2000,12889483,2000,160379,0,0,0,0
100,2000,161611,2000,0,0,0,0,2000,2000,2000,2000,13088273,2000,161611,0,0,0,0
101,2000,162854,2000,0,0,0,0,2000,2000,2000,2000,13290302,2000,162854,0,0,0,0
102,2000,164118,2000,0,0,0,0,2000,2000,2000,2000,13497056,2000,164118,0,0,0,0
103,2000,165372,2000,0,0,0,0,2000,2000,2000,2000,13704334,2000,165372,0,0,0,0
104,2000,166551,2000,0,0,0,0,2000,2000,2000,2000,13900485,2000,166551,0,0,0,0
105,2000,167752,2000,0,0,0,0,2000,2000,2000,2000,14101792,2000,167752,0,0,0,0
106,2000,168953,2000,0,0,0,0,2000,2000,2000,2000,14304813,2000,168953,0,0,0,0
107,2000,170110,2000,0,0,0,0,2000,2000,2000,2000,14501698,2000,170110,0,0,0,0
108,2000,171239,2000,0,0,0,0,2000,2000,2000,2000,14695313,2000,171239,0,0,0,0
109,2000,172392,2000,0,0,0,0,2000,2000,2000,2000,14893866,2000,172392,0,0,0,0
110,2000,173535,2000,0,0,0,0,2000,2000,2000,2000,15092081,2000,173535,0,0,0,0
111,2000,174732,2000,0,0,0,0,2000,2000,2000,2000,15301000,2000,174732,0,0,0,0
112,2000,175810,2000,0,0,0,0,2000,2000,2000,2000,15490978,2000,175810,0,0,0,0
113,2000,176982,2000,0,0,0,0,2000,2000,2000,2000,15698290,2000,176982,0,0,0,0
114,2000,178112,2000,0,0,0,0,2000,2000,2000,2000,15899478,2000,178112,0,0,0,0
115,2000,179220,2000,0,0,0,0,2000,2000,2000,2000,16097566,2000,179220,0,0,0,0
116,2000,180280,2000,0,0,0,0,2000,2000,2000,2000,16289166,2000,180280,0,0,0,0
117,2000,181362,2000,0,0,0,0,2000,2000,2000,2000,16485982,2000,181362,0,0,0,0
118,2000,182522,2000,0,0,0,0,2000,2000,2000,2000,16697440,2000,182522,0,0,0,0
119,2000,183687,2000,0,0,0,0,2000,2000,2000,2000,16911619,2000,183687,0,0,0,0
120,2000,184769,2000,0,0,0,0,2000,2000,2000,2000,17112023,2000,184769,0,0,0,0
121,2000,185821,2000,0,0,0,0,2000,2000,2000,2000,17307449,2000,185821,0,0,0,0
122,2000,186911,2000,0,0,0,0,2000,2000,2000,2000,17511101,2000,186911,0,0,0,0
123,2000,187950,2000,0,0,0,0,2000,2000,2000,2000,17706560,2000,187950,0,0,0,0
124,2000,188965,2000,0,0,0,0,2000,2000,2000,2000,17898495,2000,188965,0,0,0,0
125,2000,190019,2000,0,0,0,0,2000,2000,2000,2000,18098415,2000,190019,0,0,0,0
126,2000,191098,2000,0,0,0,0,2000,2000,2000,2000,18304982,2000,191098,0,0,0,0
127,2000,192137,2000,0,0,0,0,2000,2000,2000,2000,18504843,2000,192137,0,0,0,0
128,2000,193155,2000,0,0,0,0,2000,2000,2000,2000,18701133,2000,193155,0,0,0,0
129,2000,194187,2000,0,0,0,0,2000,2000,2000,2000,18901127,2000,194187,0,0,0,0
130,2000,195221,2000,0,0,0,0,2000,2000,2000,2000,19103229,2000,195221,0,0,0,0
131,2000,196238,2000,0,0,0,0,2000,2000,2000,2000,19302950,2000,196238,0,0,0,0
132,2000,197221,2000,0,0,0,0,2000,2000,2000,2000,19496735,2000,197221,0,0,0,0
133,2000,198224,2000,0,0,0,0,2000,2000,2000,2000,19695360,2000,198224,0,0,0,0
134,2000,199200,2000,0,0,0,0,2000,2000,2000,2000,19890166,2000,199200,0,0,0,0
135,2000,200179,2000,0,0,0,0,2000,2000,2000,2000,20086449,2000,200179,0,0,0,0
136,2000,201194,2000,0,0,0,0,2000,2000,2000,2000,20290788,2000,201194,0,0,0,0
137,2000,202157,2000,0,0,0,0,2000,2000,2000,2000,20485291,2000,202157,0,0,0,0
138,2000,203062,2000,0,0,0,0,2000,2000,2000,2000,20669562,2000,203062,0,0,0,0
