k,replicas,sum_clusters_G,sum_clusters_Gstar,sum_wrap_H_G,sum_wrap_V_G,sum_wrap_E_G,sum_wrap_B_G,sum_wrap_H_Gstar,sum_wrap_V_Gstar,sum_wrap_E_Gstar,sum_wrap_B_Gstar,sum_clusters_G_sq,sum_clusters_Gstar_sq,sum_clusters_G_Gstar,sum_H_G_H_Gstar,sum_V_G_V_Gstar,sum_E_G_E_Gstar,sum_B_G_B_Gstar
0,60000,0,60000,0,0,0,0,60000,60000,60000,60000,0,60000,0,0,0,0,0
1,60000,60000,60000,0,0,0,0,60000,60000,60000,60000,60000,60000,60000,0,0,0,0
2,60000,119542,60000,0,0,0,0,60000,60000,60000,60000,238626,60000,119542,0,0,0,0
3,60000,178711,60000,0,0,0,0,60000,60000,60000,60000,533563,60000,178711,0,0,0,0
4,60000,237478,60000,0,0,0,0,60000,60000,60000,60000,942404,60000,237478,0,0,0,0
5,60000,295786,60000,0,0,0,0,60000,60000,60000,60000,1462278,60000,295786,0,0,0,0
6,60000,353712,60000,0,0,0,0,60000,60000,60000,60000,2091388,60000,353712,0,0,0,0
7,60000,411224,60000,0,0,0,0,60000,60000,60000,60000,2827052,60000,411224,0,0,0,0
8,60000,468281,60000,0,0,0,0,60000,60000,60000,60000,3666311,60000,468281,0,0,0,0
9,60000,524875,60000,0,0,0,0,60000,60000,60000,60000,4606237,60000,524875,0,0,0,0
10,60000,581015,60000,0,0,0,0,60000,60000,60000,60000,5644775,60000,581015,0,0,0,0
11,60000,636805,60000,0,0,0,0,60000,60000,60000,60000,6781225,60000,636805,0,0,0,0
12,60000,692161,60000,0,0,0,0,60000,60000,60000,60000,8011497,60000,692161,0,0,0,0
13,60000,747178,60000,0,0,0,0,60000,60000,60000,60000,9336026,60000,747178,0,0,0,0
14,60000,801720,60000,0,0,0,0,60000,60000,60000,60000,10749272,60000,801720,0,0,0,0
15,60000,855894,60000,0,0,0,0,60000,60000,60000,60000,12251266,60000,855894,0,0,0,0
16,60000,909690,60000,0,0,0,0,60000,60000,60000,60000,13840108,60000,909690,0,0,0,0
17,60000,962874,60000,0,0,0,0,60000,60000,60000,60000,15506052,60000,962874,0,0,0,0
18,60000,1015747,60000,0,0,0,0,60000,60000,60000,60000,17256139,60000,1015747,0,0,0,0
19,60000,1068244,60000,0,0,0,0,60000,60000,60000,60000,19086038,60000,1068244,0,0,0,0
20,60000,1120330,60000,0,0,0,0,60000,60000,60000,60000,20993062,60000,1120330,0,0,0,0
21,60000,1172012,60000,0,0,0,0,60000,60000,60000,60000,22974972,60000,1172012,0,0,0,0
22,60000,1223148,60000,0,0,0,0,60000,60000,60000,60000,25024194,60000,1223148,0,0,0,0
23,60000,1274057,60000,0,0,0,0,60000,60000,60000,60000,27151169,60000,1274057,0,0,0,0
24,60000,1324490,60000,0,0,0,0,60000,60000,60000,60000,29343394,60000,1324490,0,0,0,0
25,60000,1374625,60000,0,0,0,0,60000,60000,60000,60000,31607399,60000,1374625,0,0,0,0
26,60000,1424255,60000,0,0,0,0,60000,60000,60000,60000,33931061,60000,1424255,0,0,0,0
27,60000,1473372,60000,0,0,0,0,60000,60000,60000,60000,36312072,60000,1473372,0,0,0,0
28,60000,1522296,60000,0,0,0,0,60000,60000,60000,60000,38764300,60000,1522296,0,0,0,0
29,60000,1570485,60000,0,0,0,0,60000,60000,60000,60000,41258503,60000,1570485,0,0,0,0
30,60000,1618174,60000,0,0,0,0,60000,60000,60000,60000,43803874,60000,1618174,0,0,0,0
31,60000,1665713,60000,0,0,0,0,60000,60000,60000,60000,46415633,60000,1665713,0,0,0,0
