L,observable,mode,pooled_root,batch_sd,batch_se,replicas,runtime,status
16,H,shared,0.592698855007885994,0.000433331684624943287,0.0000968959103625873565,100000,0.932977297,ok
16,M,shared,0.593381446231328269,0.00186382806498010972,0.000416764625166742020,100000,0.932977297,ok
16,V,shared,0.592698855007885994,0.000433331684624943287,0.0000968959103625873565,100000,0.932977297,ok
16,both,shared,0.592698855007885994,0.000433331684624957923,0.0000968959103625906363,100000,0.932977297,ok
16,either,shared,0.592698855007885994,0.000433331684624963073,0.0000968959103625917882,100000,0.932977297,ok
24,H,shared,0.592902913596145220,0.000483016437642430554,0.000108005758881826296,60000,1.201173714,ok
24,M,shared,0.592592218308608309,0.00404449065766765859,0.000904375604490771472,60000,1.201173714,ok
24,V,shared,0.592902913596145220,0.000483016437642422856,0.000108005758881824575,60000,1.201173714,ok
24,both,shared,0.592902913596145220,0.000483016437642433481,0.000108005758881826947,60000,1.201173714,ok
24,either,shared,0.592902913596145220,0.000483016437642414562,0.000108005758881822718,60000,1.201173714,ok
32,H,independent,0.592633117098793072,0.000558437095879024833,0.000124870330754306717,40000,1.364833723,ok
32,M,independent,0.592949400463866794,0.00549163250952990935,0.00122796635987566381,40000,1.364833723,ok
32,V,independent,0.592824515424923648,0.000447503007680810281,0.000100064714530990226,40000,1.364833723,ok
32,both,independent,0.592746672200498814,0.000558411980515351723,0.000124864714788261433,40000,1.364833723,ok
32,either,independent,0.592710915303799935,0.000377345390395823429,0.0000843769943921257365,40000,1.364833723,ok
32,H,shared,0.592684645356142514,0.000615079537685620566,0.000137535965783419130,40000,1.300618967,ok
32,M,shared,0.592779672002587965,0.00649639975734365212,0.00149037631784753309,40000,1.300618967,ok
32,V,shared,0.592684645356142514,0.000615079537685626204,0.000137535965783420377,40000,1.300618967,ok
32,both,shared,0.592684645356142514,0.000615079537685631408,0.000137535965783421542,40000,1.300618967,ok
32,either,shared,0.592684645356142514,0.000615079537685627722,0.000137535965783420729,40000,1.300618967,ok
48,H,shared,0.592727716312626995,0.000729774391401408445,0.000163182514741208720,20000,1.482881705,ok
48,M,shared,0.594947955790737559,0.00619742605159961848,0.00150309660104116670,20000,1.482881705,ok
48,V,shared,0.592727716312626995,0.000729774391401408228,0.000163182514741208666,20000,1.482881705,ok
48,both,shared,0.592727716312626995,0.000729774391401414734,0.000163182514741210129,20000,1.482881705,ok
48,either,shared,0.592727716312626995,0.000729774391401390664,0.000163182514741204735,20000,1.482881705,ok
64,H,independent,0.592849663649756886,0.000435262542561525717,0.0000973276633226966952,15000,2.287672695,ok
64,M,independent,0.591604341942630008,0.00671004768298332638,0.00153939051349808224,15000,2.287672695,ok
64,V,independent,0.592742067871794065,0.000461691219622858441,0.000103237295169149621,15000,2.287672695,ok
64,both,independent,0.592825626740939748,0.000436631108214223214,0.0000976336839058069916,15000,2.287672695,ok
64,either,independent,0.592766658341151054,0.000349194925158893496,0.0000780823590053237351,15000,2.287672695,ok
64,H,shared,0.592725646126560646,0.000446607424966477280,0.0000998644561481179939,15000,2.104188385,ok
64,M,shared,0.594670760838317936,0.00633264880872097622,0.00149261963850650476,15000,2.104188385,ok
64,V,shared,0.592725646126560646,0.000446607424966458414,0.0000998644561481137655,15000,2.104188385,ok
64,both,shared,0.592725646126560646,0.000446607424966474244,0.0000998644561481173163,15000,2.104188385,ok
64,either,shared,0.592725646126560646,0.000446607424966467739,0.0000998644561481158526,15000,2.104188385,ok
96,H,shared,0.592872924315839933,0.000705198361296050782,0.000157687147347942627,6000,2.068734097,ok
96,M,shared,0.591867838280574210,0.00730448601744539995,0.00220238540056943641,6000,2.068734097,ok
96,V,shared,0.592872924315839933,0.000705198361296052192,0.000157687147347942926,6000,2.068734097,ok
96,both,shared,0.592872924315839933,0.000705198361296051758,0.000157687147347942844,6000,2.068734097,ok
96,either,shared,0.592872924315839933,0.000705198361296059781,0.000157687147347944633,6000,2.068734097,ok
128,H,independent,0.592650778185861205,0.000837934032588291038,0.000187367745752794259,4000,2.704291912,ok
128,M,independent,0.592144416348833413,0.00951615504297585214,0.00336446888085539320,4000,2.704291912,ok
128,V,independent,0.592815894140544586,0.000536873355027907024,0.000120048531715077851,4000,2.704291912,ok
128,both,independent,0.592769088196906768,0.000582273794265104221,0.000130200378549350009,4000,2.704291912,ok
128,either,independent,0.592698187266500920,0.000641217105269309244,0.000143380503571781387,4000,2.704291912,ok
128,H,shared,0.592692551895070086,0.000704212957171680850,0.000157466804287202634,4000,2.62653562,ok
128,M,shared,0.586579496171288572,0.00610497735649816013,0.00273022887404537071,4000,2.62653562,outside_requested_interval
128,V,shared,0.592692551895070086,0.000704212957171701124,0.000157466804287207160,4000,2.62653562,ok
128,both,shared,0.592692551895070086,0.000704212957171701124,0.000157466804287207160,4000,2.62653562,ok
128,either,shared,0.592692551895070086,0.000704212957171653419,0.000157466804287196508,4000,2.62653562,ok
192,H,shared,0.592760921825630005,0.000910234587024058594,0.000203534641205724293,1600,2.963035661,ok
192,M,shared,0.597574924071262892,0.00955277377038051337,0.00337741555608852195,1600,2.963035661,outside_requested_interval
192,V,shared,0.592760921825630005,0.000910234587024075724,0.000203534641205728114,1600,2.963035661,ok
192,both,shared,0.592760921825630005,0.000910234587024075724,0.000203534641205728114,1600,2.963035661,ok
192,either,shared,0.592760921825630005,0.000910234587024078327,0.000203534641205728711,1600,2.963035661,ok
256,H,independent,0.592801130743031646,0.000822170538932418221,0.000183842921415052445,1000,4.289561983,ok
256,M,independent,0.589363465204302495,0.00928632699143108233,0.00328321239397829420,1000,4.289561983,outside_requested_interval
256,V,independent,0.592725114517967500,0.000692392511534370967,0.000154823672290266051,1000,4.289561983,ok
256,both,independent,0.592651561041179109,0.000777981548291696297,0.000173961962722076819,1000,4.289561983,ok
256,either,independent,0.592873235774904916,0.000793039399021862367,0.000177329000504846432,1000,4.289561983,ok
256,H,shared,0.592777028564663633,0.000897527996526967351,0.000200693361194349411,1000,4.404653703,ok
256,M,shared,0.588875266755668703,0.00995121304857325174,0.00376120499570653435,1000,4.404653703,outside_requested_interval
256,V,shared,0.592777028564663633,0.000897527996526951847,0.000200693361194345942,1000,4.404653703,ok
256,both,shared,0.592777028564663633,0.000897527996526964206,0.000200693361194348706,1000,4.404653703,ok
256,either,shared,0.592777028564663633,0.000897527996526959544,0.000200693361194347649,1000,4.404653703,ok
