k,replicas,sum_clusters_G,sum_clusters_Gstar,sum_wrap_H_G,sum_wrap_V_G,sum_wrap_E_G,sum_wrap_B_G,sum_wrap_H_Gstar,sum_wrap_V_Gstar,sum_wrap_E_Gstar,sum_wrap_B_Gstar,sum_clusters_G_sq,sum_clusters_Gstar_sq,sum_clusters_G_Gstar,sum_H_G_H_Gstar,sum_V_G_V_Gstar,sum_E_G_E_Gstar,sum_B_G_B_Gstar
0,1600,0,1600,0,0,0,0,1600,1600,1600,1600,0,1600,0,0,0,0,0
1,1600,1600,1600,0,0,0,0,1600,1600,1600,1600,1600,1600,1600,0,0,0,0
2,1600,3200,1600,0,0,0,0,1600,1600,1600,1600,6400,1600,3200,0,0,0,0
3,1600,4800,1600,0,0,0,0,1600,1600,1600,1600,14400,1600,4800,0,0,0,0
4,1600,6398,1600,0,0,0,0,1600,1600,1600,1600,25586,1600,6398,0,0,0,0
5,1600,7996,1600,0,0,0,0,1600,1600,1600,1600,39964,1600,7996,0,0,0,0
6,1600,9594,1600,0,0,0,0,1600,1600,1600,1600,57534,1600,9594,0,0,0,0
7,1600,11194,1600,0,0,0,0,1600,1600,1600,1600,78322,1600,11194,0,0,0,0
8,1600,12793,1600,0,0,0,0,1600,1600,1600,1600,102295,1600,12793,0,0,0,0
9,1600,14393,1600,0,0,0,0,1600,1600,1600,1600,129481,1600,14393,0,0,0,0
10,1600,15992,1600,0,0,0,0,1600,1600,1600,1600,159848,1600,15992,0,0,0,0
11,1600,17591,1600,0,0,0,0,1600,1600,1600,1600,193411,1600,17591,0,0,0,0
12,1600,19189,1600,0,0,0,0,1600,1600,1600,1600,230147,1600,19189,0,0,0,0
13,1600,20786,1600,0,0,0,0,1600,1600,1600,1600,270050,1600,20786,0,0,0,0
14,1600,22383,1600,0,0,0,0,1600,1600,1600,1600,313141,1600,22383,0,0,0,0
15,1600,23980,1600,0,0,0,0,1600,1600,1600,1600,359422,1600,23980,0,0,0,0
16,1600,25577,1600,0,0,0,0,1600,1600,1600,1600,408889,1600,25577,0,0,0,0
17,1600,27174,1600,0,0,0,0,1600,1600,1600,1600,461544,1600,27174,0,0,0,0
18,1600,28772,1600,0,0,0,0,1600,1600,1600,1600,517422,1600,28772,0,0,0,0
19,1600,30369,1600,0,0,0,0,1600,1600,1600,1600,576455,1600,30369,0,0,0,0
20,1600,31966,1600,0,0,0,0,1600,1600,1600,1600,638676,1600,31966,0,0,0,0
21,1600,33562,1600,0,0,0,0,1600,1600,1600,1600,704044,1600,33562,0,0,0,0
22,1600,35161,1600,0,0,0,0,1600,1600,1600,1600,772725,1600,35161,0,0,0,0
23,1600,36758,1600,0,0,0,0,1600,1600,1600,1600,844512,1600,36758,0,0,0,0
24,1600,38356,1600,0,0,0,0,1600,1600,1600,1600,919534,1600,38356,0,0,0,0
25,1600,39952,1600,0,0,0,0,1600,1600,1600,1600,997650,1600,39952,0,0,0,0
26,1600,41547,1600,0,0,0,0,1600,1600,1600,1600,1078899,1600,41547,0,0,0,0
27,1600,43141,1600,0,0,0,0,1600,1600,1600,1600,1163275,1600,43141,0,0,0,0
28,1600,44739,1600,0,0,0,0,1600,1600,1600,1600,1251047,1600,44739,0,0,0,0
29,1600,46336,1600,0,0,0,0,1600,1600,1600,1600,1341954,1600,46336,0,0,0,0
30,1600,47932,1600,0,0,0,0,1600,1600,1600,1600,1435992,1600,47932,0,0,0,0
31,1600,49521,1600,0,0,0,0,1600,1600,1600,1600,1532785,1600,49521,0,0,0,0
32,1600,51120,1600,0,0,0,0,1600,1600,1600,1600,1633364,1600,51120,0,0,0,0
33,1600,52719,1600,0,0,0,0,1600,1600,1600,1600,1737139,1600,52719,0,0,0,0
34,1600,54314,1600,0,0,0,0,1600,1600,1600,1600,1843842,1600,54314,0,0,0,0
35,1600,55907,1600,0,0,0,0,1600,1600,1600,1600,1953589,1600,55907,0,0,0,0
36,1600,57504,1600,0,0,0,0,1600,1600,1600,1600,2066790,1600,57504,0,0,0,0
37,1600,59093,1600,0,0,0,0,1600,1600,1600,1600,2182597,1600,59093,0,0,0,0
38,1600,60689,1600,0,0,0,0,1600,1600,1600,1600,2302083,1600,60689,0,0,0,0
39,1600,62284,1600,0,0,0,0,1600,1600,1600,1600,2424676,1600,62284,0,0,0,0
40,1600,63876,1600,0,0,0,0,1600,1600,1600,1600,2550212,1600,63876,0,0,0,0
41,1600,65460,1600,0,0,0,0,1600,1600,1600,1600,2678272,1600,65460,0,0,0,0
42,1600,67052,1600,0,0,0,0,1600,1600,1600,1600,2810128,1600,67052,0,0,0,0
43,1600,68645,1600,0,0,0,0,1600,1600,1600,1600,2945237,1600,68645,0,0,0,0
44,1600,70238,1600,0,0,0,0,1600,1600,1600,1600,3083518,1600,70238,0,0,0,0
45,1600,71825,1600,0,0,0,0,1600,1600,1600,1600,3224439,1600,71825,0,0,0,0
46,1600,73418,1600,0,0,0,0,1600,1600,1600,1600,3369052,1600,73418,0,0,0,0
47,1600,75008,1600,0,0,0,0,1600,1600,1600,1600,3516560,1600,75008,0,0,0,0
48,1600,76599,1600,0,0,0,0,1600,1600,1600,1600,3667327,1600,76599,0,0,0,0
49,1600,78186,1600,0,0,0,0,1600,1600,1600,1600,3820870,1600,78186,0,0,0,0
50,1600,79779,1600,0,0,0,0,1600,1600,1600,1600,3978153,1600,79779,0,0,0,0
51,1600,81367,1600,0,0,0,0,1600,1600,1600,1600,4138109,1600,81367,0,0,0,0
52,1600,82954,1600,0,0,0,0,1600,1600,1600,1600,4301108,1600,82954,0,0,0,0
53,1600,84542,1600,0,0,0,0,1600,1600,1600,1600,4467362,1600,84542,0,0,0,0
54,1600,86131,1600,0,0,0,0,1600,1600,1600,1600,4636871,1600,86131,0,0,0,0
55,1600,87722,1600,0,0,0,0,1600,1600,1600,1600,4809752,1600,87722,0,0,0,0
56,1600,89317,1600,0,0,0,0,1600,1600,1600,1600,4986243,1600,89317,0,0,0,0
57,1600,90911,1600,0,0,0,0,1600,1600,1600,1600,5165803,1600,90911,0,0,0,0
58,1600,92500,1600,0,0,0,0,1600,1600,1600,1600,5347964,1600,92500,0,0,0,0
59,1600,94086,1600,0,0,0,0,1600,1600,1600,1600,5532928,1600,94086,0,0,0,0
60,1600,95679,1600,0,0,0,0,1600,1600,1600,1600,5721869,1600,95679,0,0,0,0
61,1600,97270,1600,0,0,0,0,1600,1600,1600,1600,5913742,1600,97270,0,0,0,0
62,1600,98858,1600,0,0,0,0,1600,1600,1600,1600,6108410,1600,98858,0,0,0,0
63,1600,100445,1600,0,0,0,0,1600,1600,1600,1600,6306107,1600,100445,0,0,0,0
64,1600,102032,1600,0,0,0,0,1600,1600,1600,1600,6506952,1600,102032,0,0,0,0
65,1600,103617,1600,0,0,0,0,1600,1600,1600,1600,6710681,1600,103617,0,0,0,0
66,1600,105204,1600,0,0,0,0,1600,1600,1600,1600,6917818,1600,105204,0,0,0,0
67,1600,106785,1600,0,0,0,0,1600,1600,1600,1600,7127307,1600,106785,0,0,0,0
68,1600,108372,1600,0,0,0,0,1600,1600,1600,1600,7340724,1600,108372,0,0,0,0
69,1600,109962,1600,0,0,0,0,1600,1600,1600,1600,7557708,1600,109962,0,0,0,0
70,1600,111552,1600,0,0,0,0,1600,1600,1600,1600,7777848,1600,111552,0,0,0,0
71,1600,113145,1600,0,0,0,0,1600,1600,1600,1600,8001573,1600,113145,0,0,0,0
72,1600,114735,1600,0,0,0,0,1600,1600,1600,1600,8228035,1600,114735,0,0,0,0
73,1600,116329,1600,0,0,0,0,1600,1600,1600,1600,8458235,1600,116329,0,0,0,0
74,1600,117915,1600,0,0,0,0,1600,1600,1600,1600,8690447,1600,117915,0,0,0,0
75,1600,119504,1600,0,0,0,0,1600,1600,1600,1600,8926248,1600,119504,0,0,0,0
76,1600,121095,1600,0,0,0,0,1600,1600,1600,1600,9165505,1600,121095,0,0,0,0
77,1600,122686,1600,0,0,0,0,1600,1600,1600,1600,9407930,1600,122686,0,0,0,0
78,1600,124276,1600,0,0,0,0,1600,1600,1600,1600,9653362,1600,124276,0,0,0,0
79,1600,125863,1600,0,0,0,0,1600,1600,1600,1600,9901477,1600,125863,0,0,0,0
80,1600,127448,1600,0,0,0,0,1600,1600,1600,1600,10152422,1600,127448,0,0,0,0
81,1600,129035,1600,0,0,0,0,1600,1600,1600,1600,10406833,1600,129035,0,0,0,0
82,1600,130628,1600,0,0,0,0,1600,1600,1600,1600,10665364,1600,130628,0,0,0,0
83,1600,132211,1600,0,0,0,0,1600,1600,1600,1600,10925423,1600,132211,0,0,0,0
84,1600,133797,1600,0,0,0,0,1600,1600,1600,1600,11189119,1600,133797,0,0,0,0
85,1600,135384,1600,0,0,0,0,1600,1600,1600,1600,11456124,1600,135384,0,0,0,0
86,1600,136970,1600,0,0,0,0,1600,1600,1600,1600,11726112,1600,136970,0,0,0,0
87,1600,138557,1600,0,0,0,0,1600,1600,1600,1600,11999417,1600,138557,0,0,0,0
88,1600,140145,1600,0,0,0,0,1600,1600,1600,1600,12276043,1600,140145,0,0,0,0
89,1600,141727,1600,0,0,0,0,1600,1600,1600,1600,12554761,1600,141727,0,0,0,0
90,1600,143315,1600,0,0,0,0,1600,1600,1600,1600,12837677,1600,143315,0,0,0,0
91,1600,144891,1600,0,0,0,0,1600,1600,1600,1600,13121583,1600,144891,0,0,0,0
92,1600,146476,1600,0,0,0,0,1600,1600,1600,1600,13410236,1600,146476,0,0,0,0
93,1600,148062,1600,0,0,0,0,1600,1600,1600,1600,13702204,1600,148062,0,0,0,0
94,1600,149652,1600,0,0,0,0,1600,1600,1600,1600,13998070,1600,149652,0,0,0,0
95,1600,151233,1600,0,0,0,0,1600,1600,1600,1600,14295397,1600,151233,0,0,0,0
96,1600,152817,1600,0,0,0,0,1600,1600,1600,1600,14596425,1600,152817,0,0,0,0
97,1600,154399,1600,0,0,0,0,1600,1600,1600,1600,14900199,1600,154399,0,0,0,0
98,1600,155987,1600,0,0,0,0,1600,1600,1600,1600,15208269,1600,155987,0,0,0,0
