k,replicas,sum_clusters_G,sum_clusters_Gstar,sum_wrap_H_G,sum_wrap_V_G,sum_wrap_E_G,sum_wrap_B_G,sum_wrap_H_Gstar,sum_wrap_V_Gstar,sum_wrap_E_Gstar,sum_wrap_B_Gstar,sum_clusters_G_sq,sum_clusters_Gstar_sq,sum_clusters_G_Gstar,sum_H_G_H_Gstar,sum_V_G_V_Gstar,sum_E_G_E_Gstar,sum_B_G_B_Gstar
0,20000,0,20000,0,0,0,0,20000,20000,20000,20000,0,20000,0,0,0,0,0
1,20000,20000,20000,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,0,0,0,0
2,20000,39975,20000,0,0,0,0,20000,20000,20000,20000,79925,20000,39975,0,0,0,0
3,20000,59897,20000,0,0,0,0,20000,20000,20000,20000,179485,20000,59897,0,0,0,0
4,20000,79795,20000,0,0,0,0,20000,20000,20000,20000,318565,20000,79795,0,0,0,0
5,20000,99662,20000,0,0,0,0,20000,20000,20000,20000,496964,20000,99662,0,0,0,0
6,20000,119496,20000,0,0,0,0,20000,20000,20000,20000,714466,20000,119496,0,0,0,0
7,20000,139292,20000,0,0,0,0,20000,20000,20000,20000,970812,20000,139292,0,0,0,0
8,20000,159052,20000,0,0,0,0,20000,20000,20000,20000,1265806,20000,159052,0,0,0,0
9,20000,178808,20000,0,0,0,0,20000,20000,20000,20000,1599788,20000,178808,0,0,0,0
10,20000,198487,20000,0,0,0,0,20000,20000,20000,20000,1971351,20000,198487,0,0,0,0
11,20000,218163,20000,0,0,0,0,20000,20000,20000,20000,2381561,20000,218163,0,0,0,0
12,20000,237767,20000,0,0,0,0,20000,20000,20000,20000,2828855,20000,237767,0,0,0,0
13,20000,257338,20000,0,0,0,0,20000,20000,20000,20000,3313792,20000,257338,0,0,0,0
14,20000,276906,20000,0,0,0,0,20000,20000,20000,20000,3836910,20000,276906,0,0,0,0
15,20000,296399,20000,0,0,0,0,20000,20000,20000,20000,4396167,20000,296399,0,0,0,0
16,20000,315866,20000,0,0,0,0,20000,20000,20000,20000,4992602,20000,315866,0,0,0,0
