L,observable,variance_independent_over_shared,runtime_independent_over_shared,var_diff_independent_over_shared,var_diff_shared,var_diff_independent,root_var_shared,root_var_independent,kstar
32,H,0.824301255421278523,1.04937245852112815,0.876805596463305137,0.563199797500000043,0.493816734375000177,3.78322837679556729e-7,3.11851990053799187e-7,607
32,M,0.714590851205119448,1.04937245852112815,0.904263143958274784,46.3548154974998852,41.9169511993750064,0.0000422032098072146609,0.0000301580276197257694,607
32,V,0.529333473790945197,1.04937245852112815,0.882251023003963297,0.563199797499999932,0.496883597499999885,3.78322837679563664e-7,2.00258941883371340e-7,607
32,both,0.824227112208289592,1.04937245852112815,0.780362278983241509,0.563199797499999932,0.439499877500000080,3.78322837679570070e-7,3.11823939983077547e-7,607
32,either,0.376370468476921516,1.04937245852112815,0.713200397368750960,0.563199797499999821,0.401674319374999977,3.78322837679565517e-7,1.42389543652976405e-7,607
64,H,0.949840560691041169,1.08719956412077612,0.850359084092370709,0.586866555555555558,0.499047306666666635,1.99458192035187621e-7,1.89453480957123980e-7,2428
64,M,1.12274312631848749,1.08719956412077612,0.888250942988568770,193.616455782223511,171.979999426664563,0.0000401024409345952020,0.0000450247399079099059,2428
64,V,1.06868903253297254,1.08719956412077612,0.850842798069369799,0.586866555555555558,0.499331182222222170,1.99458192035170787e-7,2.13158782276842514e-7,2428
64,both,0.955822985835297900,1.08719956412077612,0.760960657533541029,0.586866555555555669,0.446582360000000012,1.99458192035184922e-7,1.90646724660380692e-7,2428
64,either,0.611341627598924409,1.08719956412077612,0.710094231151166544,0.586866555555555558,0.416730555555555604,1.99458192035179098e-7,1.21937095756725222e-7,2428
128,H,1.41583171355300252,1.02960412621398234,0.852346907221820382,0.586746937500000065,0.500111937499999826,4.95915889048483557e-7,7.02133442969675159e-7,9712
128,M,2.42971258667392132,1.02960412621398234,0.917070045604169382,745.212214937506360,683.411799937523028,0.0000372707485233552646,0.0000905572068019547456,9712
128,V,0.581213479350174977,1.02960412621398234,0.825585476532632034,0.586746937500000065,0.484409750000000028,4.95915889048512144e-7,2.88232999338921077e-7,9712
128,both,0.683669910513221346,1.02960412621398234,0.760088756321800174,0.586746937499999954,0.445979750000000008,4.95915889048512144e-7,3.39042771487880910e-7,9712
128,either,0.829090951045908242,1.02960412621398234,0.701672920960068836,0.586746937500000065,0.411704437499999965,4.95915889048445017e-7,4.11159376089952408e-7,9712
256,H,0.839127226048869135,0.973870427107218051,0.797753663525269552,0.617983999999999978,0.492999000000000132,8.05556504549711934e-7,6.75964395088423021e-7,38846
256,M,0.870835039951762924,0.973870427107218051,0.965157604662081003,3033.88271600019652,2928.17497500043828,0.0000990266411380945566,0.0000862358689917814636,38846
256,V,0.595125714113460713,0.973870427107218051,0.824849834299916984,0.617984000000000089,0.509743999999999975,8.05556504549684088e-7,4.79407390028874014e-7,38846
256,both,0.751350508702891551,0.973870427107218051,0.738489993268434342,0.617983999999999978,0.456375000000000086,8.05556504549706323e-7,6.05255289482344995e-7,38846
256,either,0.780716790006574568,0.973870427107218051,0.689176418806959457,0.617983999999999867,0.425899999999999945,8.05556504549697852e-7,6.28911488400956687e-7,38846
