batch,replicas,sum_km1,sum_km2,sum_kp1,sum_kp2,sum_km1km2,sum_kp1kp2,sum_km1kp2,sum_kp1km2,sum_gap1gap2
0,50000,1808376,1810620,2085670,2086322,65502262,87019662,75452014,75505628,1564282
1,50000,1809117,1809333,2085519,2087069,65483647,87045422,75510257,75446207,1572605
2,50000,1808515,1811005,2086176,2087970,65517123,87112164,75517051,75540373,1571863
3,50000,1806754,1811229,2086334,2088318,65467192,87129697,75453959,75555113,1587817
4,50000,1808703,1809985,2086195,2086523,65482108,87052400,75471254,75498436,1564818
5,50000,1808857,1810453,2087411,2087357,65514131,87138205,75512006,75565547,1574783
6,50000,1807840,1809505,2086756,2086362,65448238,87067251,75431716,75503169,1580604
7,50000,1808516,1810750,2086605,2085556,65516750,87028179,75432948,75548173,1563808
8,50000,1808559,1811346,2086091,2087998,65537419,87107923,75521747,75557842,1565753
9,50000,1808345,1809603,2085850,2086888,65464960,87053477,75471335,75477436,1569666
10,50000,1808526,1810566,2087500,2086332,65498758,87097277,75458800,75565960,1571275
11,50000,1807797,1812166,2086482,2088604,65536186,87152208,75512069,75601323,1575002
12,50000,1807310,1810112,2085906,2085907,65449419,87011958,75393515,75495704,1572158
13,50000,1808902,1810668,2086894,2087107,65524225,87108928,75506775,75554133,1572245
14,50000,1809137,1810735,2086935,2088432,65530892,87162453,75555331,75559692,1578322
15,50000,1808597,1811578,2085794,2088273,65550313,87110685,75535113,75558164,1567721
16,50000,1808252,1812070,2086944,2086899,65540523,87096763,75466398,75611821,1559067
17,50000,1808264,1809179,2085993,2086979,65440593,87060519,75468458,75456311,1576343
18,50000,1808379,1808867,2087732,2086359,65438148,87104003,75449493,75504859,1587799
19,50000,1808033,1811565,2086365,2087449,65527867,87091494,75476437,75569971,1572953
20,50000,1809275,1811593,2085752,2088489,65571451,87117889,75571561,75557796,1559983
21,50000,1808355,1811417,2086329,2087663,65530876,87091809,75489217,75566853,1566615
22,50000,1808897,1811453,2086836,2087099,65548712,87098483,75504223,75588346,1554626
23,50000,1810055,1809569,2086232,2086779,65529616,87060926,75537970,75486491,1566081
24,50000,1808953,1809775,2086828,2087284,65488188,87103599,75509967,75511126,1570694
25,50000,1808507,1809136,2085757,2086383,65454203,87031175,75463396,75448897,1573085
26,50000,1808001,1810628,2086056,2088384,65481947,87119019,75502758,75524150,1574058
27,50000,1807668,1809088,2086857,2085497,65417777,87037025,75389870,75490453,1574479
28,50000,1807163,1810951,2086556,2088257,65473611,87137450,75476400,75550338,1584323
29,50000,1809314,1810512,2086478,2086661,65534108,87067996,75505674,75540147,1556283
30,50000,1810249,1810682,2087277,2087943,65582474,87153210,75590988,75571364,1573332
31,50000,1809123,1811055,2087697,2088324,65541071,87193779,75553994,75600832,1580024
32,50000,1808848,1811050,2086634,2087126,65534040,87095926,75501827,75562483,1565656
33,50000,1809237,1809863,2086671,2087510,65511458,87115595,75531093,75518399,1577561
34,50000,1808870,1809610,2085964,2087122,65483538,87068805,75496538,75478849,1576956
35,50000,1807268,1809648,2086227,2088036,65425523,87113757,75466492,75489519,1583269
36,50000,1809722,1810607,2087249,2088905,65550162,87194021,75606703,75567572,1569908
37,50000,1809891,1810846,2086348,2088839,65569838,87152566,75606161,75542124,1574119
38,50000,1808314,1808605,2085853,2085737,65432810,87015243,75439627,75433836,1574590
39,50000,1807892,1808632,2087923,2086828,65412691,87130643,75449412,75506938,1586984
